datetime,KNCUSD_open,KNCUSD_high,KNCUSD_low,KNCUSD_close
2022-01-17 21:00:00,1.6052,1.6397,1.5849,1.5896
2022-01-17 22:00:00,1.5901,1.6056,1.572,1.5981
2022-01-17 23:00:00,1.5958,1.6079,1.5892,1.6076
2022-01-18 00:00:00,1.6079,1.6699,1.6064,1.6378
2022-01-18 01:00:00,1.6405,1.6405,1.5928,1.5928
2022-01-18 02:00:00,1.5945,1.5981,1.5762,1.5935
2022-01-18 03:00:00,1.5935,1.5999,1.5738,1.5848
2022-01-18 04:00:00,1.5845,1.6333,1.5834,1.6199
2022-01-18 05:00:00,1.6188,1.6324,1.5992,1.602
2022-01-18 06:00:00,1.6048,1.6178,1.5854,1.5887
2022-01-18 07:00:00,1.588,1.588,1.5646,1.5699
2022-01-18 08:00:00,1.567,1.5685,1.5426,1.5512
2022-01-18 09:00:00,1.5509,1.5676,1.534,1.5676
2022-01-18 10:00:00,1.5674,1.5852,1.5583,1.5759
2022-01-18 11:00:00,1.576,1.576,1.5545,1.5609
2022-01-18 12:00:00,1.5605,1.5769,1.5437,1.575
2022-01-18 13:00:00,1.5745,1.5758,1.5419,1.5596
2022-01-18 14:00:00,1.5593,1.5593,1.5292,1.5292
2022-01-18 15:00:00,1.5305,1.5387,1.5204,1.521
2022-01-18 16:00:00,1.5204,1.5215,1.4942,1.5062
