datetime,IDEXBUSD_open,IDEXBUSD_high,IDEXBUSD_low,IDEXBUSD_close
2022-03-01 00:00:00,0.16846,0.16876,0.16663,0.16827
2022-03-01 01:00:00,0.16827,0.17099,0.16638,0.17008
2022-03-01 02:00:00,0.16994,0.17027,0.1683,0.1696
2022-03-01 03:00:00,0.1694,0.16976,0.16793,0.16935
2022-03-01 04:00:00,0.16926,0.16926,0.16576,0.16647
2022-03-01 05:00:00,0.16649,0.16788,0.16288,0.16788
2022-03-01 06:00:00,0.16788,0.16848,0.16575,0.16654
2022-03-01 07:00:00,0.16671,0.17242,0.16621,0.16995
2022-03-01 08:00:00,0.16969,0.172,0.16793,0.17073
2022-03-01 09:00:00,0.17072,0.17218,0.16637,0.16667
2022-03-01 10:00:00,0.16693,0.16834,0.16546,0.1668
2022-03-01 11:00:00,0.16662,0.16855,0.16551,0.16609
2022-03-01 12:00:00,0.16588,0.16764,0.1645,0.16594
2022-03-01 13:00:00,0.16606,0.16761,0.16532,0.16695
2022-03-01 14:00:00,0.16695,0.1673,0.16588,0.16613
2022-03-01 15:00:00,0.16653,0.16746,0.16618,0.16719
2022-03-01 16:00:00,0.16719,0.1679,0.16422,0.16521
2022-03-01 17:00:00,0.16542,0.16629,0.16451,0.16547
2022-03-01 18:00:00,0.16581,0.1667,0.16485,0.16593
2022-03-01 19:00:00,0.1657,0.16651,0.163,0.1652
2022-03-01 20:00:00,0.16529,0.16593,0.16294,0.1633
2022-03-01 21:00:00,0.16314,0.16499,0.16231,0.1648
2022-03-01 22:00:00,0.1648,0.1679,0.16466,0.16736
2022-03-01 23:00:00,0.16702,0.16837,0.16575,0.16594
2022-03-02 00:00:00,0.1662,0.1669,0.165,0.16593
2022-03-02 01:00:00,0.16594,0.16644,0.16385,0.164
2022-03-02 02:00:00,0.164,0.16471,0.16321,0.16421
2022-03-02 03:00:00,0.16421,0.16505,0.16261,0.16299
2022-03-02 04:00:00,0.1627,0.16478,0.1627,0.16462
2022-03-02 05:00:00,0.16462,0.1668,0.1643,0.16452
2022-03-02 06:00:00,0.16468,0.16566,0.16361,0.16524
2022-03-02 07:00:00,0.16519,0.16691,0.16384,0.1648
2022-03-02 08:00:00,0.16503,0.16545,0.1601,0.16203
2022-03-02 09:00:00,0.16215,0.16597,0.16215,0.16556
2022-03-02 10:00:00,0.16556,0.16635,0.16266,0.16389
2022-03-02 11:00:00,0.16389,0.16515,0.16366,0.16408
2022-03-02 12:00:00,0.16415,0.1658,0.16371,0.1642
2022-03-02 13:00:00,0.16439,0.16568,0.1632,0.1646
2022-03-02 14:00:00,0.16458,0.16488,0.16321,0.16347
2022-03-02 15:00:00,0.1636,0.16499,0.16284,0.16499
2022-03-02 16:00:00,0.16477,0.18623,0.16428,0.17545
2022-03-02 17:00:00,0.17531,0.17665,0.16984,0.17079
2022-03-02 18:00:00,0.17065,0.17835,0.17065,0.17153
2022-03-02 19:00:00,0.17154,0.17285,0.16947,0.17045
2022-03-02 20:00:00,0.17029,0.1708,0.16833,0.16913
2022-03-02 21:00:00,0.16888,0.16942,0.16628,0.167
2022-03-02 22:00:00,0.16725,0.16757,0.16478,0.16541
2022-03-02 23:00:00,0.16547,0.16719,0.1645,0.1655
2022-03-03 00:00:00,0.16562,0.17062,0.16562,0.16932
2022-03-03 01:00:00,0.16923,0.17479,0.16825,0.16939
2022-03-03 02:00:00,0.1689,0.1697,0.16729,0.16807
2022-03-03 03:00:00,0.16772,0.17485,0.16742,0.17216
2022-03-03 04:00:00,0.17223,0.17243,0.16848,0.16908
2022-03-03 05:00:00,0.16946,0.1697,0.16811,0.16888
2022-03-03 06:00:00,0.16852,0.16993,0.16797,0.1681
2022-03-03 07:00:00,0.16826,0.17351,0.168,0.17
2022-03-03 08:00:00,0.17027,0.17225,0.17027,0.17147
2022-03-03 09:00:00,0.17151,0.17235,0.16954,0.17019
2022-03-03 10:00:00,0.16984,0.17033,0.16316,0.16431
2022-03-03 11:00:00,0.16385,0.16671,0.16261,0.16375
2022-03-03 12:00:00,0.16375,0.16478,0.16047,0.16286
2022-03-03 13:00:00,0.16222,0.16345,0.16201,0.16227
2022-03-03 14:00:00,0.16229,0.16412,0.16162,0.16234
2022-03-03 15:00:00,0.16186,0.1626,0.16085,0.16142
2022-03-03 16:00:00,0.16162,0.16262,0.16074,0.16172
2022-03-03 17:00:00,0.16205,0.16372,0.16205,0.16287
2022-03-03 18:00:00,0.16278,0.16353,0.16237,0.16254
2022-03-03 19:00:00,0.16257,0.16311,0.15965,0.16004
2022-03-03 20:00:00,0.15981,0.16222,0.15875,0.16171
2022-03-03 21:00:00,0.16156,0.16156,0.15809,0.15938
