datetime,FTMBUSD_open,FTMBUSD_high,FTMBUSD_low,FTMBUSD_close
2022-01-24 12:00:00,2.0575,2.1968,2.0027,2.1643
2022-01-24 13:00:00,2.1643,2.2655,2.1331,2.2009
2022-01-24 14:00:00,2.2016,2.2201,2.1184,2.1697
2022-01-24 15:00:00,2.1703,2.3275,2.1536,2.302
2022-01-24 16:00:00,2.3011,2.3017,2.2039,2.2373
2022-01-24 17:00:00,2.2378,2.2627,2.1841,2.2019
2022-01-24 18:00:00,2.2034,2.2693,2.1995,2.2565
2022-01-24 19:00:00,2.2565,2.259,2.1668,2.1707
2022-01-24 20:00:00,2.1749,2.2045,2.1563,2.1708
2022-01-24 21:00:00,2.1692,2.2358,2.1671,2.2303
2022-01-24 22:00:00,2.2328,2.2625,2.2091,2.2579
2022-01-24 23:00:00,2.2588,2.2755,2.2039,2.214
2022-01-25 00:00:00,2.2126,2.2485,2.1779,2.2134
2022-01-25 01:00:00,2.2169,2.252,2.1892,2.2168
2022-01-25 02:00:00,2.2162,2.2538,2.189,2.2516
2022-01-25 03:00:00,2.2489,2.3442,2.2385,2.2984
2022-01-25 04:00:00,2.3,2.3676,2.2847,2.361
2022-01-25 05:00:00,2.3582,2.4092,2.3275,2.3521
2022-01-25 06:00:00,2.3519,2.3771,2.3254,2.3494
2022-01-25 07:00:00,2.351,2.368,2.3089,2.3601
2022-01-25 08:00:00,2.3627,2.4191,2.3231,2.4063
2022-01-25 09:00:00,2.406,2.4669,2.3545,2.3578
2022-01-25 10:00:00,2.3571,2.4495,2.3245,2.4083
2022-01-25 11:00:00,2.4056,2.4354,2.3719,2.3926
2022-01-25 12:00:00,2.3915,2.46,2.3882,2.4323
2022-01-25 13:00:00,2.4314,2.4734,2.4052,2.4692
2022-01-25 14:00:00,2.468,2.4726,2.3891,2.4137
2022-01-25 15:00:00,2.4143,2.42,2.3511,2.3973
2022-01-25 16:00:00,2.4,2.4031,2.3257,2.3493
2022-01-25 17:00:00,2.3497,2.3669,2.316,2.3567
2022-01-25 18:00:00,2.3565,2.4,2.347,2.3816
2022-01-25 19:00:00,2.3841,2.3881,2.2739,2.2876
2022-01-25 20:00:00,2.2885,2.2999,2.2595,2.2931
2022-01-25 21:00:00,2.2933,2.3261,2.2858,2.2868
2022-01-25 22:00:00,2.2869,2.3457,2.2856,2.3274
2022-01-25 23:00:00,2.3284,2.376,2.3161,2.3713
2022-01-26 00:00:00,2.371,2.4072,2.3493,2.3664
2022-01-26 01:00:00,2.3658,2.3861,2.3275,2.3412
2022-01-26 02:00:00,2.3419,2.3445,2.303,2.3211
2022-01-26 03:00:00,2.3229,2.3889,2.3215,2.373
2022-01-26 04:00:00,2.3724,2.4014,2.3469,2.3499
2022-01-26 05:00:00,2.35,2.3876,2.335,2.3745
2022-01-26 06:00:00,2.3773,2.3944,2.348,2.369
2022-01-26 07:00:00,2.369,2.3853,2.3454,2.3583
2022-01-26 08:00:00,2.3583,2.4278,2.3247,2.419
2022-01-26 09:00:00,2.4189,2.459,2.406,2.4345
2022-01-26 10:00:00,2.4355,2.4557,2.364,2.3896
2022-01-26 11:00:00,2.3893,2.4469,2.3762,2.4178
2022-01-26 12:00:00,2.4169,2.4345,2.3716,2.376
2022-01-26 13:00:00,2.3759,2.3807,2.2847,2.3384
2022-01-26 14:00:00,2.3415,2.5835,2.3348,2.3615
2022-01-26 15:00:00,2.3618,2.3632,2.2361,2.287
2022-01-26 16:00:00,2.2849,2.3207,2.1768,2.188
2022-01-26 17:00:00,2.186,2.2625,2.1826,2.2413
2022-01-26 18:00:00,2.2405,2.3143,2.23,2.246
2022-01-26 19:00:00,2.2458,2.2784,2.2193,2.2679
2022-01-26 20:00:00,2.268,2.268,2.1276,2.1343
2022-01-26 21:00:00,2.1339,2.1548,2.106,2.1489
2022-01-26 22:00:00,2.1489,2.1764,2.1014,2.1209
2022-01-26 23:00:00,2.1196,2.155,2.1081,2.1394
2022-01-27 00:00:00,2.1396,2.1688,2.1143,2.1274
2022-01-27 01:00:00,2.1266,2.1558,2.0888,2.1472
2022-01-27 02:00:00,2.1484,2.1647,2.1215,2.1316
2022-01-27 03:00:00,2.1312,2.1699,2.1,2.1669
2022-01-27 04:00:00,2.1687,2.2075,2.1537,2.1862
2022-01-27 05:00:00,2.1862,2.2002,2.1432,2.1567
2022-01-27 06:00:00,2.1584,2.2011,2.158,2.1919
2022-01-27 07:00:00,2.1931,2.2049,2.1635,2.1883
2022-01-27 08:00:00,2.1897,2.2224,2.1791,2.2193
2022-01-27 09:00:00,2.2193,2.2546,2.2096,2.2221
2022-01-27 10:00:00,2.2221,2.2444,2.1691,2.182
2022-01-27 11:00:00,2.1825,2.1929,2.1443,2.1659
2022-01-27 12:00:00,2.1671,2.1772,2.1111,2.1447
2022-01-27 13:00:00,2.1461,2.148,2.0964,2.1325
2022-01-27 14:00:00,2.133,2.1422,2.0565,2.0753
2022-01-27 15:00:00,2.0776,2.095,2.01,2.0127
2022-01-27 16:00:00,2.0144,2.0388,1.9949,2.022
2022-01-27 17:00:00,2.0215,2.0897,1.9985,2.0388
2022-01-27 18:00:00,2.0387,2.0866,2.0387,2.0805
2022-01-27 19:00:00,2.0801,2.1101,2.0584,2.096
2022-01-27 20:00:00,2.0984,2.1059,2.0273,2.0518
2022-01-27 21:00:00,2.05,2.0867,2.006,2.0788
2022-01-27 22:00:00,2.0774,2.1171,2.072,2.0906
2022-01-27 23:00:00,2.0923,2.1066,2.0568,2.0829
2022-01-28 00:00:00,2.0814,2.115,2.0753,2.0934
2022-01-28 01:00:00,2.0906,2.1352,2.0676,2.0676
2022-01-28 02:00:00,2.0676,2.093,2.0571,2.0598
2022-01-28 03:00:00,2.0588,2.0785,2.0263,2.0647
2022-01-28 04:00:00,2.063,2.087,2.044,2.0517
2022-01-28 05:00:00,2.0523,2.0765,2.0352,2.0661
2022-01-28 06:00:00,2.0653,2.0735,2.025,2.0407
2022-01-28 07:00:00,2.0421,2.0615,1.9849,1.9997
2022-01-28 08:00:00,2.0019,2.0637,1.9834,2.059
2022-01-28 09:00:00,2.06,2.0796,2.0325,2.0503
2022-01-28 10:00:00,2.0474,2.0897,2.0289,2.0854
2022-01-28 11:00:00,2.0875,2.1181,2.0779,2.0895
2022-01-28 12:00:00,2.0876,2.1087,2.0578,2.0671
2022-01-28 13:00:00,2.0671,2.1017,2.0634,2.0905
2022-01-28 14:00:00,2.0919,2.1007,2.058,2.0869
2022-01-28 15:00:00,2.0876,2.1456,2.0666,2.129
