datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-12 11:00:00,1.1248,1.1362,1.1141,1.1312
2022-01-12 12:00:00,1.1354,1.1637,1.135,1.1603
2022-01-12 13:00:00,1.1597,1.1838,1.1551,1.1758
2022-01-12 14:00:00,1.1753,1.1873,1.1642,1.185
2022-01-12 15:00:00,1.1849,1.1872,1.1647,1.1709
2022-01-12 16:00:00,1.171,1.1801,1.1684,1.1799
2022-01-12 17:00:00,1.1798,1.1932,1.1787,1.1904
2022-01-12 18:00:00,1.1905,1.1923,1.1795,1.18
2022-01-12 19:00:00,1.1833,1.1863,1.1773,1.1819
2022-01-12 20:00:00,1.1848,1.1868,1.1799,1.1799
2022-01-12 21:00:00,1.1799,1.1938,1.1799,1.1848
2022-01-12 22:00:00,1.1886,1.1898,1.1823,1.1832
2022-01-12 23:00:00,1.1814,1.207,1.1805,1.207
2022-01-13 00:00:00,1.2073,1.2143,1.1842,1.1873
2022-01-13 01:00:00,1.185,1.1906,1.162,1.1663
2022-01-13 02:00:00,1.1618,1.1834,1.1601,1.1801
2022-01-13 03:00:00,1.1802,1.1829,1.1635,1.169
2022-01-13 04:00:00,1.1698,1.1813,1.1681,1.1717
2022-01-13 05:00:00,1.1697,1.1844,1.1693,1.1821
2022-01-13 06:00:00,1.182,1.2065,1.1819,1.1912
2022-01-13 07:00:00,1.1939,1.2062,1.1912,1.1983
2022-01-13 08:00:00,1.1946,1.2115,1.1943,1.21
2022-01-13 09:00:00,1.2088,1.2112,1.1974,1.2063
2022-01-13 10:00:00,1.2062,1.2077,1.1932,1.1932
2022-01-13 11:00:00,1.1933,1.1956,1.1706,1.1706
2022-01-13 12:00:00,1.1746,1.1894,1.1699,1.1894
2022-01-13 13:00:00,1.1899,1.1911,1.1805,1.1885
2022-01-13 14:00:00,1.1887,1.2051,1.187,1.193
2022-01-13 15:00:00,1.1921,1.1973,1.1436,1.155
2022-01-13 16:00:00,1.1518,1.1607,1.1455,1.1505
2022-01-13 17:00:00,1.1494,1.1513,1.1355,1.1477
2022-01-13 18:00:00,1.1461,1.1533,1.1355,1.1408
2022-01-13 19:00:00,1.1441,1.1518,1.1364,1.1415
2022-01-13 20:00:00,1.1434,1.1482,1.1312,1.1477
2022-01-13 21:00:00,1.1484,1.1518,1.1419,1.1471
2022-01-13 22:00:00,1.1465,1.1511,1.1321,1.1322
2022-01-13 23:00:00,1.1345,1.1402,1.1248,1.1289
2022-01-14 00:00:00,1.1285,1.1335,1.1159,1.1285
2022-01-14 01:00:00,1.1291,1.1342,1.1176,1.1218
2022-01-14 02:00:00,1.1227,1.1253,1.1115,1.1228
2022-01-14 03:00:00,1.1242,1.1297,1.1199,1.1252
2022-01-14 04:00:00,1.1262,1.1337,1.1233,1.1272
