datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-12 03:00:00,0.32053,0.325,0.31784,0.31862
2022-01-12 04:00:00,0.3186,0.32232,0.3134,0.31708
2022-01-12 05:00:00,0.31708,0.3185,0.30976,0.3113
2022-01-12 06:00:00,0.31102,0.31666,0.31025,0.3123
2022-01-12 07:00:00,0.31202,0.3158,0.3105,0.31561
2022-01-12 08:00:00,0.31582,0.3234,0.31177,0.32289
2022-01-12 09:00:00,0.32278,0.32637,0.31862,0.32573
2022-01-12 10:00:00,0.3263,0.33182,0.32167,0.32725
2022-01-12 11:00:00,0.32684,0.33579,0.32095,0.33423
2022-01-12 12:00:00,0.33482,0.34162,0.33126,0.33895
2022-01-12 13:00:00,0.33921,0.34152,0.33451,0.33554
2022-01-12 14:00:00,0.33588,0.3385,0.33361,0.33763
2022-01-12 15:00:00,0.33779,0.34191,0.33605,0.33927
2022-01-12 16:00:00,0.33932,0.34909,0.33901,0.34453
2022-01-12 17:00:00,0.34453,0.34813,0.341,0.34214
2022-01-12 18:00:00,0.34215,0.3467,0.34151,0.34482
2022-01-12 19:00:00,0.34482,0.35091,0.33566,0.33738
2022-01-12 20:00:00,0.33738,0.33941,0.33162,0.33699
2022-01-12 21:00:00,0.33699,0.3599,0.3368,0.35257
2022-01-12 22:00:00,0.35241,0.35631,0.34615,0.35355
2022-01-12 23:00:00,0.35345,0.3602,0.35269,0.35672
2022-01-13 00:00:00,0.35657,0.365,0.35617,0.3575
2022-01-13 01:00:00,0.35753,0.36335,0.35385,0.3566
2022-01-13 02:00:00,0.3568,0.35819,0.35261,0.35493
2022-01-13 03:00:00,0.35487,0.36454,0.35407,0.36424
2022-01-13 04:00:00,0.36424,0.36424,0.35439,0.35815
2022-01-13 05:00:00,0.35815,0.36129,0.35338,0.35434
2022-01-13 06:00:00,0.35427,0.35731,0.34886,0.35282
2022-01-13 07:00:00,0.3528,0.36085,0.3528,0.35716
2022-01-13 08:00:00,0.35704,0.3574,0.35092,0.3563
2022-01-13 09:00:00,0.35662,0.36361,0.35424,0.36155
2022-01-13 10:00:00,0.36184,0.36184,0.33714,0.35068
2022-01-13 11:00:00,0.351,0.3571,0.34589,0.3472
2022-01-13 12:00:00,0.34681,0.34837,0.3391,0.34313
2022-01-13 13:00:00,0.34308,0.345,0.33399,0.33651
2022-01-13 14:00:00,0.33665,0.34114,0.33343,0.33826
2022-01-13 15:00:00,0.33796,0.34576,0.3334,0.34464
2022-01-13 16:00:00,0.34467,0.35578,0.34355,0.3556
