datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-03-04 03:00:00,113.5,113.57,112.56,113.42
2022-03-04 04:00:00,113.16,113.67,112.54,113.64
2022-03-04 05:00:00,113.6,114.13,113.54,113.99
2022-03-04 06:00:00,113.98,114.45,113.77,114.29
2022-03-04 07:00:00,114.32,114.53,113.75,114.37
2022-03-04 08:00:00,114.37,115.13,112.86,114.5
2022-03-04 09:00:00,114.53,115.37,113.97,114.79
2022-03-04 10:00:00,114.58,115.52,114.54,115.01
2022-03-04 11:00:00,115.01,116.23,115.01,115.84
2022-03-04 12:00:00,115.82,115.83,114.5,114.93
2022-03-04 13:00:00,114.94,116.71,114.13,115.37
2022-03-04 14:00:00,115.22,115.53,112.36,113.69
2022-03-04 15:00:00,113.78,113.84,112.38,112.86
2022-03-04 16:00:00,112.79,113.21,111.75,112.77
2022-03-04 17:00:00,112.7,113.78,112.46,113.31
2022-03-04 18:00:00,113.38,113.67,112.0,112.12
2022-03-04 19:00:00,112.07,112.07,109.2,109.43
2022-03-04 20:00:00,109.52,109.99,108.27,109.35
2022-03-04 21:00:00,109.29,109.64,108.64,108.9
2022-03-04 22:00:00,108.96,109.24,107.27,108.66
2022-03-04 23:00:00,108.66,109.1,108.19,108.64
2022-03-05 00:00:00,108.64,108.66,106.03,106.03
2022-03-05 01:00:00,106.33,106.99,105.56,106.22
2022-03-05 02:00:00,106.33,106.72,105.69,105.69
2022-03-05 03:00:00,105.55,107.11,105.45,106.63
2022-03-05 04:00:00,106.61,106.66,105.8,106.29
2022-03-05 05:00:00,106.23,107.13,106.11,106.99
2022-03-05 06:00:00,107.03,107.71,106.71,107.57
2022-03-05 07:00:00,107.49,108.66,107.38,108.42
2022-03-05 08:00:00,108.49,108.84,107.77,108.65
2022-03-05 09:00:00,108.62,108.77,108.16,108.28
2022-03-05 10:00:00,108.31,108.55,107.32,108.54
2022-03-05 11:00:00,108.51,109.04,108.29,108.71
2022-03-05 12:00:00,108.65,109.41,108.46,108.51
2022-03-05 13:00:00,108.57,108.57,107.52,107.72
2022-03-05 14:00:00,107.7,108.46,107.43,108.39
2022-03-05 15:00:00,108.42,108.72,108.1,108.48
2022-03-05 16:00:00,108.5,110.57,108.43,109.77
2022-03-05 17:00:00,109.84,110.73,109.84,110.04
2022-03-05 18:00:00,110.03,110.03,109.47,109.86
2022-03-05 19:00:00,109.83,110.18,109.59,110.14
2022-03-05 20:00:00,110.11,110.58,109.67,109.85
