datetime,QNTUSD_open,QNTUSD_high,QNTUSD_low,QNTUSD_close
2022-01-18 01:00:00,160.84,162.22,160.34,161.34
2022-01-18 02:00:00,161.28,166.5,159.66,163.76
2022-01-18 03:00:00,163.48,163.87,161.05,161.61
2022-01-18 04:00:00,161.49,161.49,159.43,159.68
2022-01-18 05:00:00,159.47,161.03,159.41,160.47
2022-01-18 06:00:00,160.47,161.3,159.59,161.05
2022-01-18 07:00:00,160.88,161.05,158.75,159.04
2022-01-18 08:00:00,159.04,159.04,157.5,157.66
2022-01-18 09:00:00,157.69,158.85,156.44,158.31
2022-01-18 10:00:00,158.12,159.56,157.49,159.44
2022-01-18 11:00:00,159.3,159.55,158.08,159.55
2022-01-18 12:00:00,159.58,159.86,156.33,157.32
2022-01-18 13:00:00,157.24,157.44,152.96,153.79
2022-01-18 14:00:00,153.78,154.11,151.74,152.64
2022-01-18 15:00:00,152.85,154.99,152.08,153.55
2022-01-18 16:00:00,153.65,154.15,151.21,151.88
2022-01-18 17:00:00,151.88,151.95,151.0,151.21
2022-01-18 18:00:00,151.2,151.62,146.44,146.44
2022-01-18 19:00:00,146.45,150.37,142.61,147.18
2022-01-18 20:00:00,147.13,147.16,143.14,144.6
2022-01-18 21:00:00,144.6,148.0,144.48,147.39
2022-01-18 22:00:00,147.37,148.85,146.83,148.44
2022-01-18 23:00:00,148.32,148.52,143.93,145.84
2022-01-19 00:00:00,145.84,148.42,145.57,146.55
2022-01-19 01:00:00,146.69,148.63,146.59,148.5
2022-01-19 02:00:00,148.39,151.97,148.31,150.4
2022-01-19 03:00:00,150.4,152.13,146.58,147.32
2022-01-19 04:00:00,147.39,148.88,147.18,148.46
2022-01-19 05:00:00,148.37,149.47,147.51,148.17
2022-01-19 06:00:00,148.17,148.82,146.69,147.01
2022-01-19 07:00:00,147.0,147.05,142.9,144.47
2022-01-19 08:00:00,144.62,145.03,142.77,144.02
2022-01-19 09:00:00,144.02,145.54,143.4,145.24
2022-01-19 10:00:00,144.95,144.96,142.1,143.49
2022-01-19 11:00:00,143.47,145.64,142.58,143.59
2022-01-19 12:00:00,143.59,144.8,143.24,143.41
2022-01-19 13:00:00,143.41,144.35,143.3,143.93
2022-01-19 14:00:00,143.93,144.65,143.23,143.88
2022-01-19 15:00:00,143.9,144.64,141.12,142.05
2022-01-19 16:00:00,142.05,142.25,134.98,137.66
2022-01-19 17:00:00,137.66,141.16,131.12,133.56
2022-01-19 18:00:00,133.4,137.78,131.0,137.21
2022-01-19 19:00:00,137.37,137.9,134.85,136.95
2022-01-19 20:00:00,136.96,137.9,135.55,137.47
2022-01-19 21:00:00,137.62,138.1,132.93,136.47
2022-01-19 22:00:00,136.47,139.5,135.85,137.7
2022-01-19 23:00:00,137.54,139.11,135.5,135.7
2022-01-20 00:00:00,135.76,138.68,135.1,135.93
2022-01-20 01:00:00,135.96,136.47,133.66,135.09
2022-01-20 02:00:00,135.2,137.53,135.2,136.75
2022-01-20 03:00:00,136.76,138.23,136.76,138.03
2022-01-20 04:00:00,138.03,139.33,137.41,139.09
2022-01-20 05:00:00,139.09,140.26,138.51,140.02
2022-01-20 06:00:00,140.23,143.74,140.08,143.25
2022-01-20 07:00:00,143.12,149.37,142.1,148.94
2022-01-20 08:00:00,148.77,148.79,146.43,146.56
2022-01-20 09:00:00,146.61,146.61,143.56,143.86
2022-01-20 10:00:00,143.85,144.39,142.55,142.85
2022-01-20 11:00:00,143.13,145.09,142.5,143.18
2022-01-20 12:00:00,143.38,143.38,140.53,141.54
2022-01-20 13:00:00,141.34,143.74,140.54,142.83
2022-01-20 14:00:00,143.15,147.34,142.57,146.62
2022-01-20 15:00:00,146.62,149.5,145.84,148.77
2022-01-20 16:00:00,148.9,149.5,146.86,147.52
2022-01-20 17:00:00,147.52,149.39,147.28,147.83
2022-01-20 18:00:00,147.83,152.69,146.27,149.9
