datetime,SFPBUSD_open,SFPBUSD_high,SFPBUSD_low,SFPBUSD_close
2022-05-12 08:00:00,0.3342,0.3369,0.3193,0.3237
2022-05-12 09:00:00,0.322,0.3444,0.3218,0.3444
2022-05-12 10:00:00,0.3428,0.3552,0.3391,0.3454
2022-05-12 11:00:00,0.3445,0.3625,0.3419,0.3598
2022-05-12 12:00:00,0.36,0.3602,0.3437,0.3447
2022-05-12 13:00:00,0.3454,0.3468,0.335,0.3351
2022-05-12 14:00:00,0.3362,0.3408,0.334,0.3393
2022-05-12 15:00:00,0.3368,0.3402,0.3344,0.3361
2022-05-12 16:00:00,0.3352,0.3352,0.32,0.3252
2022-05-12 17:00:00,0.3257,0.3265,0.3192,0.321
2022-05-12 18:00:00,0.3243,0.3356,0.324,0.3328
2022-05-12 19:00:00,0.3318,0.3447,0.3267,0.3421
2022-05-12 20:00:00,0.346,0.351,0.3445,0.3476
2022-05-12 21:00:00,0.3485,0.3617,0.3477,0.3617
2022-05-12 22:00:00,0.3604,0.3867,0.36,0.3851
2022-05-12 23:00:00,0.3814,0.3827,0.3743,0.3819
2022-05-13 00:00:00,0.3818,0.3928,0.3773,0.3844
2022-05-13 01:00:00,0.3843,0.3881,0.3807,0.3831
2022-05-13 02:00:00,0.3796,0.3818,0.37,0.37
2022-05-13 03:00:00,0.3737,0.38,0.3721,0.3768
2022-05-13 04:00:00,0.3795,0.39,0.3788,0.3817
2022-05-13 05:00:00,0.3817,0.3894,0.3769,0.3894
2022-05-13 06:00:00,0.3893,0.3925,0.3833,0.392
2022-05-13 07:00:00,0.3929,0.3967,0.3854,0.389
2022-05-13 08:00:00,0.3875,0.3906,0.3766,0.3902
2022-05-13 09:00:00,0.39,0.3978,0.3877,0.389
2022-05-13 10:00:00,0.389,0.3899,0.3694,0.3723
2022-05-13 11:00:00,0.3716,0.3762,0.3557,0.357
2022-05-13 12:00:00,0.3582,0.3628,0.3506,0.3506
2022-05-13 13:00:00,0.3509,0.3604,0.3479,0.3604
2022-05-13 14:00:00,0.3591,0.3592,0.3525,0.3554
2022-05-13 15:00:00,0.356,0.3577,0.3518,0.352
2022-05-13 16:00:00,0.3549,0.3596,0.3529,0.3596
2022-05-13 17:00:00,0.3586,0.3607,0.3532,0.3532
2022-05-13 18:00:00,0.3538,0.3538,0.344,0.3481
2022-05-13 19:00:00,0.3505,0.359,0.3471,0.358
2022-05-13 20:00:00,0.358,0.3725,0.3533,0.37
2022-05-13 21:00:00,0.37,0.3706,0.3641,0.3652
2022-05-13 22:00:00,0.3649,0.3682,0.3587,0.3606
2022-05-13 23:00:00,0.3595,0.3598,0.3396,0.3419
2022-05-14 00:00:00,0.3428,0.346,0.3391,0.3453
2022-05-14 01:00:00,0.3442,0.3517,0.342,0.3496
2022-05-14 02:00:00,0.3497,0.3523,0.3445,0.3451
2022-05-14 03:00:00,0.3462,0.3482,0.3424,0.3472
2022-05-14 04:00:00,0.3475,0.35,0.3406,0.3426
2022-05-14 05:00:00,0.3426,0.343,0.324,0.326
2022-05-14 06:00:00,0.3255,0.3291,0.3187,0.3282
2022-05-14 07:00:00,0.3269,0.3279,0.3229,0.3235
2022-05-14 08:00:00,0.3249,0.3249,0.317,0.3185
2022-05-14 09:00:00,0.3175,0.3235,0.316,0.3229
2022-05-14 10:00:00,0.323,0.3276,0.321,0.322
2022-05-14 11:00:00,0.3222,0.3442,0.3177,0.3429
2022-05-14 12:00:00,0.34,0.3449,0.3384,0.3397
2022-05-14 13:00:00,0.34,0.3415,0.3373,0.3376
2022-05-14 14:00:00,0.3369,0.3392,0.334,0.3374
2022-05-14 15:00:00,0.3393,0.3413,0.3346,0.3372
2022-05-14 16:00:00,0.3383,0.3451,0.3356,0.3426
2022-05-14 17:00:00,0.3426,0.3524,0.3403,0.3516
2022-05-14 18:00:00,0.3517,0.3537,0.348,0.3527
2022-05-14 19:00:00,0.3531,0.3611,0.35,0.3523
2022-05-14 20:00:00,0.3522,0.3534,0.344,0.3451
2022-05-14 21:00:00,0.3469,0.3483,0.3312,0.3333
2022-05-14 22:00:00,0.3337,0.3379,0.3291,0.3374
2022-05-14 23:00:00,0.3389,0.3446,0.3381,0.341
2022-05-15 00:00:00,0.3421,0.3452,0.3389,0.345
2022-05-15 01:00:00,0.3462,0.3611,0.3441,0.3589
2022-05-15 02:00:00,0.3601,0.3603,0.3495,0.3496
2022-05-15 03:00:00,0.3495,0.3523,0.3446,0.3446
2022-05-15 04:00:00,0.3443,0.3511,0.3434,0.3504
2022-05-15 05:00:00,0.3504,0.3532,0.3478,0.3532
2022-05-15 06:00:00,0.3539,0.3597,0.3508,0.3589
2022-05-15 07:00:00,0.3596,0.3625,0.353,0.3544
2022-05-15 08:00:00,0.3532,0.3542,0.348,0.3498
2022-05-15 09:00:00,0.351,0.3518,0.3459,0.3499
2022-05-15 10:00:00,0.3503,0.355,0.3483,0.3483
