datetime,YFIBUSD_open,YFIBUSD_high,YFIBUSD_low,YFIBUSD_close
2022-03-25 15:00:00,20524.41,20590.75,20487.0,20582.53
2022-03-25 16:00:00,20568.33,20598.05,20440.42,20578.51
2022-03-25 17:00:00,20494.14,20571.75,20439.65,20439.65
2022-03-25 18:00:00,20439.65,20653.4,20439.65,20592.75
2022-03-25 19:00:00,20590.81,20619.55,20469.97,20469.97
2022-03-25 20:00:00,20454.5,20626.65,20444.0,20597.48
2022-03-25 21:00:00,20537.52,20561.37,20444.56,20499.34
2022-03-25 22:00:00,20503.82,20770.96,20480.71,20733.02
2022-03-25 23:00:00,20757.59,20996.52,20757.59,20838.99
2022-03-26 00:00:00,20850.66,20959.55,20817.1,20929.98
2022-03-26 01:00:00,20953.65,21063.33,20844.12,20844.12
2022-03-26 02:00:00,20845.0,20991.67,20799.8,20991.67
2022-03-26 03:00:00,20964.78,21145.39,20964.78,21145.39
2022-03-26 04:00:00,21141.53,21141.53,21040.53,21075.97
2022-03-26 05:00:00,21065.71,21168.88,21040.31,21083.58
2022-03-26 06:00:00,21093.35,21093.35,20911.92,20917.82
2022-03-26 07:00:00,20919.79,20944.2,20752.01,20885.72
2022-03-26 08:00:00,20895.79,20921.03,20729.05,20756.89
2022-03-26 09:00:00,20760.08,20806.85,20704.15,20788.7
2022-03-26 10:00:00,20797.48,20953.65,20763.09,20932.46
2022-03-26 11:00:00,20959.53,21009.35,20878.65,21009.35
2022-03-26 12:00:00,21018.78,21048.71,20970.43,21002.62
2022-03-26 13:00:00,21002.62,21003.6,20960.66,21003.6
2022-03-26 14:00:00,21045.51,21107.95,20981.27,21000.0
2022-03-26 15:00:00,21006.46,21242.44,21006.46,21242.44
2022-03-26 16:00:00,21200.8,21200.8,21059.98,21144.66
2022-03-26 17:00:00,21175.09,21240.23,21110.56,21110.56
2022-03-26 18:00:00,21115.69,21200.0,21096.91,21145.48
2022-03-26 19:00:00,21151.16,21286.62,21151.16,21262.7
2022-03-26 20:00:00,21287.46,21309.7,21193.26,21278.96
2022-03-26 21:00:00,21270.45,21300.0,21165.91,21202.8
2022-03-26 22:00:00,21202.8,21236.75,21147.41,21207.93
2022-03-26 23:00:00,21202.41,21261.92,21110.56,21151.35
2022-03-27 00:00:00,21166.56,21222.39,21156.67,21156.67
2022-03-27 01:00:00,21156.67,21172.13,21126.71,21126.71
2022-03-27 02:00:00,21110.56,21201.47,21097.9,21201.47
2022-03-27 03:00:00,21180.55,21218.47,21126.71,21126.71
2022-03-27 04:00:00,21114.28,21114.28,21040.53,21040.53
2022-03-27 05:00:00,21033.63,21059.84,20953.88,21016.31
2022-03-27 06:00:00,21032.17,21063.33,20947.23,20947.23
2022-03-27 07:00:00,20985.17,20997.29,20739.74,20739.74
2022-03-27 08:00:00,20721.11,20929.98,20696.55,20929.98
2022-03-27 09:00:00,20939.95,20974.33,20853.87,20853.87
2022-03-27 10:00:00,20873.77,21104.8,20794.87,21095.63
2022-03-27 11:00:00,21107.96,21189.49,21029.04,21156.04
2022-03-27 12:00:00,21188.0,21202.05,21083.22,21197.52
2022-03-27 13:00:00,21203.68,21229.83,21117.07,21117.07
2022-03-27 14:00:00,21144.35,21172.33,21125.02,21172.33
2022-03-27 15:00:00,21172.33,21480.82,21065.92,21480.82
2022-03-27 16:00:00,21476.06,21809.69,21411.02,21775.54
2022-03-27 17:00:00,21782.95,22302.21,21703.48,22198.2
2022-03-27 18:00:00,22272.23,22294.6,22096.68,22270.53
2022-03-27 19:00:00,22249.4,22319.68,22028.04,22287.09
2022-03-27 20:00:00,22285.99,22461.49,22285.99,22422.14
2022-03-27 21:00:00,22422.14,22588.62,22422.14,22563.84
2022-03-27 22:00:00,22562.35,23000.0,22562.0,23000.0
2022-03-27 23:00:00,23000.0,23514.43,22904.54,23514.42
2022-03-28 00:00:00,23514.43,24015.81,23446.78,23600.59
2022-03-28 01:00:00,23614.23,23735.79,23377.06,23568.68
2022-03-28 02:00:00,23600.95,23646.54,23377.05,23446.19
2022-03-28 03:00:00,23494.49,23516.21,23344.47,23482.57
2022-03-28 04:00:00,23505.06,23505.06,23404.42,23452.32
2022-03-28 05:00:00,23445.39,23915.62,23445.39,23782.79
2022-03-28 06:00:00,23764.19,23941.06,23553.59,23553.59
2022-03-28 07:00:00,23553.88,23639.55,23191.12,23386.62
2022-03-28 08:00:00,23405.53,23493.18,23334.68,23401.42
2022-03-28 09:00:00,23400.1,23401.42,22818.33,22976.06
2022-03-28 10:00:00,22976.05,22994.01,22629.52,22677.06
2022-03-28 11:00:00,22680.18,22853.39,22400.0,22590.7
2022-03-28 12:00:00,22590.21,22692.19,22494.77,22690.0
2022-03-28 13:00:00,22699.11,22747.2,22562.97,22738.62
2022-03-28 14:00:00,22711.17,22977.01,22623.46,22814.09
2022-03-28 15:00:00,22797.42,22828.47,22674.63,22823.34
2022-03-28 16:00:00,22827.78,22859.7,22234.25,22348.78
2022-03-28 17:00:00,22296.37,22467.94,22227.79,22320.56
2022-03-28 18:00:00,22326.59,22914.72,21999.99,22252.22
2022-03-28 19:00:00,22242.35,22477.42,21990.0,22370.98
2022-03-28 20:00:00,22397.24,22608.0,22397.24,22561.54
2022-03-28 21:00:00,22590.98,22590.98,22305.09,22305.09
2022-03-28 22:00:00,22319.42,22345.34,22214.26,22228.12
2022-03-28 23:00:00,22249.8,22700.68,22249.8,22659.51
2022-03-29 00:00:00,22638.76,22770.63,22576.44,22754.94
2022-03-29 01:00:00,22776.18,22793.48,22582.62,22582.62
2022-03-29 02:00:00,22582.61,22599.63,22470.9,22519.27
2022-03-29 03:00:00,22557.42,22888.58,22557.42,22851.28
2022-03-29 04:00:00,22856.1,23011.21,22686.06,22752.6
2022-03-29 05:00:00,22731.38,22871.86,22702.73,22862.93
2022-03-29 06:00:00,22862.93,23000.0,22828.01,22927.53
2022-03-29 07:00:00,23000.0,23169.98,22966.9,23030.27
2022-03-29 08:00:00,23038.67,23225.0,22827.27,22981.12
2022-03-29 09:00:00,22964.21,23009.81,22841.68,22988.31
2022-03-29 10:00:00,22987.96,23002.31,22385.0,22618.94
2022-03-29 11:00:00,22596.01,22692.19,22170.2,22692.19
2022-03-29 12:00:00,22600.76,22785.15,22542.44,22741.2
2022-03-29 13:00:00,22748.36,23433.5,22746.28,23341.67
2022-03-29 14:00:00,23343.12,23873.38,23343.12,23570.15
2022-03-29 15:00:00,23628.63,23664.28,23161.69,23297.51
2022-03-29 16:00:00,23303.2,23420.34,23092.41,23159.75
2022-03-29 17:00:00,23114.03,23424.97,23047.74,23269.75
2022-03-29 18:00:00,23296.0,23434.92,23236.72,23410.72
2022-03-29 19:00:00,23319.06,23319.06,23035.0,23142.66
2022-03-29 20:00:00,23123.84,23158.78,22622.97,22800.3
2022-03-29 21:00:00,22816.52,23117.12,22729.07,22978.61
2022-03-29 22:00:00,23066.27,23174.05,23020.33,23123.36
2022-03-29 23:00:00,23121.97,23200.0,22766.37,22893.41
2022-03-30 00:00:00,22880.0,23093.33,22860.85,23093.33
2022-03-30 01:00:00,23091.44,23303.2,23091.44,23299.22
2022-03-30 02:00:00,23306.71,23555.16,23255.95,23536.72
2022-03-30 03:00:00,23547.36,24534.51,23450.6,24227.0
2022-03-30 04:00:00,24258.44,24576.16,24221.0,24379.76
2022-03-30 05:00:00,24377.48,24531.41,24108.26,24161.16
2022-03-30 06:00:00,24201.67,24237.08,23932.91,23940.9
2022-03-30 07:00:00,23936.19,23943.73,23717.35,23921.06
2022-03-30 08:00:00,23910.0,23910.0,23457.4,23571.18
2022-03-30 09:00:00,23554.49,23770.79,23358.45,23741.17
2022-03-30 10:00:00,23667.19,23773.29,23521.93,23724.21
2022-03-30 11:00:00,23754.99,23894.34,23648.56,23826.42
2022-03-30 12:00:00,23829.76,24005.02,23695.03,23986.72
2022-03-30 13:00:00,23959.63,24039.24,23836.33,23836.33
2022-03-30 14:00:00,23836.33,24298.1,23622.41,24276.18
2022-03-30 15:00:00,24275.24,24351.38,24095.44,24316.33
2022-03-30 16:00:00,24283.62,24368.22,23991.36,24124.63
2022-03-30 17:00:00,24124.21,24254.6,24020.52,24127.65
2022-03-30 18:00:00,24187.27,24309.39,23934.3,24039.24
2022-03-30 19:00:00,24036.92,24077.79,23869.17,23979.68
2022-03-30 20:00:00,23979.66,24311.64,23979.66,24285.37
2022-03-30 21:00:00,24316.39,24316.39,24122.43,24162.47
2022-03-30 22:00:00,24137.03,24137.82,23972.12,24059.48
2022-03-30 23:00:00,24037.63,24138.61,23894.78,23894.78
2022-03-31 00:00:00,23919.24,23941.06,23756.74,23770.43
2022-03-31 01:00:00,23767.61,23789.69,23503.81,23772.28
2022-03-31 02:00:00,23754.61,23823.71,23692.3,23814.57
2022-03-31 03:00:00,23809.45,23897.83,23665.35,23744.24
2022-03-31 04:00:00,23780.53,23930.47,23756.62,23930.47
2022-03-31 05:00:00,23915.41,24000.7,23864.57,23932.14
2022-03-31 06:00:00,23921.72,23921.72,23678.06,23768.74
2022-03-31 07:00:00,23776.53,23979.57,23717.35,23891.8
2022-03-31 08:00:00,23866.26,23866.26,23555.26,23555.26
2022-03-31 09:00:00,23553.59,23553.59,22766.37,23448.19
2022-03-31 10:00:00,23410.26,23564.3,23230.82,23274.1
2022-03-31 11:00:00,23220.54,23243.74,22717.08,22747.12
