datetime,SOLBUSD_open,SOLBUSD_high,SOLBUSD_low,SOLBUSD_close
2022-05-14 19:00:00,52.37,52.64,50.9,51.01
2022-05-14 20:00:00,51.0,51.22,50.57,50.76
2022-05-14 21:00:00,50.76,51.29,49.78,50.24
2022-05-14 22:00:00,50.25,50.46,49.56,50.12
2022-05-14 23:00:00,50.13,50.68,49.86,50.05
2022-05-15 00:00:00,50.04,51.43,49.8,50.96
2022-05-15 01:00:00,50.98,51.94,50.57,51.73
2022-05-15 02:00:00,51.73,52.5,51.28,51.39
2022-05-15 03:00:00,51.38,51.92,50.8,51.12
2022-05-15 04:00:00,51.12,51.59,50.7,51.54
2022-05-15 05:00:00,51.54,52.7,51.18,52.66
2022-05-15 06:00:00,52.68,53.6,51.97,53.4
2022-05-15 07:00:00,53.4,54.01,52.6,53.21
2022-05-15 08:00:00,53.2,53.4,52.2,52.68
2022-05-15 09:00:00,52.68,53.53,52.1,53.39
2022-05-15 10:00:00,53.4,54.74,52.32,52.83
2022-05-15 11:00:00,52.79,54.62,52.62,54.41
2022-05-15 12:00:00,54.41,54.74,53.91,54.38
2022-05-15 13:00:00,54.38,55.57,53.78,54.98
2022-05-15 14:00:00,54.98,55.3,54.22,55.2
2022-05-15 15:00:00,55.19,56.92,54.95,56.73
2022-05-15 16:00:00,56.75,57.99,56.16,57.39
2022-05-15 17:00:00,57.41,58.48,56.81,57.67
2022-05-15 18:00:00,57.68,59.24,57.47,58.77
2022-05-15 19:00:00,58.77,58.77,56.73,57.17
2022-05-15 20:00:00,57.15,57.33,56.03,56.43
2022-05-15 21:00:00,56.43,57.3,55.49,56.38
2022-05-15 22:00:00,56.38,56.53,55.23,56.03
2022-05-15 23:00:00,56.04,56.06,54.71,55.38
2022-05-16 00:00:00,55.38,56.35,55.03,55.49
2022-05-16 01:00:00,55.49,55.49,53.26,53.65
2022-05-16 02:00:00,53.65,54.35,53.11,53.74
2022-05-16 03:00:00,53.75,54.55,53.57,54.38
2022-05-16 04:00:00,54.38,54.38,52.6,53.08
2022-05-16 05:00:00,53.11,55.17,52.51,54.98
2022-05-16 06:00:00,54.99,55.02,53.76,53.77
2022-05-16 07:00:00,53.77,55.19,52.88,54.43
2022-05-16 08:00:00,54.42,55.43,52.97,53.0
2022-05-16 09:00:00,53.0,53.92,52.13,52.21
2022-05-16 10:00:00,52.21,53.53,51.81,53.21
2022-05-16 11:00:00,53.22,53.61,52.17,52.67
2022-05-16 12:00:00,52.65,54.83,52.53,54.63
2022-05-16 13:00:00,54.64,55.4,54.26,54.77
2022-05-16 14:00:00,54.78,55.4,53.71,53.94
2022-05-16 15:00:00,53.95,54.93,53.7,54.89
2022-05-16 16:00:00,54.89,55.75,54.55,54.91
2022-05-16 17:00:00,54.92,55.49,54.03,54.29
2022-05-16 18:00:00,54.28,54.56,53.09,53.72
2022-05-16 19:00:00,53.73,55.11,53.63,54.84
2022-05-16 20:00:00,54.84,55.0,53.78,54.56
2022-05-16 21:00:00,54.57,55.09,54.25,54.89
2022-05-16 22:00:00,54.88,56.08,54.71,55.67
2022-05-16 23:00:00,55.67,56.89,55.01,56.49
2022-05-17 00:00:00,56.48,56.92,56.03,56.76
2022-05-17 01:00:00,56.79,57.58,56.32,57.54
2022-05-17 02:00:00,57.58,57.6,55.56,55.71
2022-05-17 03:00:00,55.7,56.84,55.51,56.25
2022-05-17 04:00:00,56.25,57.02,56.2,56.67
2022-05-17 05:00:00,56.69,56.69,55.77,55.92
2022-05-17 06:00:00,55.91,56.42,55.36,55.61
2022-05-17 07:00:00,55.6,57.44,55.49,57.38
2022-05-17 08:00:00,57.37,58.18,56.89,57.26
2022-05-17 09:00:00,57.26,57.56,54.49,54.69
2022-05-17 10:00:00,54.69,55.52,54.23,55.1
2022-05-17 11:00:00,55.09,55.37,53.95,55.11
2022-05-17 12:00:00,55.12,55.54,54.67,54.79
2022-05-17 13:00:00,54.74,55.47,53.0,54.36
2022-05-17 14:00:00,54.37,56.01,54.15,55.14
2022-05-17 15:00:00,55.12,56.19,54.94,55.25
2022-05-17 16:00:00,55.26,56.76,55.16,56.43
2022-05-17 17:00:00,56.45,57.3,56.18,56.48
2022-05-17 18:00:00,56.49,57.54,56.49,56.95
2022-05-17 19:00:00,56.95,57.8,56.9,57.13
2022-05-17 20:00:00,57.13,57.19,55.96,56.11
2022-05-17 21:00:00,56.13,56.68,56.0,56.62
2022-05-17 22:00:00,56.61,56.61,54.81,55.02
2022-05-17 23:00:00,55.01,55.66,54.89,55.17
2022-05-18 00:00:00,55.18,55.96,54.91,55.88
2022-05-18 01:00:00,55.87,56.18,54.78,54.8
2022-05-18 02:00:00,54.81,55.41,54.71,55.36
2022-05-18 03:00:00,55.36,55.48,54.33,54.74
2022-05-18 04:00:00,54.74,54.85,53.87,54.32
2022-05-18 05:00:00,54.32,54.5,53.97,54.26
2022-05-18 06:00:00,54.26,54.34,53.73,54.12
2022-05-18 07:00:00,54.14,54.24,52.77,53.02
2022-05-18 08:00:00,53.01,53.25,51.23,51.5
2022-05-18 09:00:00,51.49,52.26,50.39,50.96
2022-05-18 10:00:00,50.97,51.07,49.46,50.34
2022-05-18 11:00:00,50.33,51.38,49.75,51.09
2022-05-18 12:00:00,51.09,51.21,50.34,50.56
