datetime,QUICKUSD_open,QUICKUSD_high,QUICKUSD_low,QUICKUSD_close
2022-05-06 05:00:00,155.15,156.77,155.14,156.3
2022-05-06 06:00:00,156.08,156.27,151.41,152.18
2022-05-06 07:00:00,151.9,152.79,149.52,151.06
2022-05-06 08:00:00,151.7,151.82,149.63,149.63
2022-05-06 09:00:00,149.32,149.72,147.55,148.26
2022-05-06 10:00:00,148.07,148.31,141.55,141.71
2022-05-06 11:00:00,141.66,144.19,139.76,141.91
2022-05-06 12:00:00,142.57,144.76,142.57,144.09
2022-05-06 13:00:00,143.7,144.64,140.19,142.01
2022-05-06 14:00:00,141.91,145.61,141.9,145.61
2022-05-06 15:00:00,145.65,148.06,145.25,145.36
2022-05-06 16:00:00,145.35,146.54,144.57,146.48
2022-05-06 17:00:00,146.5,146.5,145.15,145.15
2022-05-06 18:00:00,145.14,146.28,145.01,145.6
2022-05-06 19:00:00,145.25,146.81,145.08,145.63
2022-05-06 20:00:00,145.51,146.85,145.33,146.27
2022-05-06 21:00:00,146.36,146.57,145.04,145.5
2022-05-06 22:00:00,145.98,146.25,144.82,146.23
2022-05-06 23:00:00,146.3,146.7,145.82,145.82
2022-05-07 00:00:00,145.72,145.86,143.98,144.54
2022-05-07 01:00:00,144.57,144.74,143.99,144.41
2022-05-07 02:00:00,144.55,144.82,143.81,143.9
2022-05-07 03:00:00,144.1,144.1,142.51,142.59
2022-05-07 04:00:00,142.63,142.63,140.33,140.33
2022-05-07 05:00:00,140.34,142.14,140.0,141.87
2022-05-07 06:00:00,142.27,142.89,141.31,141.82
2022-05-07 07:00:00,142.21,144.12,142.21,144.09
2022-05-07 08:00:00,144.53,145.72,144.05,145.46
2022-05-07 09:00:00,145.31,145.31,144.56,145.27
2022-05-07 10:00:00,145.09,146.3,144.69,145.6
2022-05-07 11:00:00,145.92,146.07,145.13,145.51
2022-05-07 12:00:00,145.42,145.42,144.62,144.95
2022-05-07 13:00:00,144.97,145.76,144.57,144.98
2022-05-07 14:00:00,144.83,145.47,144.24,144.93
2022-05-07 15:00:00,145.22,145.44,144.52,145.38
2022-05-07 16:00:00,145.09,145.31,144.25,144.37
2022-05-07 17:00:00,144.37,144.67,144.08,144.37
2022-05-07 18:00:00,144.08,144.95,144.08,144.29
2022-05-07 19:00:00,144.43,145.08,144.43,144.81
2022-05-07 20:00:00,144.28,144.57,143.97,144.1
2022-05-07 21:00:00,144.33,144.49,143.77,143.79
2022-05-07 22:00:00,143.48,143.9,139.41,139.41
2022-05-07 23:00:00,139.74,140.83,139.19,139.72
2022-05-08 00:00:00,139.71,139.88,136.79,137.28
2022-05-08 01:00:00,137.5,137.93,136.15,136.64
