datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-13 15:00:00,3387.87,3393.43,3272.65,3303.01
2022-01-13 16:00:00,3302.69,3320.58,3288.47,3302.6
2022-01-13 17:00:00,3302.59,3305.79,3249.74,3282.94
2022-01-13 18:00:00,3282.32,3297.9,3265.06,3271.07
2022-01-13 19:00:00,3271.07,3292.83,3238.28,3271.95
2022-01-13 20:00:00,3271.91,3278.13,3233.67,3278.13
2022-01-13 21:00:00,3274.69,3277.76,3265.82,3271.34
2022-01-13 22:00:00,3271.35,3277.39,3245.89,3247.76
2022-01-13 23:00:00,3247.76,3265.57,3234.51,3241.88
2022-01-14 00:00:00,3241.6,3271.11,3220.41,3269.88
2022-01-14 01:00:00,3270.16,3270.66,3253.29,3260.57
2022-01-14 02:00:00,3260.44,3277.39,3247.55,3274.92
2022-01-14 03:00:00,3274.9,3276.8,3262.61,3268.33
2022-01-14 04:00:00,3268.33,3285.77,3268.33,3274.29
2022-01-14 05:00:00,3274.29,3308.27,3271.29,3306.52
2022-01-14 06:00:00,3306.84,3314.0,3293.21,3293.65
2022-01-14 07:00:00,3293.67,3296.61,3265.0,3269.84
2022-01-14 08:00:00,3269.76,3271.3,3241.37,3258.65
2022-01-14 09:00:00,3258.58,3276.25,3252.76,3264.13
2022-01-14 10:00:00,3264.23,3270.27,3216.45,3226.01
2022-01-14 11:00:00,3226.03,3226.83,3197.39,3203.11
2022-01-14 12:00:00,3202.93,3231.85,3188.34,3212.85
2022-01-14 13:00:00,3212.66,3232.13,3204.57,3210.59
2022-01-14 14:00:00,3210.72,3286.29,3204.8,3277.76
2022-01-14 15:00:00,3277.58,3300.0,3260.24,3279.76
2022-01-14 16:00:00,3279.77,3298.4,3258.89,3297.0
2022-01-14 17:00:00,3296.88,3309.49,3276.21,3281.09
2022-01-14 18:00:00,3280.67,3296.31,3272.15,3293.91
2022-01-14 19:00:00,3293.48,3328.58,3293.04,3309.71
2022-01-14 20:00:00,3309.71,3319.55,3300.0,3305.95
2022-01-14 21:00:00,3305.45,3346.81,3304.14,3332.8
2022-01-14 22:00:00,3332.8,3334.93,3315.78,3315.99
2022-01-14 23:00:00,3315.99,3321.02,3292.35,3310.45
2022-01-15 00:00:00,3309.98,3328.51,3303.42,3316.42
2022-01-15 01:00:00,3316.42,3320.0,3297.33,3305.16
2022-01-15 02:00:00,3305.16,3318.0,3298.12,3318.0
2022-01-15 03:00:00,3317.99,3323.98,3304.74,3309.13
2022-01-15 04:00:00,3309.11,3310.59,3295.04,3306.13
2022-01-15 05:00:00,3306.13,3318.46,3300.03,3309.38
2022-01-15 06:00:00,3309.24,3322.64,3304.51,3319.56
2022-01-15 07:00:00,3319.96,3321.02,3306.75,3315.99
2022-01-15 08:00:00,3315.99,3326.94,3312.28,3314.29
2022-01-15 09:00:00,3314.29,3334.81,3312.73,3331.7
2022-01-15 10:00:00,3331.8,3340.58,3324.7,3325.56
2022-01-15 11:00:00,3325.52,3326.7,3314.57,3320.18
2022-01-15 12:00:00,3320.32,3321.91,3260.0,3284.9
2022-01-15 13:00:00,3284.91,3311.81,3277.01,3304.17
2022-01-15 14:00:00,3304.16,3360.0,3294.82,3341.07
2022-01-15 15:00:00,3341.08,3370.99,3334.5,3364.82
2022-01-15 16:00:00,3364.79,3373.56,3355.24,3361.51
2022-01-15 17:00:00,3361.52,3364.16,3349.38,3352.71
2022-01-15 18:00:00,3352.68,3352.74,3342.67,3345.34
2022-01-15 19:00:00,3345.34,3352.39,3342.0,3352.02
2022-01-15 20:00:00,3351.88,3372.49,3351.88,3354.11
2022-01-15 21:00:00,3354.09,3355.67,3328.95,3336.39
2022-01-15 22:00:00,3336.5,3343.4,3328.14,3340.37
2022-01-15 23:00:00,3340.43,3347.19,3326.01,3328.12
2022-01-16 00:00:00,3327.81,3337.19,3317.88,3333.62
2022-01-16 01:00:00,3333.96,3339.53,3322.77,3323.13
2022-01-16 02:00:00,3323.55,3328.78,3297.56,3306.16
2022-01-16 03:00:00,3305.89,3322.48,3301.28,3316.61
2022-01-16 04:00:00,3316.62,3324.83,3308.5,3320.16
2022-01-16 05:00:00,3320.16,3325.83,3308.82,3308.82
2022-01-16 06:00:00,3308.81,3339.4,3306.54,3337.11
2022-01-16 07:00:00,3337.38,3341.69,3330.92,3334.52
2022-01-16 08:00:00,3335.07,3340.03,3312.94,3313.49
2022-01-16 09:00:00,3313.49,3325.48,3309.97,3321.05
2022-01-16 10:00:00,3321.21,3335.86,3306.3,3307.88
2022-01-16 11:00:00,3307.92,3320.69,3287.68,3314.32
2022-01-16 12:00:00,3314.0,3346.65,3313.86,3334.4
2022-01-16 13:00:00,3334.34,3345.15,3275.0,3341.91
2022-01-16 14:00:00,3341.9,3363.63,3329.42,3352.31
2022-01-16 15:00:00,3352.68,3363.14,3342.99,3354.88
2022-01-16 16:00:00,3354.79,3394.45,3345.98,3373.5
2022-01-16 17:00:00,3373.51,3377.39,3345.08,3348.06
2022-01-16 18:00:00,3348.19,3355.75,3345.36,3349.33
