datetime,KP3RBUSD_open,KP3RBUSD_high,KP3RBUSD_low,KP3RBUSD_close
2022-03-03 08:00:00,640.98,647.31,640.0,647.31
2022-03-03 09:00:00,647.78,649.0,639.37,641.64
2022-03-03 10:00:00,641.29,642.3,618.11,624.92
2022-03-03 11:00:00,625.42,632.36,617.28,624.24
2022-03-03 12:00:00,625.24,626.32,614.0,614.45
2022-03-03 13:00:00,614.0,620.11,612.24,612.74
2022-03-03 14:00:00,614.03,617.06,607.97,613.52
2022-03-03 15:00:00,613.56,620.44,607.66,613.86
2022-03-03 16:00:00,612.14,615.43,608.98,614.98
2022-03-03 17:00:00,614.0,626.35,614.0,623.47
2022-03-03 18:00:00,622.06,626.18,618.12,619.83
2022-03-03 19:00:00,618.79,620.84,605.0,606.95
2022-03-03 20:00:00,608.94,608.94,592.13,601.27
2022-03-03 21:00:00,601.02,604.1,597.94,601.02
2022-03-03 22:00:00,602.0,603.15,595.99,600.23
2022-03-03 23:00:00,600.38,601.25,594.2,599.58
2022-03-04 00:00:00,599.58,604.1,599.53,604.1
2022-03-04 01:00:00,603.93,607.86,596.53,599.56
2022-03-04 02:00:00,599.56,602.46,596.41,602.46
2022-03-04 03:00:00,601.68,609.82,595.99,607.79
2022-03-04 04:00:00,608.48,611.03,602.71,609.18
2022-03-04 05:00:00,609.18,625.9,608.11,616.49
2022-03-04 06:00:00,617.32,620.71,614.59,614.68
2022-03-04 07:00:00,616.41,618.12,600.88,605.33
2022-03-04 08:00:00,604.93,612.94,600.15,605.59
2022-03-04 09:00:00,606.61,612.0,601.45,610.96
2022-03-04 10:00:00,612.0,613.21,587.01,587.72
2022-03-04 11:00:00,587.25,594.81,583.6,587.89
2022-03-04 12:00:00,587.01,595.22,585.0,594.0
2022-03-04 13:00:00,595.63,596.39,587.5,587.5
2022-03-04 14:00:00,587.17,587.36,568.06,568.06
2022-03-04 15:00:00,569.34,578.29,565.75,568.89
2022-03-04 16:00:00,568.6,573.59,563.34,567.0
2022-03-04 17:00:00,566.5,567.37,556.1,566.54
2022-03-04 18:00:00,567.68,569.99,561.7,565.83
2022-03-04 19:00:00,565.96,567.66,560.9,560.9
2022-03-04 20:00:00,560.89,575.41,559.65,564.85
2022-03-04 21:00:00,565.08,575.92,565.0,575.49
2022-03-04 22:00:00,574.76,583.36,569.7,574.39
2022-03-04 23:00:00,574.9,575.24,565.55,568.15
2022-03-05 00:00:00,568.09,576.46,566.11,575.31
2022-03-05 01:00:00,575.43,580.62,572.49,575.8
2022-03-05 02:00:00,575.16,581.5,571.0,579.04
2022-03-05 03:00:00,579.08,581.0,573.03,578.1
2022-03-05 04:00:00,578.56,578.58,575.1,576.61
2022-03-05 05:00:00,577.89,579.59,570.59,576.46
2022-03-05 06:00:00,577.48,579.3,575.0,575.0
2022-03-05 07:00:00,576.97,595.22,576.97,589.3
2022-03-05 08:00:00,589.27,590.35,575.15,578.24
2022-03-05 09:00:00,576.43,584.09,575.0,578.86
2022-03-05 10:00:00,577.61,580.31,575.11,578.86
2022-03-05 11:00:00,579.36,591.84,576.3,585.0
2022-03-05 12:00:00,585.01,597.0,584.97,591.09
2022-03-05 13:00:00,592.27,592.88,585.25,587.59
2022-03-05 14:00:00,588.37,655.0,588.37,643.96
2022-03-05 15:00:00,643.39,649.0,616.2,619.91
2022-03-05 16:00:00,619.73,635.0,612.36,613.66
2022-03-05 17:00:00,614.89,635.78,610.96,623.22
2022-03-05 18:00:00,622.69,636.08,619.44,628.48
2022-03-05 19:00:00,628.48,648.99,622.65,647.89
2022-03-05 20:00:00,647.9,647.9,619.26,624.48
2022-03-05 21:00:00,623.88,623.88,618.47,619.64
2022-03-05 22:00:00,619.64,621.96,602.83,603.38
2022-03-05 23:00:00,603.41,610.46,594.01,605.0
2022-03-06 00:00:00,605.9,610.93,600.22,602.85
2022-03-06 01:00:00,602.85,608.72,598.6,600.0
2022-03-06 02:00:00,600.47,600.47,577.11,579.16
2022-03-06 03:00:00,579.18,579.18,557.0,557.0
2022-03-06 04:00:00,557.0,559.99,483.15,490.37
2022-03-06 05:00:00,488.67,504.32,444.56,471.67
2022-03-06 06:00:00,472.24,473.39,448.46,465.0
2022-03-06 07:00:00,464.77,471.85,427.0,430.6
2022-03-06 08:00:00,430.01,448.41,429.01,445.56
2022-03-06 09:00:00,446.0,457.0,432.65,454.65
2022-03-06 10:00:00,454.7,455.98,435.74,447.97
2022-03-06 11:00:00,448.99,454.0,435.83,435.83
2022-03-06 12:00:00,435.74,437.19,411.13,423.16
2022-03-06 13:00:00,422.6,428.31,412.87,427.14
2022-03-06 14:00:00,427.19,435.0,419.0,422.98
2022-03-06 15:00:00,422.0,431.16,420.83,425.92
2022-03-06 16:00:00,425.63,428.7,422.49,426.43
2022-03-06 17:00:00,426.43,429.33,422.86,424.93
2022-03-06 18:00:00,423.73,425.0,383.21,387.04
2022-03-06 19:00:00,387.55,392.82,385.55,389.09
2022-03-06 20:00:00,390.37,396.74,378.38,384.69
2022-03-06 21:00:00,384.1,387.28,371.35,382.08
2022-03-06 22:00:00,382.66,387.45,379.48,386.0
2022-03-06 23:00:00,386.01,387.17,382.36,384.04
2022-03-07 00:00:00,384.13,390.43,376.1,389.85
2022-03-07 01:00:00,388.9,419.79,386.93,415.15
2022-03-07 02:00:00,413.51,435.13,400.53,406.92
2022-03-07 03:00:00,407.43,415.33,393.94,406.55
2022-03-07 04:00:00,406.16,417.0,403.6,413.26
2022-03-07 05:00:00,413.11,415.99,398.85,402.45
2022-03-07 06:00:00,402.36,409.42,399.0,404.49
2022-03-07 07:00:00,404.68,419.0,404.56,408.92
2022-03-07 08:00:00,409.33,413.18,405.37,408.52
2022-03-07 09:00:00,408.57,410.0,393.32,401.37
2022-03-07 10:00:00,400.6,403.96,383.88,393.62
2022-03-07 11:00:00,393.65,394.64,380.96,381.92
2022-03-07 12:00:00,382.17,383.81,376.88,377.91
2022-03-07 13:00:00,377.51,378.29,365.41,369.43
2022-03-07 14:00:00,369.95,373.91,354.23,362.79
2022-03-07 15:00:00,361.78,371.63,356.37,366.63
2022-03-07 16:00:00,366.63,374.68,365.0,367.97
2022-03-07 17:00:00,367.84,375.15,367.83,370.7
2022-03-07 18:00:00,370.65,376.0,366.02,366.8
2022-03-07 19:00:00,366.8,372.72,364.0,369.88
2022-03-07 20:00:00,369.24,372.0,365.49,367.96
2022-03-07 21:00:00,367.35,374.99,366.57,371.17
2022-03-07 22:00:00,371.83,373.87,367.35,370.08
2022-03-07 23:00:00,370.8,375.0,369.15,370.23
2022-03-08 00:00:00,370.86,373.78,366.92,369.35
2022-03-08 01:00:00,367.96,371.05,359.85,363.69
2022-03-08 02:00:00,363.96,368.03,362.84,364.35
2022-03-08 03:00:00,364.47,381.08,364.01,375.47
2022-03-08 04:00:00,375.43,394.99,371.0,390.17
2022-03-08 05:00:00,389.67,393.0,378.39,388.84
2022-03-08 06:00:00,388.68,388.86,376.84,380.07
2022-03-08 07:00:00,380.35,386.76,376.3,379.98
2022-03-08 08:00:00,380.04,382.27,374.28,376.74
2022-03-08 09:00:00,376.79,379.8,370.37,371.39
2022-03-08 10:00:00,371.0,374.38,360.69,364.78
2022-03-08 11:00:00,365.15,373.2,355.9,358.9
2022-03-08 12:00:00,358.9,371.9,358.69,371.61
2022-03-08 13:00:00,371.95,382.16,367.44,367.44
2022-03-08 14:00:00,367.32,372.29,363.15,369.11
2022-03-08 15:00:00,368.38,370.08,363.99,366.64
2022-03-08 16:00:00,364.96,369.15,359.25,360.69
2022-03-08 17:00:00,359.73,363.55,359.68,362.04
2022-03-08 18:00:00,361.8,364.2,358.0,358.12
2022-03-08 19:00:00,358.14,364.99,357.6,363.92
2022-03-08 20:00:00,364.97,368.47,362.43,367.99
2022-03-08 21:00:00,367.5,373.17,364.82,365.5
2022-03-08 22:00:00,365.89,388.51,364.75,380.37
2022-03-08 23:00:00,380.64,385.81,378.84,381.6
2022-03-09 00:00:00,381.01,383.99,376.14,383.31
2022-03-09 01:00:00,382.82,388.99,377.13,381.77
