datetime,IOTXUSD_open,IOTXUSD_high,IOTXUSD_low,IOTXUSD_close
2022-03-23 15:00:00,0.10104,0.10537,0.1008,0.10405
2022-03-23 16:00:00,0.10388,0.1055,0.10291,0.10374
2022-03-23 17:00:00,0.10348,0.1039,0.10261,0.1028
2022-03-23 18:00:00,0.10277,0.1033,0.10189,0.10208
2022-03-23 19:00:00,0.1024,0.103,0.10136,0.10249
2022-03-23 20:00:00,0.10252,0.10301,0.10084,0.10265
2022-03-23 21:00:00,0.10289,0.10307,0.10096,0.1016
2022-03-23 22:00:00,0.10184,0.10184,0.10058,0.10122
2022-03-23 23:00:00,0.10124,0.10313,0.10106,0.10253
2022-03-24 00:00:00,0.10237,0.10305,0.10159,0.10166
2022-03-24 01:00:00,0.10168,0.10222,0.10051,0.10057
2022-03-24 02:00:00,0.10057,0.10206,0.10049,0.10168
2022-03-24 03:00:00,0.10176,0.10273,0.10103,0.1018
2022-03-24 04:00:00,0.10181,0.10262,0.10123,0.10168
2022-03-24 05:00:00,0.10179,0.10229,0.10168,0.10186
2022-03-24 06:00:00,0.10186,0.10288,0.1009,0.10128
2022-03-24 07:00:00,0.10108,0.10237,0.10108,0.10165
2022-03-24 08:00:00,0.10172,0.10282,0.10077,0.10264
2022-03-24 09:00:00,0.10258,0.10292,0.10162,0.10205
2022-03-24 10:00:00,0.102,0.10285,0.10155,0.10229
2022-03-24 11:00:00,0.10234,0.10285,0.10187,0.10223
2022-03-24 12:00:00,0.10201,0.10223,0.09993,0.10109
2022-03-24 13:00:00,0.101,0.10175,0.10011,0.10118
2022-03-24 14:00:00,0.10138,0.10257,0.10025,0.10161
2022-03-24 15:00:00,0.10169,0.10221,0.1012,0.10187
2022-03-24 16:00:00,0.10191,0.10248,0.1009,0.10142
2022-03-24 17:00:00,0.10144,0.10224,0.10037,0.10113
2022-03-24 18:00:00,0.10101,0.10187,0.10006,0.10127
2022-03-24 19:00:00,0.10114,0.10292,0.10088,0.10122
2022-03-24 20:00:00,0.1014,0.102,0.10099,0.10109
2022-03-24 21:00:00,0.10106,0.10139,0.10025,0.1009
2022-03-24 22:00:00,0.10091,0.10141,0.1007,0.10098
2022-03-24 23:00:00,0.10098,0.10176,0.10096,0.1015
2022-03-25 00:00:00,0.10161,0.10162,0.10035,0.10084
2022-03-25 01:00:00,0.10105,0.10186,0.10076,0.10122
2022-03-25 02:00:00,0.10122,0.10354,0.10049,0.10313
2022-03-25 03:00:00,0.10305,0.10386,0.10238,0.10301
2022-03-25 04:00:00,0.10328,0.10497,0.10235,0.10497
2022-03-25 05:00:00,0.10498,0.10676,0.10371,0.10468
2022-03-25 06:00:00,0.10472,0.106,0.10387,0.10414
2022-03-25 07:00:00,0.10418,0.10522,0.10373,0.10373
2022-03-25 08:00:00,0.10373,0.10385,0.10282,0.10377
2022-03-25 09:00:00,0.10385,0.10491,0.10334,0.10444
2022-03-25 10:00:00,0.10435,0.10493,0.10335,0.10409
2022-03-25 11:00:00,0.10416,0.10466,0.10327,0.10447
2022-03-25 12:00:00,0.10447,0.10465,0.10371,0.10444
2022-03-25 13:00:00,0.10448,0.10487,0.10408,0.10485
2022-03-25 14:00:00,0.10485,0.1095,0.10478,0.1073
2022-03-25 15:00:00,0.1073,0.10763,0.10109,0.10184
2022-03-25 16:00:00,0.10184,0.1023,0.101,0.10106
2022-03-25 17:00:00,0.10107,0.10175,0.1001,0.10109
2022-03-25 18:00:00,0.10109,0.1045,0.10095,0.10395
2022-03-25 19:00:00,0.10395,0.1065,0.1028,0.1028
2022-03-25 20:00:00,0.10279,0.10426,0.10272,0.10349
2022-03-25 21:00:00,0.10349,0.10458,0.1018,0.1021
2022-03-25 22:00:00,0.1021,0.10228,0.101,0.1016
2022-03-25 23:00:00,0.10157,0.10282,0.10103,0.10193
2022-03-26 00:00:00,0.10165,0.10198,0.10144,0.10159
2022-03-26 01:00:00,0.1015,0.10318,0.10146,0.10223
2022-03-26 02:00:00,0.10226,0.10329,0.10213,0.10325
2022-03-26 03:00:00,0.10304,0.1034,0.10202,0.10299
2022-03-26 04:00:00,0.10319,0.10371,0.10189,0.10217
2022-03-26 05:00:00,0.10253,0.10533,0.10238,0.10428
2022-03-26 06:00:00,0.10427,0.10541,0.10391,0.10541
2022-03-26 07:00:00,0.10541,0.10541,0.10406,0.10466
2022-03-26 08:00:00,0.10476,0.10591,0.10215,0.10376
2022-03-26 09:00:00,0.10381,0.10457,0.10357,0.1041
2022-03-26 10:00:00,0.10378,0.10457,0.1032,0.10431
2022-03-26 11:00:00,0.10401,0.10457,0.10282,0.10297
2022-03-26 12:00:00,0.10299,0.10405,0.10131,0.10272
2022-03-26 13:00:00,0.10267,0.10284,0.10112,0.10157
2022-03-26 14:00:00,0.10157,0.1017,0.10119,0.1017
2022-03-26 15:00:00,0.10154,0.1017,0.10112,0.10141
2022-03-26 16:00:00,0.10141,0.10252,0.10141,0.10252
2022-03-26 17:00:00,0.10252,0.10329,0.10226,0.10305
2022-03-26 18:00:00,0.10305,0.1033,0.10164,0.10235
2022-03-26 19:00:00,0.1024,0.10345,0.10179,0.10216
2022-03-26 20:00:00,0.10195,0.10308,0.10192,0.10263
2022-03-26 21:00:00,0.10263,0.10285,0.10179,0.10233
2022-03-26 22:00:00,0.10244,0.10277,0.10182,0.10254
2022-03-26 23:00:00,0.1028,0.10315,0.10163,0.10207
2022-03-27 00:00:00,0.10189,0.10281,0.10162,0.10185
2022-03-27 01:00:00,0.10201,0.10239,0.10165,0.10239
2022-03-27 02:00:00,0.10239,0.10264,0.10167,0.10195
