datetime,MATICUSD_open,MATICUSD_high,MATICUSD_low,MATICUSD_close
2022-03-31 23:00:00,1.6304,1.6311,1.6079,1.6189
2022-04-01 00:00:00,1.6188,1.6355,1.6108,1.6329
2022-04-01 01:00:00,1.6323,1.634,1.6087,1.6096
2022-04-01 02:00:00,1.6091,1.6167,1.5604,1.5694
2022-04-01 03:00:00,1.569,1.5868,1.5635,1.5868
2022-04-01 04:00:00,1.5869,1.6031,1.5858,1.6001
2022-04-01 05:00:00,1.6002,1.61,1.5975,1.6092
2022-04-01 06:00:00,1.6095,1.6222,1.6036,1.6219
2022-04-01 07:00:00,1.6219,1.6357,1.6191,1.6356
2022-04-01 08:00:00,1.6356,1.6497,1.6332,1.6357
2022-04-01 09:00:00,1.6354,1.6426,1.6253,1.6331
2022-04-01 10:00:00,1.6319,1.6391,1.625,1.6381
2022-04-01 11:00:00,1.6389,1.645,1.6287,1.6311
2022-04-01 12:00:00,1.6313,1.6467,1.6118,1.6434
2022-04-01 13:00:00,1.6434,1.6643,1.6425,1.6542
2022-04-01 14:00:00,1.6535,1.6911,1.6533,1.6909
2022-04-01 15:00:00,1.6903,1.6976,1.6746,1.6864
2022-04-01 16:00:00,1.6864,1.6915,1.673,1.6742
2022-04-01 17:00:00,1.6738,1.6987,1.6677,1.6925
2022-04-01 18:00:00,1.6932,1.7128,1.6892,1.7074
2022-04-01 19:00:00,1.7075,1.7115,1.6968,1.7115
2022-04-01 20:00:00,1.7112,1.7122,1.692,1.6974
2022-04-01 21:00:00,1.6988,1.707,1.6969,1.7016
2022-04-01 22:00:00,1.7017,1.71,1.6867,1.6973
2022-04-01 23:00:00,1.6972,1.6973,1.6817,1.6961
2022-04-02 00:00:00,1.6955,1.7271,1.6846,1.7238
2022-04-02 01:00:00,1.7242,1.7271,1.7043,1.715
2022-04-02 02:00:00,1.7149,1.7266,1.7045,1.714
2022-04-02 03:00:00,1.714,1.718,1.7051,1.7164
2022-04-02 04:00:00,1.7166,1.7213,1.7124,1.7165
2022-04-02 05:00:00,1.7179,1.7282,1.7154,1.726
2022-04-02 06:00:00,1.7256,1.729,1.719,1.7266
2022-04-02 07:00:00,1.7263,1.7282,1.7168,1.7231
2022-04-02 08:00:00,1.7226,1.7227,1.7147,1.7197
2022-04-02 09:00:00,1.7201,1.7276,1.7161,1.727
2022-04-02 10:00:00,1.7271,1.7273,1.7009,1.7144
2022-04-02 11:00:00,1.7136,1.7142,1.6975,1.6986
2022-04-02 12:00:00,1.6989,1.7168,1.6817,1.7072
2022-04-02 13:00:00,1.7066,1.7224,1.705,1.7101
2022-04-02 14:00:00,1.7102,1.7127,1.6937,1.7009
2022-04-02 15:00:00,1.7002,1.7005,1.6645,1.6778
2022-04-02 16:00:00,1.6772,1.6883,1.6679,1.6802
