datetime,NEARBUSD_open,NEARBUSD_high,NEARBUSD_low,NEARBUSD_close
2022-01-24 09:00:00,9.897,10.492,9.738,10.1
2022-01-24 10:00:00,10.1,10.456,9.824,10.3
2022-01-24 11:00:00,10.299,10.388,9.884,10.063
2022-01-24 12:00:00,10.053,10.597,9.808,10.454
2022-01-24 13:00:00,10.455,10.8,10.295,10.6
2022-01-24 14:00:00,10.584,10.611,10.154,10.457
2022-01-24 15:00:00,10.441,11.087,10.433,10.929
2022-01-24 16:00:00,10.928,10.928,10.667,10.687
2022-01-24 17:00:00,10.696,10.75,10.523,10.546
2022-01-24 18:00:00,10.554,10.748,10.539,10.729
2022-01-24 19:00:00,10.714,10.729,10.28,10.302
2022-01-24 20:00:00,10.321,10.386,10.192,10.225
2022-01-24 21:00:00,10.238,10.511,10.175,10.489
2022-01-24 22:00:00,10.495,10.496,10.248,10.457
2022-01-24 23:00:00,10.445,10.499,10.065,10.091
2022-01-25 00:00:00,10.087,10.249,10.079,10.235
2022-01-25 01:00:00,10.233,10.277,10.103,10.108
2022-01-25 02:00:00,10.107,10.33,9.979,10.304
2022-01-25 03:00:00,10.299,10.6,10.268,10.367
2022-01-25 04:00:00,10.371,10.69,10.326,10.611
2022-01-25 05:00:00,10.615,10.865,10.54,10.653
2022-01-25 06:00:00,10.65,11.017,10.452,10.983
2022-01-25 07:00:00,10.972,11.115,10.765,10.765
2022-01-25 08:00:00,10.774,10.806,10.51,10.75
2022-01-25 09:00:00,10.738,11.196,10.683,10.715
2022-01-25 10:00:00,10.7,11.42,10.55,11.166
2022-01-25 11:00:00,11.163,11.677,11.16,11.545
2022-01-25 12:00:00,11.548,12.0,11.51,11.797
2022-01-25 13:00:00,11.794,12.15,11.708,12.116
2022-01-25 14:00:00,12.108,12.496,11.853,12.317
2022-01-25 15:00:00,12.295,12.309,11.945,12.109
2022-01-25 16:00:00,12.128,12.131,11.641,11.843
2022-01-25 17:00:00,11.831,11.952,11.649,11.908
2022-01-25 18:00:00,11.908,12.291,11.863,12.122
2022-01-25 19:00:00,12.132,12.481,11.685,11.831
2022-01-25 20:00:00,11.844,12.027,11.622,11.914
2022-01-25 21:00:00,11.902,11.983,11.747,11.786
2022-01-25 22:00:00,11.785,11.952,11.716,11.805
2022-01-25 23:00:00,11.805,12.403,11.677,12.14
2022-01-26 00:00:00,12.151,12.209,12.0,12.082
2022-01-26 01:00:00,12.069,12.096,11.559,11.615
2022-01-26 02:00:00,11.628,11.751,11.454,11.718
2022-01-26 03:00:00,11.7,11.947,11.699,11.781
2022-01-26 04:00:00,11.78,11.952,11.731,11.818
2022-01-26 05:00:00,11.798,12.05,11.711,12.002
2022-01-26 06:00:00,12.01,12.114,11.844,12.005
2022-01-26 07:00:00,12.004,12.004,11.816,11.855
2022-01-26 08:00:00,11.851,12.19,11.832,12.153
2022-01-26 09:00:00,12.142,12.615,12.072,12.196
2022-01-26 10:00:00,12.174,12.41,11.981,12.101
2022-01-26 11:00:00,12.113,12.318,12.052,12.242
2022-01-26 12:00:00,12.255,12.338,11.791,11.791
2022-01-26 13:00:00,11.813,12.169,11.588,11.959
2022-01-26 14:00:00,11.961,12.95,11.939,11.949
2022-01-26 15:00:00,11.946,11.968,11.26,11.49
2022-01-26 16:00:00,11.466,11.568,10.727,10.809
2022-01-26 17:00:00,10.811,11.203,10.777,11.106
2022-01-26 18:00:00,11.115,11.386,11.041,11.302
2022-01-26 19:00:00,11.303,11.439,11.138,11.307
2022-01-26 20:00:00,11.308,11.308,10.627,10.674
2022-01-26 21:00:00,10.683,10.885,10.63,10.826
2022-01-26 22:00:00,10.827,10.917,10.485,10.62
2022-01-26 23:00:00,10.615,10.746,10.566,10.707
2022-01-27 00:00:00,10.707,10.865,10.677,10.705
2022-01-27 01:00:00,10.7,10.88,10.609,10.836
2022-01-27 02:00:00,10.837,11.133,10.728,10.968
2022-01-27 03:00:00,10.973,11.179,10.8,11.131
2022-01-27 04:00:00,11.131,11.461,11.05,11.267
2022-01-27 05:00:00,11.255,11.359,11.105,11.149
2022-01-27 06:00:00,11.152,11.355,11.151,11.344
2022-01-27 07:00:00,11.35,11.41,11.157,11.32
2022-01-27 08:00:00,11.329,11.651,11.283,11.6
2022-01-27 09:00:00,11.595,11.778,11.525,11.568
2022-01-27 10:00:00,11.584,11.699,11.255,11.304
2022-01-27 11:00:00,11.306,11.489,11.157,11.267
2022-01-27 12:00:00,11.276,11.351,11.07,11.224
2022-01-27 13:00:00,11.222,11.267,10.978,11.113
2022-01-27 14:00:00,11.108,11.25,10.769,10.801
2022-01-27 15:00:00,10.805,10.927,10.264,10.284
2022-01-27 16:00:00,10.287,10.403,10.072,10.151
2022-01-27 17:00:00,10.156,10.344,9.939,10.191
2022-01-27 18:00:00,10.186,10.602,10.186,10.541
2022-01-27 19:00:00,10.546,10.662,10.371,10.542
2022-01-27 20:00:00,10.526,10.658,10.272,10.394
2022-01-27 21:00:00,10.385,10.484,10.228,10.446
2022-01-27 22:00:00,10.433,10.621,10.403,10.519
2022-01-27 23:00:00,10.537,10.593,10.395,10.471
2022-01-28 00:00:00,10.47,10.674,10.433,10.56
2022-01-28 01:00:00,10.559,10.651,10.37,10.37
2022-01-28 02:00:00,10.38,10.473,10.251,10.288
2022-01-28 03:00:00,10.295,10.432,10.249,10.417
