datetime,EGLDBUSD_open,EGLDBUSD_high,EGLDBUSD_low,EGLDBUSD_close
2022-04-21 07:00:00,165.56,166.68,164.61,166.17
2022-04-21 08:00:00,166.21,167.7,166.12,166.4
2022-04-21 09:00:00,166.44,166.72,165.45,166.72
2022-04-21 10:00:00,166.71,167.37,165.33,165.39
2022-04-21 11:00:00,165.46,166.4,164.61,164.62
2022-04-21 12:00:00,164.6,165.29,163.03,163.36
2022-04-21 13:00:00,163.25,164.74,162.67,163.39
2022-04-21 14:00:00,163.26,163.39,160.5,160.64
2022-04-21 15:00:00,160.51,161.09,156.85,157.73
2022-04-21 16:00:00,157.52,158.99,157.34,157.5
2022-04-21 17:00:00,157.45,157.83,154.55,156.89
2022-04-21 18:00:00,156.81,158.17,156.25,157.91
2022-04-21 19:00:00,157.91,160.06,156.91,159.9
2022-04-21 20:00:00,160.02,160.02,158.91,159.41
2022-04-21 21:00:00,159.41,160.0,158.82,159.06
2022-04-21 22:00:00,159.25,160.0,158.81,159.23
2022-04-21 23:00:00,159.29,160.73,159.28,160.73
2022-04-22 00:00:00,160.73,162.9,159.95,162.6
2022-04-22 01:00:00,162.61,163.81,162.15,162.19
2022-04-22 02:00:00,162.19,162.21,160.0,161.37
2022-04-22 03:00:00,161.41,162.06,160.1,160.11
2022-04-22 04:00:00,160.12,160.25,158.78,159.03
2022-04-22 05:00:00,159.0,159.91,157.54,159.91
2022-04-22 06:00:00,159.86,160.47,159.31,160.25
2022-04-22 07:00:00,160.15,160.43,158.83,159.12
2022-04-22 08:00:00,159.11,159.96,157.3,157.83
2022-04-22 09:00:00,157.84,158.62,154.62,155.16
2022-04-22 10:00:00,155.16,156.04,153.78,154.02
2022-04-22 11:00:00,153.99,155.19,152.98,154.08
2022-04-22 12:00:00,154.11,155.74,153.73,155.11
2022-04-22 13:00:00,155.0,156.06,154.19,155.56
2022-04-22 14:00:00,155.39,155.88,154.36,154.48
2022-04-22 15:00:00,154.47,156.02,154.27,156.02
2022-04-22 16:00:00,156.01,156.26,155.56,155.65
2022-04-22 17:00:00,155.59,155.66,154.3,154.79
2022-04-22 18:00:00,155.05,155.37,154.55,155.34
2022-04-22 19:00:00,154.59,155.54,153.27,153.31
2022-04-22 20:00:00,153.33,154.4,153.0,153.64
2022-04-22 21:00:00,153.34,153.75,152.31,152.75
2022-04-22 22:00:00,152.64,152.98,151.95,152.88
2022-04-22 23:00:00,152.93,153.83,151.48,152.93
2022-04-23 00:00:00,152.9,153.5,152.58,152.7
2022-04-23 01:00:00,152.65,153.41,152.46,152.89
2022-04-23 02:00:00,152.94,153.95,152.92,153.91
2022-04-23 03:00:00,153.85,154.91,153.26,154.48
2022-04-23 04:00:00,154.52,154.96,154.04,154.21
2022-04-23 05:00:00,154.29,155.15,154.2,154.44
2022-04-23 06:00:00,154.53,155.19,154.39,154.73
2022-04-23 07:00:00,154.73,154.75,153.39,153.75
2022-04-23 08:00:00,153.96,155.0,153.96,154.86
2022-04-23 09:00:00,154.84,155.31,154.37,154.5
2022-04-23 10:00:00,154.49,155.43,154.15,155.08
2022-04-23 11:00:00,155.07,156.65,155.05,156.05
2022-04-23 12:00:00,155.91,156.34,154.83,156.07
2022-04-23 13:00:00,156.04,156.2,154.41,154.6
2022-04-23 14:00:00,154.52,155.55,154.29,155.48
2022-04-23 15:00:00,155.54,155.91,154.58,155.77
2022-04-23 16:00:00,155.81,156.28,155.49,156.16
2022-04-23 17:00:00,156.2,156.24,155.24,155.25
2022-04-23 18:00:00,155.32,156.69,153.02,153.84
2022-04-23 19:00:00,153.72,154.8,153.69,154.3
2022-04-23 20:00:00,154.25,155.24,154.0,154.02
2022-04-23 21:00:00,154.06,155.27,153.86,154.61
2022-04-23 22:00:00,154.55,155.76,154.43,155.51
2022-04-23 23:00:00,155.53,156.07,155.04,155.25
2022-04-24 00:00:00,155.17,155.55,154.85,155.11
2022-04-24 01:00:00,155.02,156.39,154.93,155.33
2022-04-24 02:00:00,155.47,155.92,154.74,154.86
2022-04-24 03:00:00,155.13,155.18,154.56,154.56
2022-04-24 04:00:00,154.53,155.92,154.47,155.31
2022-04-24 05:00:00,155.27,155.51,154.67,154.76
2022-04-24 06:00:00,154.71,154.98,153.26,153.9
2022-04-24 07:00:00,153.86,154.46,153.26,153.49
2022-04-24 08:00:00,153.46,154.42,152.67,153.5
2022-04-24 09:00:00,153.53,154.66,151.89,153.91
2022-04-24 10:00:00,153.95,154.59,152.85,153.59
2022-04-24 11:00:00,153.47,153.69,151.14,152.64
2022-04-24 12:00:00,152.52,152.66,150.92,151.9
2022-04-24 13:00:00,151.77,153.28,151.6,153.2
2022-04-24 14:00:00,153.23,153.76,152.71,152.97
2022-04-24 15:00:00,153.07,153.54,151.39,151.43
2022-04-24 16:00:00,151.52,153.2,151.37,153.2
2022-04-24 17:00:00,153.13,153.39,152.5,152.57
2022-04-24 18:00:00,152.58,152.8,151.3,151.4
2022-04-24 19:00:00,151.39,151.73,146.75,147.8
2022-04-24 20:00:00,147.82,148.36,147.08,148.04
2022-04-24 21:00:00,148.0,148.67,147.63,148.03
2022-04-24 22:00:00,148.05,149.43,148.05,149.28
2022-04-24 23:00:00,149.24,149.48,148.65,149.1
2022-04-25 00:00:00,149.19,150.2,147.98,148.13
2022-04-25 01:00:00,148.25,149.03,146.2,146.5
2022-04-25 02:00:00,146.34,146.53,144.28,144.7
2022-04-25 03:00:00,144.67,145.82,143.81,144.85
2022-04-25 04:00:00,144.81,145.85,143.16,145.71
2022-04-25 05:00:00,145.84,146.3,145.01,145.46
2022-04-25 06:00:00,145.5,147.38,144.26,147.19
2022-04-25 07:00:00,147.28,149.15,147.14,148.89
2022-04-25 08:00:00,148.85,150.7,147.83,149.31
2022-04-25 09:00:00,149.28,151.24,148.78,150.95
2022-04-25 10:00:00,150.96,151.4,149.51,149.55
2022-04-25 11:00:00,149.56,155.31,149.32,154.37
2022-04-25 12:00:00,154.59,154.86,151.79,151.98
2022-04-25 13:00:00,151.97,155.04,151.41,154.45
2022-04-25 14:00:00,154.4,155.75,153.6,154.95
2022-04-25 15:00:00,155.01,155.97,154.2,154.54
2022-04-25 16:00:00,154.75,156.29,154.32,156.09
2022-04-25 17:00:00,156.29,156.84,155.8,156.15
2022-04-25 18:00:00,156.33,156.77,155.93,156.62
2022-04-25 19:00:00,156.7,157.66,155.76,157.43
2022-04-25 20:00:00,157.48,157.87,156.93,157.54
2022-04-25 21:00:00,157.53,157.85,156.59,156.84
2022-04-25 22:00:00,156.88,157.0,156.34,156.72
2022-04-25 23:00:00,156.76,157.4,156.18,157.13
2022-04-26 00:00:00,157.24,158.19,157.24,157.66
2022-04-26 01:00:00,157.78,157.95,155.65,155.78
2022-04-26 02:00:00,155.84,156.78,154.83,156.65
2022-04-26 03:00:00,156.65,157.81,156.61,157.41
2022-04-26 04:00:00,157.45,157.74,155.79,156.34
2022-04-26 05:00:00,156.39,157.28,155.83,157.04
2022-04-26 06:00:00,156.95,159.22,156.66,158.79
2022-04-26 07:00:00,158.9,159.19,156.87,157.45
2022-04-26 08:00:00,157.38,157.82,152.45,152.56
2022-04-26 09:00:00,152.52,153.44,150.36,150.53
2022-04-26 10:00:00,150.4,151.83,148.16,148.35
2022-04-26 11:00:00,148.31,150.66,147.16,149.88
2022-04-26 12:00:00,149.79,149.79,146.59,148.99
