datetime,SANDBUSD_open,SANDBUSD_high,SANDBUSD_low,SANDBUSD_close
2022-01-15 08:00:00,4.831,4.8649,4.8066,4.8612
2022-01-15 09:00:00,4.8631,4.9149,4.8465,4.8769
2022-01-15 10:00:00,4.8787,4.911,4.8548,4.8873
2022-01-15 11:00:00,4.8875,4.91,4.8738,4.8914
2022-01-15 12:00:00,4.889,4.8999,4.8572,4.8847
2022-01-15 13:00:00,4.8852,4.8938,4.8728,4.8779
2022-01-15 14:00:00,4.8812,4.9038,4.8724,4.9038
2022-01-15 15:00:00,4.9038,4.9229,4.8964,4.8989
2022-01-15 16:00:00,4.8959,4.8994,4.8579,4.8739
2022-01-15 17:00:00,4.876,4.881,4.8597,4.8662
2022-01-15 18:00:00,4.8662,4.8747,4.8361,4.8448
2022-01-15 19:00:00,4.8438,4.8466,4.8175,4.8287
2022-01-15 20:00:00,4.8302,4.8482,4.817,4.817
2022-01-15 21:00:00,4.817,4.8415,4.78,4.8012
2022-01-15 22:00:00,4.7995,4.8094,4.78,4.79
2022-01-15 23:00:00,4.79,4.8173,4.78,4.7925
2022-01-16 00:00:00,4.794,4.8167,4.794,4.8005
2022-01-16 01:00:00,4.7973,4.8212,4.7929,4.8212
2022-01-16 02:00:00,4.8212,4.8375,4.8124,4.826
2022-01-16 03:00:00,4.8266,4.8423,4.8074,4.8114
2022-01-16 04:00:00,4.8114,4.8392,4.8105,4.8253
2022-01-16 05:00:00,4.8259,4.8403,4.7943,4.7976
2022-01-16 06:00:00,4.7951,4.8117,4.77,4.7923
2022-01-16 07:00:00,4.7918,4.8134,4.79,4.7977
2022-01-16 08:00:00,4.7946,4.8154,4.7413,4.793
2022-01-16 09:00:00,4.7957,4.8148,4.778,4.8124
2022-01-16 10:00:00,4.8097,4.815,4.7898,4.8028
2022-01-16 11:00:00,4.8038,5.0687,4.8038,4.981
2022-01-16 12:00:00,4.9825,5.0248,4.9523,4.9585
2022-01-16 13:00:00,4.9627,4.9699,4.9042,4.9256
2022-01-16 14:00:00,4.9272,4.9322,4.8556,4.868
2022-01-16 15:00:00,4.8641,4.8827,4.855,4.8687
2022-01-16 16:00:00,4.8697,4.8769,4.8279,4.8405
2022-01-16 17:00:00,4.837,4.8763,4.837,4.8635
2022-01-16 18:00:00,4.863,4.9244,4.8515,4.9131
2022-01-16 19:00:00,4.9137,4.9543,4.8386,4.8454
2022-01-16 20:00:00,4.8431,4.9415,4.8299,4.9401
2022-01-16 21:00:00,4.938,4.96,4.8801,4.9012
2022-01-16 22:00:00,4.8925,4.9203,4.7617,4.7653
2022-01-16 23:00:00,4.7668,4.8046,4.75,4.7695
2022-01-17 00:00:00,4.7692,4.7692,4.71,4.7566
2022-01-17 01:00:00,4.7597,4.774,4.7433,4.7483
2022-01-17 02:00:00,4.744,4.7784,4.744,4.7595
2022-01-17 03:00:00,4.7592,4.7678,4.7305,4.7549
2022-01-17 04:00:00,4.7618,4.8063,4.7504,4.7898
2022-01-17 05:00:00,4.7892,4.8179,4.738,4.7684
2022-01-17 06:00:00,4.7715,4.78,4.7244,4.7347
2022-01-17 07:00:00,4.7346,4.7468,4.6777,4.6959
2022-01-17 08:00:00,4.6971,4.7308,4.6849,4.7274
2022-01-17 09:00:00,4.7234,4.7368,4.6975,4.7085
2022-01-17 10:00:00,4.7129,4.7129,4.6145,4.6357
2022-01-17 11:00:00,4.6365,4.6526,4.5601,4.6138
2022-01-17 12:00:00,4.61,4.6146,4.5557,4.5922
2022-01-17 13:00:00,4.5925,4.6161,4.5573,4.608
2022-01-17 14:00:00,4.6034,4.6182,4.592,4.6057
2022-01-17 15:00:00,4.6057,4.6203,4.5823,4.6
2022-01-17 16:00:00,4.591,4.6048,4.5159,4.548
2022-01-17 17:00:00,4.5475,4.6131,4.52,4.5858
2022-01-17 18:00:00,4.5884,4.6187,4.5852,4.6074
2022-01-17 19:00:00,4.6073,4.6415,4.5922,4.6274
2022-01-17 20:00:00,4.6274,4.6387,4.5797,4.5938
2022-01-17 21:00:00,4.593,4.5938,4.5481,4.5815
2022-01-17 22:00:00,4.5815,4.5938,4.5036,4.5258
2022-01-17 23:00:00,4.5263,4.5285,4.4517,4.472
2022-01-18 00:00:00,4.4738,4.4895,4.457,4.4779
2022-01-18 01:00:00,4.4786,4.549,4.4786,4.5409
2022-01-18 02:00:00,4.5417,4.548,4.4988,4.5215
2022-01-18 03:00:00,4.5237,4.5237,4.4492,4.4539
2022-01-18 04:00:00,4.4537,4.4879,4.4068,4.4608
2022-01-18 05:00:00,4.4715,4.5343,4.4491,4.4563
2022-01-18 06:00:00,4.4563,4.4795,4.4402,4.479
2022-01-18 07:00:00,4.4776,4.485,4.422,4.4673
2022-01-18 08:00:00,4.471,4.501,4.413,4.4793
2022-01-18 09:00:00,4.4822,4.5026,4.3642,4.3867
2022-01-18 10:00:00,4.3856,4.439,4.3696,4.394
2022-01-18 11:00:00,4.3885,4.4429,4.3746,4.4238
2022-01-18 12:00:00,4.4277,4.4341,4.3959,4.4027
2022-01-18 13:00:00,4.3989,4.4176,4.3794,4.411
2022-01-18 14:00:00,4.4176,4.4467,4.4056,4.4284
2022-01-18 15:00:00,4.4339,4.4447,4.3936,4.4218
2022-01-18 16:00:00,4.4216,4.5064,4.4097,4.5055
