datetime,DARBUSD_open,DARBUSD_high,DARBUSD_low,DARBUSD_close
2022-01-12 19:00:00,1.68153,1.682,1.66401,1.66403
2022-01-12 20:00:00,1.66517,1.67245,1.64401,1.64401
2022-01-12 21:00:00,1.65087,1.6537,1.64635,1.64635
2022-01-12 22:00:00,1.64662,1.64919,1.638,1.64782
2022-01-12 23:00:00,1.64906,1.65566,1.64465,1.64774
2022-01-13 00:00:00,1.65072,1.67392,1.64403,1.65338
2022-01-13 01:00:00,1.65316,1.66113,1.65316,1.65715
2022-01-13 02:00:00,1.65715,1.65992,1.65245,1.65685
2022-01-13 03:00:00,1.65685,1.66533,1.65538,1.66439
2022-01-13 04:00:00,1.66298,1.66605,1.65728,1.6606
2022-01-13 05:00:00,1.66282,1.67224,1.66268,1.66598
2022-01-13 06:00:00,1.66912,1.66912,1.63118,1.63298
2022-01-13 07:00:00,1.63213,1.64007,1.628,1.63191
2022-01-13 08:00:00,1.63461,1.63514,1.624,1.624
2022-01-13 09:00:00,1.6269,1.64594,1.62184,1.64
2022-01-13 10:00:00,1.64145,1.64324,1.57035,1.58912
2022-01-13 11:00:00,1.59019,1.59121,1.56,1.58307
2022-01-13 12:00:00,1.58294,1.58294,1.55216,1.56316
2022-01-13 13:00:00,1.56159,1.56774,1.55944,1.55997
2022-01-13 14:00:00,1.56165,1.56895,1.55225,1.5589
2022-01-13 15:00:00,1.55802,1.56272,1.53275,1.56272
2022-01-13 16:00:00,1.56273,1.56935,1.5591,1.56547
2022-01-13 17:00:00,1.56547,1.56615,1.55219,1.55636
2022-01-13 18:00:00,1.55655,1.55714,1.54272,1.54302
2022-01-13 19:00:00,1.54572,1.55538,1.53009,1.54605
2022-01-13 20:00:00,1.54733,1.55068,1.53423,1.53508
2022-01-13 21:00:00,1.5385,1.54706,1.53152,1.5425
2022-01-13 22:00:00,1.54363,1.54815,1.54363,1.54577
2022-01-13 23:00:00,1.54577,1.55554,1.54554,1.54986
2022-01-14 00:00:00,1.54954,1.56746,1.54662,1.56746
2022-01-14 01:00:00,1.56623,1.57066,1.53409,1.54082
2022-01-14 02:00:00,1.54082,1.54905,1.53223,1.5323
2022-01-14 03:00:00,1.5343,1.53491,1.51473,1.524
2022-01-14 04:00:00,1.52515,1.53253,1.52374,1.52728
2022-01-14 05:00:00,1.52728,1.529,1.50363,1.50728
2022-01-14 06:00:00,1.5025,1.51194,1.4978,1.50996
2022-01-14 07:00:00,1.50996,1.56206,1.50138,1.54558
2022-01-14 08:00:00,1.54558,1.56263,1.53393,1.53905
2022-01-14 09:00:00,1.53641,1.5582,1.52,1.555
2022-01-14 10:00:00,1.55437,1.56951,1.54873,1.55884
2022-01-14 11:00:00,1.56371,1.56481,1.55397,1.55971
2022-01-14 12:00:00,1.5599,1.563,1.5456,1.54956
2022-01-14 13:00:00,1.54956,1.55184,1.54126,1.54695
2022-01-14 14:00:00,1.54719,1.55766,1.54477,1.54926
2022-01-14 15:00:00,1.54974,1.5529,1.54201,1.54201
2022-01-14 16:00:00,1.54358,1.55412,1.54357,1.55218
2022-01-14 17:00:00,1.55218,1.55222,1.54454,1.54463
2022-01-14 18:00:00,1.54464,1.54967,1.54006,1.54106
2022-01-14 19:00:00,1.54482,1.55047,1.542,1.54482
2022-01-14 20:00:00,1.548,1.55851,1.54537,1.55636
2022-01-14 21:00:00,1.55638,1.55722,1.55207,1.55415
2022-01-14 22:00:00,1.55454,1.557,1.54931,1.55085
2022-01-14 23:00:00,1.55161,1.55161,1.53886,1.54194
2022-01-15 00:00:00,1.54218,1.55935,1.54102,1.5506
2022-01-15 01:00:00,1.55044,1.57339,1.54934,1.56523
2022-01-15 02:00:00,1.56531,1.56571,1.55757,1.56567
2022-01-15 03:00:00,1.56634,1.58029,1.56166,1.57871
2022-01-15 04:00:00,1.58024,1.58711,1.57,1.58287
2022-01-15 05:00:00,1.58105,1.59005,1.57896,1.5801
2022-01-15 06:00:00,1.5801,1.58133,1.56882,1.57099
2022-01-15 07:00:00,1.57084,1.57155,1.53855,1.54514
2022-01-15 08:00:00,1.54681,1.56567,1.54415,1.5656
2022-01-15 09:00:00,1.56546,1.57693,1.56001,1.57213
2022-01-15 10:00:00,1.57292,1.58136,1.57091,1.58079
2022-01-15 11:00:00,1.58079,1.58122,1.56651,1.56991
2022-01-15 12:00:00,1.56918,1.58379,1.563,1.57352
2022-01-15 13:00:00,1.5782,1.5782,1.569,1.57139
2022-01-15 14:00:00,1.572,1.57503,1.56882,1.5743
2022-01-15 15:00:00,1.57678,1.57822,1.56904,1.5699
2022-01-15 16:00:00,1.56882,1.57031,1.557,1.56247
2022-01-15 17:00:00,1.56232,1.56267,1.55041,1.55392
2022-01-15 18:00:00,1.55041,1.55935,1.55014,1.55654
2022-01-15 19:00:00,1.55943,1.56363,1.55213,1.56363
2022-01-15 20:00:00,1.56392,1.56696,1.55509,1.55885
2022-01-15 21:00:00,1.55734,1.55805,1.54872,1.54999
2022-01-15 22:00:00,1.54999,1.55,1.54,1.54861
2022-01-15 23:00:00,1.54473,1.54838,1.54103,1.54282
2022-01-16 00:00:00,1.54459,1.54745,1.54298,1.54666
2022-01-16 01:00:00,1.54353,1.54583,1.54049,1.54513
2022-01-16 02:00:00,1.54214,1.54661,1.54096,1.54654
2022-01-16 03:00:00,1.546,1.55705,1.546,1.551
2022-01-16 04:00:00,1.55312,1.55312,1.5432,1.5436
2022-01-16 05:00:00,1.54623,1.54629,1.52505,1.52505
2022-01-16 06:00:00,1.525,1.52723,1.5047,1.51113
2022-01-16 07:00:00,1.51243,1.51715,1.51138,1.5149
2022-01-16 08:00:00,1.51293,1.51474,1.49167,1.51137
2022-01-16 09:00:00,1.51195,1.52356,1.50265,1.52137
2022-01-16 10:00:00,1.52179,1.52179,1.51384,1.51591
2022-01-16 11:00:00,1.51578,1.53378,1.51205,1.53162
2022-01-16 12:00:00,1.53378,1.53461,1.51794,1.52228
2022-01-16 13:00:00,1.52417,1.52417,1.51447,1.5194
2022-01-16 14:00:00,1.51933,1.52315,1.51138,1.52136
2022-01-16 15:00:00,1.51842,1.52167,1.51597,1.51826
2022-01-16 16:00:00,1.51889,1.52222,1.51529,1.52222
2022-01-16 17:00:00,1.52267,1.52831,1.52105,1.52385
2022-01-16 18:00:00,1.53,1.53,1.52325,1.52387
2022-01-16 19:00:00,1.52388,1.52625,1.51,1.5113
2022-01-16 20:00:00,1.51,1.51403,1.46309,1.4835
2022-01-16 21:00:00,1.48365,1.49604,1.46518,1.46867
2022-01-16 22:00:00,1.46726,1.46887,1.41092,1.41092
2022-01-16 23:00:00,1.41271,1.42793,1.39984,1.41655
2022-01-17 00:00:00,1.415,1.415,1.40266,1.40587
2022-01-17 01:00:00,1.40658,1.42096,1.4065,1.41546
2022-01-17 02:00:00,1.41456,1.43329,1.41145,1.4278
2022-01-17 03:00:00,1.43075,1.43076,1.41629,1.42448
2022-01-17 04:00:00,1.42719,1.43037,1.41965,1.429
2022-01-17 05:00:00,1.43083,1.43121,1.41369,1.41751
2022-01-17 06:00:00,1.41751,1.4195,1.41257,1.41296
2022-01-17 07:00:00,1.41312,1.41782,1.40103,1.40446
2022-01-17 08:00:00,1.40743,1.41133,1.4008,1.40215
2022-01-17 09:00:00,1.40215,1.40334,1.38266,1.3845
2022-01-17 10:00:00,1.38542,1.38542,1.35132,1.35343
2022-01-17 11:00:00,1.35678,1.36542,1.33603,1.34728
2022-01-17 12:00:00,1.34498,1.34941,1.3301,1.33418
2022-01-17 13:00:00,1.33671,1.34489,1.32392,1.34468
2022-01-17 14:00:00,1.34468,1.35314,1.34,1.35007
2022-01-17 15:00:00,1.35206,1.35463,1.34066,1.34433
2022-01-17 16:00:00,1.34596,1.34618,1.31649,1.32791
2022-01-17 17:00:00,1.327,1.3385,1.31362,1.33
2022-01-17 18:00:00,1.33389,1.33966,1.32959,1.33887
2022-01-17 19:00:00,1.34,1.35436,1.33729,1.35222
2022-01-17 20:00:00,1.34994,1.35542,1.34726,1.3484
2022-01-17 21:00:00,1.34909,1.3507,1.34053,1.34289
2022-01-17 22:00:00,1.34338,1.34642,1.32857,1.32898
2022-01-17 23:00:00,1.33069,1.34462,1.32331,1.32365
2022-01-18 00:00:00,1.32365,1.33265,1.32257,1.3267
2022-01-18 01:00:00,1.32277,1.35324,1.32199,1.353
2022-01-18 02:00:00,1.35352,1.36,1.34505,1.3531
2022-01-18 03:00:00,1.35307,1.3531,1.32068,1.3237
2022-01-18 04:00:00,1.32176,1.32176,1.30321,1.30321
2022-01-18 05:00:00,1.30539,1.30539,1.28639,1.28639
2022-01-18 06:00:00,1.28555,1.28633,1.2606,1.2667
2022-01-18 07:00:00,1.268,1.27422,1.25501,1.25894
2022-01-18 08:00:00,1.25894,1.26077,1.22973,1.24551
2022-01-18 09:00:00,1.24551,1.24551,1.20875,1.21109
2022-01-18 10:00:00,1.21109,1.23054,1.20875,1.21663
2022-01-18 11:00:00,1.21663,1.22486,1.20798,1.22314
2022-01-18 12:00:00,1.22315,1.22411,1.21428,1.21543
