datetime,USDTEUR_open,USDTEUR_high,USDTEUR_low,USDTEUR_close
2022-03-22 10:00:00,0.9096,0.9105,0.9092,0.9094
2022-03-22 11:00:00,0.9094,0.9103,0.9092,0.9096
2022-03-22 12:00:00,0.91,0.91,0.9068,0.9077
2022-03-22 13:00:00,0.9077,0.908,0.9064,0.9065
2022-03-22 14:00:00,0.9062,0.9072,0.906,0.9069
2022-03-22 15:00:00,0.9069,0.908,0.9066,0.9079
2022-03-22 16:00:00,0.9078,0.9087,0.9076,0.9083
2022-03-22 17:00:00,0.9081,0.9085,0.9072,0.908
2022-03-22 18:00:00,0.9076,0.908,0.9072,0.9079
2022-03-22 19:00:00,0.9079,0.908,0.907,0.9074
2022-03-22 20:00:00,0.9071,0.9076,0.9066,0.9068
