datetime,LAZIOBUSD_open,LAZIOBUSD_high,LAZIOBUSD_low,LAZIOBUSD_close
2022-02-21 14:00:00,3.0099,3.0378,3.0055,3.0055
2022-02-21 15:00:00,3.0289,3.0294,3.008,3.0189
2022-02-21 16:00:00,3.0106,3.018,2.8857,2.8857
2022-02-21 17:00:00,2.88,2.9237,2.8631,2.9237
2022-02-21 18:00:00,2.9237,2.9237,2.8238,2.8627
2022-02-21 19:00:00,2.8584,2.8983,2.8325,2.8765
2022-02-21 20:00:00,2.8775,2.8983,2.7998,2.8098
2022-02-21 21:00:00,2.8097,2.8232,2.7902,2.8106
2022-02-21 22:00:00,2.8032,2.8032,2.7143,2.717
2022-02-21 23:00:00,2.741,2.8301,2.741,2.7884
2022-02-22 00:00:00,2.7777,2.8292,2.7727,2.7727
2022-02-22 01:00:00,2.7634,2.9249,2.7628,2.8349
2022-02-22 02:00:00,2.8589,2.8589,2.751,2.8055
2022-02-22 03:00:00,2.8042,2.8567,2.8036,2.8335
2022-02-22 04:00:00,2.854,3.0556,2.8214,2.8561
2022-02-22 05:00:00,2.8293,3.0,2.7952,2.8857
2022-02-22 06:00:00,2.9106,2.9106,2.8459,2.8559
2022-02-22 07:00:00,2.8773,2.8773,2.8133,2.8487
2022-02-22 08:00:00,2.8287,2.8837,2.816,2.8837
2022-02-22 09:00:00,2.8647,2.9143,2.8465,2.9085
2022-02-22 10:00:00,2.9025,2.9025,2.8472,2.8472
2022-02-22 11:00:00,2.8571,2.8612,2.8142,2.8356
2022-02-22 12:00:00,2.8426,2.8426,2.811,2.8298
2022-02-22 13:00:00,2.828,2.8439,2.7724,2.8439
2022-02-22 14:00:00,2.8168,2.8542,2.813,2.8403
2022-02-22 15:00:00,2.8511,2.8515,2.7821,2.8302
2022-02-22 16:00:00,2.8287,2.8504,2.8287,2.835
2022-02-22 17:00:00,2.8238,2.837,2.8078,2.8366
2022-02-22 18:00:00,2.8372,2.8853,2.8372,2.8836
2022-02-22 19:00:00,2.8568,2.8844,2.8371,2.8502
2022-02-22 20:00:00,2.8423,2.8547,2.83,2.8422
2022-02-22 21:00:00,2.8479,2.8698,2.8269,2.8594
2022-02-22 22:00:00,2.842,2.8811,2.8269,2.8811
2022-02-22 23:00:00,2.8857,2.9171,2.8802,2.8968
2022-02-23 00:00:00,2.907,2.9329,2.9004,2.9004
2022-02-23 01:00:00,2.9234,2.928,2.9133,2.9275
2022-02-23 02:00:00,2.9275,2.9519,2.9273,2.9465
2022-02-23 03:00:00,2.9462,2.9595,2.927,2.9424
2022-02-23 04:00:00,2.9425,2.9747,2.9394,2.9699
2022-02-23 05:00:00,2.9698,2.99,2.9698,2.9877
2022-02-23 06:00:00,2.9869,2.9875,2.9667,2.9667
2022-02-23 07:00:00,2.9567,2.9689,2.9429,2.9689
2022-02-23 08:00:00,2.9789,2.9856,2.9521,2.9521
2022-02-23 09:00:00,2.9378,2.9446,2.9154,2.9203
2022-02-23 10:00:00,2.9315,2.9315,2.9071,2.9106
2022-02-23 11:00:00,2.9106,2.944,2.9106,2.9331
2022-02-23 12:00:00,2.9317,2.97,2.8932,2.9051
2022-02-23 13:00:00,2.911,2.911,2.8857,2.9021
2022-02-23 14:00:00,2.905,2.9103,2.8705,2.8705
2022-02-23 15:00:00,2.8705,2.9088,2.8599,2.8654
2022-02-23 16:00:00,2.8681,2.8799,2.8468,2.8524
2022-02-23 17:00:00,2.8525,2.8639,2.8284,2.8581
2022-02-23 18:00:00,2.8468,2.8468,2.7678,2.7957
2022-02-23 19:00:00,2.7888,2.8466,2.783,2.8305
2022-02-23 20:00:00,2.8251,2.8345,2.8226,2.8345
2022-02-23 21:00:00,2.8298,2.993,2.7692,2.7692
2022-02-23 22:00:00,2.7756,2.9144,2.6864,2.6903
2022-02-23 23:00:00,2.7086,2.7086,2.6074,2.662
2022-02-24 00:00:00,2.6336,2.6336,2.4899,2.519
2022-02-24 01:00:00,2.5494,2.58,2.526,2.5313
2022-02-24 02:00:00,2.5337,2.5337,2.414,2.5311
2022-02-24 03:00:00,2.512,2.563,2.4916,2.5261
2022-02-24 04:00:00,2.5155,2.5182,2.4885,2.5026
2022-02-24 05:00:00,2.4941,2.4941,2.43,2.4785
2022-02-24 06:00:00,2.4505,2.4804,2.4423,2.4693
2022-02-24 07:00:00,2.4676,2.4778,2.4305,2.464
2022-02-24 08:00:00,2.4515,2.4999,2.4478,2.4839
2022-02-24 09:00:00,2.4861,2.514,2.486,2.4984
2022-02-24 10:00:00,2.5097,2.5612,2.5004,2.5331
2022-02-24 11:00:00,2.5852,2.6308,2.5427,2.5752
2022-02-24 12:00:00,2.5608,2.5623,2.5305,2.5431
2022-02-24 13:00:00,2.5486,2.6362,2.5486,2.6115
2022-02-24 14:00:00,2.5798,2.6071,2.5534,2.599
2022-02-24 15:00:00,2.618,2.7289,2.618,2.6678
2022-02-24 16:00:00,2.68,2.7001,2.6384,2.6384
2022-02-24 17:00:00,2.6425,2.6425,2.5857,2.5898
2022-02-24 18:00:00,2.5881,2.6165,2.5869,2.6102
2022-02-24 19:00:00,2.6307,2.6649,2.6251,2.6251
2022-02-24 20:00:00,2.6254,2.6688,2.6254,2.656
2022-02-24 21:00:00,2.6489,2.7121,2.6489,2.6874
2022-02-24 22:00:00,2.6816,2.7642,2.6398,2.6728
2022-02-24 23:00:00,2.6801,2.6828,2.6552,2.6552
2022-02-25 00:00:00,2.6887,2.6887,2.6433,2.6607
2022-02-25 01:00:00,2.6607,2.6773,2.6607,2.6773
2022-02-25 02:00:00,2.6776,2.6776,2.6615,2.6615
2022-02-25 03:00:00,2.6502,2.6502,2.6187,2.6298
2022-02-25 04:00:00,2.6378,2.6521,2.5931,2.6409
2022-02-25 05:00:00,2.6409,2.6493,2.6287,2.6287
2022-02-25 06:00:00,2.6348,2.678,2.6179,2.6742
2022-02-25 07:00:00,2.6933,2.7162,2.6723,2.7162
2022-02-25 08:00:00,2.7277,2.7344,2.7152,2.7197
2022-02-25 09:00:00,2.7055,2.7183,2.7052,2.7183
2022-02-25 10:00:00,2.6773,2.7148,2.6608,2.7148
2022-02-25 11:00:00,2.7148,2.716,2.6988,2.7008
2022-02-25 12:00:00,2.6894,2.7119,2.677,2.6771
2022-02-25 13:00:00,2.6728,2.697,2.658,2.6727
2022-02-25 14:00:00,2.6724,2.6939,2.6714,2.6937
2022-02-25 15:00:00,2.6939,2.7182,2.6939,2.7182
2022-02-25 16:00:00,2.7181,2.7363,2.6738,2.705
2022-02-25 17:00:00,2.7108,2.7577,2.7108,2.7577
2022-02-25 18:00:00,2.7392,2.7392,2.7162,2.7162
2022-02-25 19:00:00,2.7442,2.8,2.7442,2.7681
2022-02-25 20:00:00,2.7683,2.8499,2.7501,2.7631
2022-02-25 21:00:00,2.7631,2.7656,2.7346,2.7347
2022-02-25 22:00:00,2.7422,2.7457,2.7199,2.7234
2022-02-25 23:00:00,2.7328,2.7448,2.7247,2.7448
2022-02-26 00:00:00,2.7195,2.736,2.7115,2.7115
2022-02-26 01:00:00,2.7155,2.7317,2.707,2.7317
2022-02-26 02:00:00,2.7219,2.7365,2.71,2.7365
2022-02-26 03:00:00,2.7566,2.772,2.7364,2.7364
2022-02-26 04:00:00,2.7225,2.7321,2.7108,2.7321
2022-02-26 05:00:00,2.7325,2.7348,2.7131,2.7325
2022-02-26 06:00:00,2.7348,2.7348,2.7,2.7238
2022-02-26 07:00:00,2.718,2.718,2.718,2.718
2022-02-26 08:00:00,2.7267,2.7408,2.7138,2.7408
2022-02-26 09:00:00,2.7298,2.7403,2.7267,2.728
2022-02-26 10:00:00,2.7393,2.7401,2.7207,2.7207
2022-02-26 11:00:00,2.7208,2.7349,2.7208,2.7349
2022-02-26 12:00:00,2.7356,2.7356,2.7356,2.7356
2022-02-26 13:00:00,2.7094,2.7106,2.709,2.7106
2022-02-26 14:00:00,2.7248,2.7422,2.7248,2.7421
2022-02-26 15:00:00,2.7274,2.7419,2.7269,2.7419
2022-02-26 16:00:00,2.7419,2.7429,2.7419,2.7429
2022-02-26 17:00:00,2.7429,2.7429,2.7294,2.7413
2022-02-26 18:00:00,2.7098,2.7292,2.7002,2.7002
2022-02-26 19:00:00,2.7263,2.7263,2.686,2.6924
2022-02-26 20:00:00,2.686,2.686,2.6436,2.6666
2022-02-26 21:00:00,2.6577,2.6821,2.6577,2.6821
2022-02-26 22:00:00,2.6818,2.6938,2.6818,2.6858
2022-02-26 23:00:00,2.6592,2.6758,2.6592,2.6592
2022-02-27 00:00:00,2.6475,2.6653,2.6475,2.6653
2022-02-27 01:00:00,2.6584,2.6584,2.6584,2.6584
2022-02-27 02:00:00,2.6927,2.6928,2.6806,2.6806
