datetime,STPTBUSD_open,STPTBUSD_high,STPTBUSD_low,STPTBUSD_close
2022-03-23 14:00:00,0.09146,0.09162,0.09136,0.09162
2022-03-23 15:00:00,0.09149,0.09183,0.0914,0.09183
2022-03-23 16:00:00,0.09178,0.09185,0.0912,0.09185
2022-03-23 17:00:00,0.09148,0.09186,0.09148,0.09149
2022-03-23 18:00:00,0.09186,0.09255,0.09186,0.09255
2022-03-23 19:00:00,0.09244,0.09275,0.0914,0.0921
2022-03-23 20:00:00,0.09263,0.09263,0.09211,0.09228
2022-03-23 21:00:00,0.09223,0.0939,0.09223,0.09381
2022-03-23 22:00:00,0.0937,0.094,0.09273,0.09299
2022-03-23 23:00:00,0.09301,0.09331,0.09291,0.09301
2022-03-24 00:00:00,0.09301,0.09335,0.09281,0.09301
2022-03-24 01:00:00,0.09327,0.0939,0.09295,0.09295
2022-03-24 02:00:00,0.09295,0.09316,0.09294,0.0931
2022-03-24 03:00:00,0.09288,0.09311,0.09269,0.09311
2022-03-24 04:00:00,0.09306,0.09335,0.0922,0.0928
2022-03-24 05:00:00,0.0928,0.0928,0.09229,0.0926
2022-03-24 06:00:00,0.09236,0.09256,0.09207,0.0924
2022-03-24 07:00:00,0.09242,0.09245,0.09104,0.0916
2022-03-24 08:00:00,0.09129,0.09185,0.09112,0.09151
2022-03-24 09:00:00,0.09186,0.09275,0.09186,0.09236
2022-03-24 10:00:00,0.09287,0.09307,0.09279,0.09304
2022-03-24 11:00:00,0.09304,0.0933,0.09299,0.0933
2022-03-24 12:00:00,0.09339,0.09416,0.09269,0.09269
2022-03-24 13:00:00,0.0933,0.0933,0.09278,0.093
2022-03-24 14:00:00,0.09339,0.09349,0.09339,0.09349
2022-03-24 15:00:00,0.09307,0.09336,0.09301,0.09336
2022-03-24 16:00:00,0.09336,0.09336,0.09336,0.09336
2022-03-24 17:00:00,0.0935,0.09388,0.0935,0.09388
2022-03-24 18:00:00,0.09348,0.09553,0.0931,0.09547
2022-03-24 19:00:00,0.09491,0.09491,0.09359,0.09452
2022-03-24 20:00:00,0.09456,0.09539,0.09371,0.0946
2022-03-24 21:00:00,0.09397,0.09425,0.09358,0.09358
2022-03-24 22:00:00,0.0937,0.09414,0.09369,0.09405
2022-03-24 23:00:00,0.09388,0.09406,0.09363,0.0939
2022-03-25 00:00:00,0.09419,0.0944,0.09411,0.09428
2022-03-25 01:00:00,0.09437,0.09452,0.09376,0.09376
2022-03-25 02:00:00,0.09411,0.09431,0.09343,0.09343
2022-03-25 03:00:00,0.09339,0.0939,0.09189,0.09382
2022-03-25 04:00:00,0.09382,0.09388,0.09364,0.09369
2022-03-25 05:00:00,0.09369,0.09418,0.09362,0.09417
2022-03-25 06:00:00,0.09425,0.09463,0.09422,0.09422
2022-03-25 07:00:00,0.09458,0.09463,0.09407,0.09463
2022-03-25 08:00:00,0.09423,0.09475,0.09422,0.09455
2022-03-25 09:00:00,0.09455,0.09461,0.09401,0.0946
2022-03-25 10:00:00,0.09435,0.09435,0.09326,0.09326
2022-03-25 11:00:00,0.09326,0.09388,0.09312,0.09349
2022-03-25 12:00:00,0.09294,0.0931,0.09257,0.0931
2022-03-25 13:00:00,0.09308,0.0935,0.09308,0.09344
2022-03-25 14:00:00,0.09326,0.09326,0.09317,0.09317
2022-03-25 15:00:00,0.09357,0.09385,0.09337,0.0934
2022-03-25 16:00:00,0.09368,0.09389,0.09368,0.09371
2022-03-25 17:00:00,0.09362,0.09371,0.09362,0.09371
2022-03-25 18:00:00,0.09358,0.09425,0.09301,0.0939
2022-03-25 19:00:00,0.09423,0.09425,0.09332,0.0934
2022-03-25 20:00:00,0.0934,0.09385,0.0934,0.09384
2022-03-25 21:00:00,0.09379,0.09388,0.09369,0.09371
2022-03-25 22:00:00,0.09387,0.09388,0.09386,0.09386
2022-03-25 23:00:00,0.09382,0.09382,0.09322,0.09322
2022-03-26 00:00:00,0.09388,0.09388,0.09337,0.09361
2022-03-26 01:00:00,0.0938,0.09384,0.09326,0.09327
2022-03-26 02:00:00,0.09326,0.09382,0.09301,0.09382
2022-03-26 03:00:00,0.0936,0.09382,0.0936,0.09382
2022-03-26 04:00:00,0.09347,0.09366,0.09347,0.09348
2022-03-26 05:00:00,0.09347,0.09347,0.0932,0.0932
2022-03-26 06:00:00,0.0932,0.09342,0.093,0.09342
2022-03-26 07:00:00,0.093,0.09301,0.09273,0.09277
2022-03-26 08:00:00,0.09282,0.09292,0.09262,0.09292
2022-03-26 09:00:00,0.09299,0.09328,0.09299,0.09328
2022-03-26 10:00:00,0.0928,0.0928,0.0928,0.0928
2022-03-26 11:00:00,0.09317,0.09317,0.09283,0.09307
2022-03-26 12:00:00,0.09335,0.09339,0.09335,0.09339
2022-03-26 13:00:00,0.09325,0.09368,0.09325,0.09368
2022-03-26 14:00:00,0.09367,0.09399,0.09367,0.09399
2022-03-26 15:00:00,0.09353,0.09462,0.09351,0.09438
2022-03-26 16:00:00,0.09445,0.09662,0.09443,0.09662
2022-03-26 17:00:00,0.09666,0.09733,0.09644,0.09714
2022-03-26 18:00:00,0.09714,0.09971,0.09714,0.09898
2022-03-26 19:00:00,0.09855,0.1053,0.09855,0.10226
2022-03-26 20:00:00,0.10214,0.11472,0.10207,0.10557
2022-03-26 21:00:00,0.10562,0.111,0.10222,0.1029
2022-03-26 22:00:00,0.10294,0.10467,0.10285,0.103
2022-03-26 23:00:00,0.1028,0.10319,0.1026,0.10279
2022-03-27 00:00:00,0.10275,0.1029,0.10253,0.1027
2022-03-27 01:00:00,0.10271,0.10302,0.10237,0.10277
2022-03-27 02:00:00,0.10295,0.10304,0.10238,0.10259
2022-03-27 03:00:00,0.10221,0.10304,0.10216,0.1028
2022-03-27 04:00:00,0.10226,0.10253,0.10204,0.10217
2022-03-27 05:00:00,0.10204,0.10204,0.09978,0.10031
2022-03-27 06:00:00,0.10009,0.10061,0.10009,0.10039
2022-03-27 07:00:00,0.1004,0.1004,0.09783,0.09787
2022-03-27 08:00:00,0.09776,0.10406,0.09708,0.10069
2022-03-27 09:00:00,0.10054,0.10145,0.10034,0.10071
2022-03-27 10:00:00,0.10077,0.10254,0.10077,0.10212
2022-03-27 11:00:00,0.10217,0.10237,0.10121,0.10125
2022-03-27 12:00:00,0.10196,0.10271,0.10157,0.10212
2022-03-27 13:00:00,0.10253,0.10267,0.10253,0.10257
2022-03-27 14:00:00,0.10257,0.10271,0.1024,0.1024
2022-03-27 15:00:00,0.10263,0.10359,0.1017,0.10328
2022-03-27 16:00:00,0.10328,0.10395,0.10302,0.10302
2022-03-27 17:00:00,0.10313,0.10481,0.10307,0.10336
2022-03-27 18:00:00,0.10389,0.10446,0.10355,0.10362
2022-03-27 19:00:00,0.10416,0.1055,0.10227,0.10283
