datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-14 01:00:00,2.9418,2.9498,2.9189,2.9201
2022-01-14 02:00:00,2.9217,2.9386,2.9065,2.9143
2022-01-14 03:00:00,2.9157,2.9157,2.8635,2.8954
2022-01-14 04:00:00,2.8977,2.9133,2.8908,2.9001
2022-01-14 05:00:00,2.8991,2.9073,2.8376,2.8496
2022-01-14 06:00:00,2.8461,2.85,2.8143,2.841
2022-01-14 07:00:00,2.8404,2.8927,2.8206,2.8583
2022-01-14 08:00:00,2.859,2.8873,2.853,2.8616
2022-01-14 09:00:00,2.8601,2.9183,2.8503,2.9083
2022-01-14 10:00:00,2.9092,2.9373,2.8929,2.925
2022-01-14 11:00:00,2.9242,2.9289,2.8896,2.9253
2022-01-14 12:00:00,2.9229,2.9329,2.9032,2.9233
2022-01-14 13:00:00,2.9206,2.9322,2.8984,2.9274
2022-01-14 14:00:00,2.9279,2.9762,2.9268,2.9702
2022-01-14 15:00:00,2.9712,3.0172,2.968,2.9811
2022-01-14 16:00:00,2.9785,2.9878,2.9735,2.9853
2022-01-14 17:00:00,2.9848,2.9848,2.951,2.951
2022-01-14 18:00:00,2.9538,2.9664,2.9356,2.9593
2022-01-14 19:00:00,2.9592,2.9737,2.94,2.9653
2022-01-14 20:00:00,2.9689,2.9722,2.9446,2.9523
2022-01-14 21:00:00,2.9524,2.9722,2.948,2.9682
2022-01-14 22:00:00,2.9686,2.9739,2.953,2.9573
2022-01-14 23:00:00,2.9568,2.9653,2.9419,2.952
2022-01-15 00:00:00,2.9508,2.9523,2.9159,2.9247
2022-01-15 01:00:00,2.9279,2.9518,2.9156,2.9481
2022-01-15 02:00:00,2.9486,2.9506,2.93,2.9506
2022-01-15 03:00:00,2.9501,2.9633,2.9459,2.958
2022-01-15 04:00:00,2.9547,2.9661,2.9488,2.9643
2022-01-15 05:00:00,2.9632,2.9821,2.9607,2.973
2022-01-15 06:00:00,2.9743,3.0596,2.97,3.032
2022-01-15 07:00:00,3.032,3.049,2.9813,3.0181
2022-01-15 08:00:00,3.016,3.0365,2.9994,3.0322
2022-01-15 09:00:00,3.032,3.0634,3.0265,3.0418
2022-01-15 10:00:00,3.0426,3.0478,3.015,3.0455
2022-01-15 11:00:00,3.047,3.0497,3.0222,3.029
2022-01-15 12:00:00,3.0299,3.0346,3.0,3.0271
2022-01-15 13:00:00,3.0274,3.0274,3.0026,3.012
2022-01-15 14:00:00,3.0125,3.0239,3.0098,3.0212
2022-01-15 15:00:00,3.0227,3.0325,3.014,3.016
2022-01-15 16:00:00,3.0141,3.0247,2.9911,3.0025
2022-01-15 17:00:00,3.0035,3.0046,2.985,2.9944
2022-01-15 18:00:00,2.9938,3.0017,2.9849,2.9899
2022-01-15 19:00:00,2.9895,2.9917,2.9715,2.9752
2022-01-15 20:00:00,2.9771,2.991,2.9767,2.9777
2022-01-15 21:00:00,2.9775,2.9884,2.9379,2.95
2022-01-15 22:00:00,2.9501,2.9582,2.941,2.9524
2022-01-15 23:00:00,2.9527,2.9629,2.9454,2.9541
2022-01-16 00:00:00,2.9541,2.9631,2.9466,2.9466
2022-01-16 01:00:00,2.9464,2.9704,2.9429,2.9689
2022-01-16 02:00:00,2.9695,2.9732,2.9642,2.9665
2022-01-16 03:00:00,2.9675,2.9774,2.9633,2.9637
2022-01-16 04:00:00,2.9651,2.9797,2.9636,2.9715
2022-01-16 05:00:00,2.9716,2.9858,2.9489,2.9489
2022-01-16 06:00:00,2.949,2.965,2.9305,2.9505
2022-01-16 07:00:00,2.9505,2.9679,2.9492,2.9615
2022-01-16 08:00:00,2.9609,2.9706,2.9269,2.9687
2022-01-16 09:00:00,2.9689,2.9931,2.9624,2.9857
2022-01-16 10:00:00,2.9878,2.9993,2.9785,2.9823
2022-01-16 11:00:00,2.9833,3.1968,2.9828,3.1486
2022-01-16 12:00:00,3.1519,3.158,3.075,3.0831
2022-01-16 13:00:00,3.0838,3.1174,3.075,3.1038
2022-01-16 14:00:00,3.1038,3.1083,3.0572,3.0708
2022-01-16 15:00:00,3.0681,3.0996,3.0677,3.0961
2022-01-16 16:00:00,3.0957,3.1161,3.0816,3.107
2022-01-16 17:00:00,3.1066,3.1242,3.0957,3.1021
2022-01-16 18:00:00,3.1035,3.1343,3.0991,3.1181
2022-01-16 19:00:00,3.1192,3.1508,3.0776,3.08
2022-01-16 20:00:00,3.0801,3.186,3.0781,3.1753
2022-01-16 21:00:00,3.1739,3.1791,3.1335,3.1407
2022-01-16 22:00:00,3.1386,3.1557,3.0294,3.0318
2022-01-16 23:00:00,3.0296,3.0636,3.0179,3.025
2022-01-17 00:00:00,3.025,3.025,2.9813,3.0191
