datetime,VOXELBUSD_open,VOXELBUSD_high,VOXELBUSD_low,VOXELBUSD_close
2022-01-30 22:00:00,1.4676,1.4682,1.4556,1.4556
2022-01-30 23:00:00,1.4589,1.4589,1.4225,1.4364
2022-01-31 00:00:00,1.4389,1.4431,1.4366,1.4367
2022-01-31 01:00:00,1.4367,1.4447,1.4289,1.4381
2022-01-31 02:00:00,1.4359,1.4444,1.4284,1.44
2022-01-31 03:00:00,1.4431,1.4532,1.4394,1.44
2022-01-31 04:00:00,1.44,1.4615,1.4386,1.46
2022-01-31 05:00:00,1.4554,1.4678,1.4554,1.4678
2022-01-31 06:00:00,1.4676,1.4676,1.4269,1.4495
2022-01-31 07:00:00,1.45,1.4539,1.4314,1.4405
2022-01-31 08:00:00,1.4381,1.4438,1.4267,1.4397
2022-01-31 09:00:00,1.4397,1.4617,1.4397,1.4557
2022-01-31 10:00:00,1.4618,1.4878,1.46,1.4662
2022-01-31 11:00:00,1.4749,1.542,1.471,1.5189
2022-01-31 12:00:00,1.5212,1.5225,1.4971,1.5131
2022-01-31 13:00:00,1.5136,1.5453,1.5,1.52
2022-01-31 14:00:00,1.5234,1.5358,1.5198,1.5291
2022-01-31 15:00:00,1.5292,1.5356,1.5091,1.5333
2022-01-31 16:00:00,1.5258,1.5258,1.5194,1.5194
2022-01-31 17:00:00,1.5172,1.5235,1.5081,1.5098
2022-01-31 18:00:00,1.5068,1.5133,1.5046,1.5133
2022-01-31 19:00:00,1.5133,1.517,1.4938,1.4972
2022-01-31 20:00:00,1.4951,1.5273,1.495,1.5083
2022-01-31 21:00:00,1.5124,1.5223,1.5083,1.5216
2022-01-31 22:00:00,1.5181,1.5775,1.5172,1.55
2022-01-31 23:00:00,1.5517,1.5544,1.5296,1.5531
2022-02-01 00:00:00,1.5543,1.6049,1.5538,1.5708
2022-02-01 01:00:00,1.5679,1.5736,1.545,1.545
2022-02-01 02:00:00,1.55,1.558,1.5436,1.5508
2022-02-01 03:00:00,1.5506,1.5771,1.5462,1.5744
2022-02-01 04:00:00,1.5744,1.5882,1.523,1.5398
2022-02-01 05:00:00,1.5372,1.5453,1.511,1.5115
2022-02-01 06:00:00,1.5161,1.5302,1.4939,1.501
2022-02-01 07:00:00,1.4998,1.5234,1.4758,1.5057
2022-02-01 08:00:00,1.5137,1.5264,1.5083,1.5207
2022-02-01 09:00:00,1.5137,1.5216,1.4908,1.4977
2022-02-01 10:00:00,1.4968,1.5075,1.477,1.5075
2022-02-01 11:00:00,1.5075,1.542,1.5075,1.5344
2022-02-01 12:00:00,1.5251,1.5284,1.5105,1.5126
2022-02-01 13:00:00,1.5167,1.5189,1.4946,1.4946
2022-02-01 14:00:00,1.4968,1.5084,1.4862,1.5071
2022-02-01 15:00:00,1.5068,1.6565,1.5056,1.6068
2022-02-01 16:00:00,1.6067,1.681,1.575,1.6311
2022-02-01 17:00:00,1.6357,1.6489,1.6122,1.6403
2022-02-01 18:00:00,1.6463,1.6755,1.6072,1.6234
2022-02-01 19:00:00,1.626,1.6388,1.6105,1.6151
2022-02-01 20:00:00,1.6151,1.625,1.6117,1.6145
2022-02-01 21:00:00,1.6145,1.6577,1.612,1.6364
2022-02-01 22:00:00,1.6335,1.6741,1.6306,1.646
2022-02-01 23:00:00,1.6483,1.6998,1.6355,1.6413
2022-02-02 00:00:00,1.6412,1.659,1.629,1.6359
2022-02-02 01:00:00,1.6353,1.6554,1.6268,1.6554
2022-02-02 02:00:00,1.6589,1.6947,1.6406,1.6946
2022-02-02 03:00:00,1.69,1.7614,1.6567,1.7465
2022-02-02 04:00:00,1.7465,1.7769,1.7166,1.7323
2022-02-02 05:00:00,1.7315,1.9457,1.7231,1.8829
2022-02-02 06:00:00,1.883,2.1498,1.8582,1.9899
2022-02-02 07:00:00,1.9896,2.2682,1.9855,2.0752
2022-02-02 08:00:00,2.0737,2.1323,1.9957,2.031
2022-02-02 09:00:00,2.0375,2.0376,1.9001,1.9033
2022-02-02 10:00:00,1.9033,1.992,1.9033,1.9484
2022-02-02 11:00:00,1.9566,2.1722,1.9134,2.0477
2022-02-02 12:00:00,2.0477,2.2182,1.9169,1.955
2022-02-02 13:00:00,1.955,1.987,1.8538,1.8795
2022-02-02 14:00:00,1.8834,1.9732,1.8834,1.9061
2022-02-02 15:00:00,1.9131,1.9145,1.8273,1.8775
2022-02-02 16:00:00,1.8778,1.8824,1.7802,1.8055
2022-02-02 17:00:00,1.8131,1.8202,1.7703,1.7902
