datetime,ETHTUSD_open,ETHTUSD_high,ETHTUSD_low,ETHTUSD_close
2022-03-24 03:00:00,3041.02,3055.52,3033.78,3052.52
2022-03-24 04:00:00,3050.0,3063.89,3042.13,3054.43
2022-03-24 05:00:00,3049.31,3063.01,3041.66,3055.2
2022-03-24 06:00:00,3054.94,3063.66,3046.22,3047.6
2022-03-24 07:00:00,3048.44,3056.9,3009.56,3013.36
2022-03-24 08:00:00,3018.67,3033.89,3006.63,3029.53
2022-03-24 09:00:00,3030.55,3079.21,3022.24,3079.21
2022-03-24 10:00:00,3080.87,3128.74,3074.05,3115.45
2022-03-24 11:00:00,3116.72,3118.15,3095.22,3112.94
2022-03-24 12:00:00,3111.25,3123.36,3101.14,3101.14
2022-03-24 13:00:00,3099.72,3109.13,3083.72,3108.31
2022-03-24 14:00:00,3108.77,3122.64,3105.4,3110.81
2022-03-24 15:00:00,3110.53,3112.16,3100.17,3100.27
2022-03-24 16:00:00,3105.79,3108.56,3091.55,3108.03
2022-03-24 17:00:00,3104.82,3119.91,3102.86,3112.69
2022-03-24 18:00:00,3110.99,3113.57,3102.61,3111.07
2022-03-24 19:00:00,3110.56,3113.49,3096.99,3107.84
2022-03-24 20:00:00,3105.59,3138.28,3099.17,3128.81
2022-03-24 21:00:00,3126.39,3132.87,3109.42,3123.33
2022-03-24 22:00:00,3123.46,3136.94,3118.01,3136.94
2022-03-24 23:00:00,3137.74,3144.67,3132.79,3144.67
2022-03-25 00:00:00,3144.75,3146.82,3127.12,3127.12
2022-03-25 01:00:00,3131.65,3146.92,3131.65,3143.22
2022-03-25 02:00:00,3144.34,3147.47,3127.43,3131.06
2022-03-25 03:00:00,3128.48,3130.89,3101.0,3127.17
2022-03-25 04:00:00,3127.19,3141.31,3116.81,3138.24
2022-03-25 05:00:00,3137.81,3154.22,3134.19,3147.93
2022-03-25 06:00:00,3151.54,3180.31,3143.89,3170.93
2022-03-25 07:00:00,3169.85,3193.45,3163.49,3184.66
2022-03-25 08:00:00,3186.63,3189.14,3173.57,3176.89
2022-03-25 09:00:00,3178.56,3185.32,3161.67,3173.48
2022-03-25 10:00:00,3174.48,3174.48,3110.76,3121.04
2022-03-25 11:00:00,3121.97,3138.36,3083.0,3095.21
2022-03-25 12:00:00,3099.12,3107.19,3079.69,3098.14
2022-03-25 13:00:00,3107.93,3130.63,3107.92,3122.05
2022-03-25 14:00:00,3122.55,3122.55,3084.93,3112.21
2022-03-25 15:00:00,3115.92,3127.24,3111.13,3127.24
2022-03-25 16:00:00,3126.08,3126.08,3106.9,3124.42
2022-03-25 17:00:00,3122.59,3122.59,3099.08,3099.08
2022-03-25 18:00:00,3097.64,3108.83,3095.82,3102.8
2022-03-25 19:00:00,3104.31,3117.13,3088.98,3091.7
2022-03-25 20:00:00,3083.78,3107.93,3083.76,3107.93
2022-03-25 21:00:00,3108.6,3108.6,3097.76,3098.71
2022-03-25 22:00:00,3110.62,3112.97,3107.41,3110.82
2022-03-25 23:00:00,3110.1,3115.43,3102.35,3115.43
2022-03-26 00:00:00,3115.28,3127.24,3107.37,3126.32
2022-03-26 01:00:00,3127.45,3130.16,3119.11,3119.11
2022-03-26 02:00:00,3119.94,3137.84,3119.94,3132.2
2022-03-26 03:00:00,3135.22,3139.1,3126.35,3131.84
2022-03-26 04:00:00,3129.25,3129.9,3121.94,3129.9
2022-03-26 05:00:00,3128.03,3129.53,3119.2,3125.48
2022-03-26 06:00:00,3126.23,3138.42,3121.22,3123.24
2022-03-26 07:00:00,3124.58,3126.56,3110.72,3125.34
2022-03-26 08:00:00,3126.46,3127.91,3107.64,3114.37
2022-03-26 09:00:00,3116.05,3119.21,3111.42,3112.97
2022-03-26 10:00:00,3117.2,3127.24,3109.76,3117.44
2022-03-26 11:00:00,3115.38,3126.02,3112.03,3124.65
2022-03-26 12:00:00,3124.5,3126.22,3122.59,3122.59
2022-03-26 13:00:00,3122.23,3127.91,3118.93,3127.91
2022-03-26 14:00:00,3121.83,3123.06,3114.31,3123.06
2022-03-26 15:00:00,3125.06,3150.78,3123.95,3140.63
2022-03-26 16:00:00,3144.37,3144.37,3127.78,3134.13
2022-03-26 17:00:00,3138.67,3146.67,3137.1,3137.28
2022-03-26 18:00:00,3139.19,3151.05,3139.19,3142.53
2022-03-26 19:00:00,3145.73,3151.54,3141.17,3151.54
2022-03-26 20:00:00,3156.44,3156.44,3143.27,3147.85
2022-03-26 21:00:00,3148.9,3169.65,3148.9,3155.99
2022-03-26 22:00:00,3157.89,3157.89,3140.65,3146.33
2022-03-26 23:00:00,3147.22,3150.28,3135.55,3142.24
2022-03-27 00:00:00,3142.54,3148.49,3140.8,3140.8
2022-03-27 01:00:00,3146.01,3157.85,3146.01,3150.39
2022-03-27 02:00:00,3150.49,3159.45,3149.25,3159.45
2022-03-27 03:00:00,3159.45,3159.78,3146.09,3146.66
2022-03-27 04:00:00,3146.71,3155.45,3144.26,3144.26
2022-03-27 05:00:00,3142.74,3150.89,3142.74,3150.89
2022-03-27 06:00:00,3150.65,3151.42,3145.35,3145.35
2022-03-27 07:00:00,3147.51,3148.88,3128.42,3128.42
2022-03-27 08:00:00,3129.37,3146.67,3129.37,3144.78
2022-03-27 09:00:00,3147.26,3155.85,3147.26,3148.79
2022-03-27 10:00:00,3148.66,3176.05,3143.52,3171.55
2022-03-27 11:00:00,3170.47,3187.66,3153.4,3182.79
2022-03-27 12:00:00,3183.44,3183.44,3173.39,3181.74
2022-03-27 13:00:00,3180.7,3191.24,3176.9,3181.15
2022-03-27 14:00:00,3182.16,3182.16,3176.48,3177.97
2022-03-27 15:00:00,3178.24,3244.59,3166.15,3236.12
2022-03-27 16:00:00,3239.63,3296.27,3225.33,3275.11
2022-03-27 17:00:00,3274.4,3300.0,3264.63,3269.71
2022-03-27 18:00:00,3274.46,3298.76,3268.78,3297.3
2022-03-27 19:00:00,3294.79,3322.05,3278.9,3290.76
2022-03-27 20:00:00,3293.32,3306.5,3287.15,3292.05
2022-03-27 21:00:00,3295.37,3307.75,3294.42,3301.85
2022-03-27 22:00:00,3303.35,3318.23,3302.76,3311.15
2022-03-27 23:00:00,3314.31,3320.81,3302.29,3320.81
2022-03-28 00:00:00,3318.85,3337.88,3318.85,3325.4
2022-03-28 01:00:00,3326.34,3326.51,3304.73,3318.82
2022-03-28 02:00:00,3318.46,3328.33,3315.63,3319.13
2022-03-28 03:00:00,3318.02,3325.1,3309.5,3324.27
2022-03-28 04:00:00,3323.37,3349.0,3323.07,3335.45
2022-03-28 05:00:00,3336.41,3357.25,3336.41,3350.38
2022-03-28 06:00:00,3349.93,3358.08,3341.35,3344.65
2022-03-28 07:00:00,3350.08,3354.83,3333.8,3336.8
2022-03-28 08:00:00,3339.51,3390.0,3337.51,3379.71
2022-03-28 09:00:00,3378.83,3398.56,3359.36,3392.04
2022-03-28 10:00:00,3392.14,3401.72,3361.13,3361.13
2022-03-28 11:00:00,3359.57,3370.56,3330.06,3362.19
2022-03-28 12:00:00,3360.01,3390.37,3349.35,3386.36
2022-03-28 13:00:00,3385.03,3421.36,3379.7,3413.18
2022-03-28 14:00:00,3417.99,3431.65,3394.05,3410.24
2022-03-28 15:00:00,3407.27,3416.97,3401.8,3416.22
2022-03-28 16:00:00,3421.04,3421.04,3361.82,3382.3
2022-03-28 17:00:00,3380.09,3389.76,3358.4,3370.12
2022-03-28 18:00:00,3372.33,3374.69,3319.76,3330.25
2022-03-28 19:00:00,3333.99,3371.7,3330.82,3362.86
2022-03-28 20:00:00,3365.91,3394.21,3360.59,3390.34
2022-03-28 21:00:00,3387.73,3400.12,3375.88,3375.88
2022-03-28 22:00:00,3374.72,3381.9,3368.2,3369.7
2022-03-28 23:00:00,3372.21,3394.72,3372.21,3391.24
2022-03-29 00:00:00,3391.16,3412.67,3390.47,3407.44
2022-03-29 01:00:00,3406.26,3424.96,3403.89,3418.44
2022-03-29 02:00:00,3414.36,3414.36,3390.5,3390.5
2022-03-29 03:00:00,3387.47,3420.4,3387.47,3413.99
2022-03-29 04:00:00,3411.36,3442.28,3411.36,3427.44
2022-03-29 05:00:00,3426.02,3437.54,3417.88,3435.49
2022-03-29 06:00:00,3435.06,3468.04,3429.33,3465.76
2022-03-29 07:00:00,3463.83,3482.81,3454.62,3468.22
2022-03-29 08:00:00,3462.39,3472.04,3427.14,3444.04
2022-03-29 09:00:00,3445.73,3456.37,3437.01,3449.8
2022-03-29 10:00:00,3444.13,3454.21,3403.01,3405.77
2022-03-29 11:00:00,3403.42,3425.5,3369.71,3425.5
2022-03-29 12:00:00,3407.35,3408.59,3383.82,3401.24
2022-03-29 13:00:00,3399.64,3415.56,3399.64,3415.56
2022-03-29 14:00:00,3415.26,3443.25,3413.42,3428.81
2022-03-29 15:00:00,3430.32,3430.8,3387.44,3395.73
2022-03-29 16:00:00,3398.69,3400.82,3363.68,3381.18
2022-03-29 17:00:00,3375.2,3391.92,3350.26,3390.53
2022-03-29 18:00:00,3387.01,3406.79,3378.91,3403.51
2022-03-29 19:00:00,3397.81,3397.81,3357.89,3368.46
2022-03-29 20:00:00,3369.14,3380.25,3330.06,3348.14
2022-03-29 21:00:00,3346.4,3376.87,3346.4,3373.57
2022-03-29 22:00:00,3373.37,3387.44,3373.37,3385.45
2022-03-29 23:00:00,3381.29,3393.8,3363.33,3372.5
2022-03-30 00:00:00,3370.19,3405.62,3369.25,3405.37
2022-03-30 01:00:00,3406.15,3416.02,3393.88,3406.6
2022-03-30 02:00:00,3401.68,3416.05,3396.01,3409.96
2022-03-30 03:00:00,3404.57,3410.47,3389.29,3402.42
2022-03-30 04:00:00,3401.47,3401.47,3384.07,3389.3
2022-03-30 05:00:00,3386.16,3404.56,3382.0,3398.54
2022-03-30 06:00:00,3401.88,3418.82,3389.74,3409.52
2022-03-30 07:00:00,3410.98,3410.98,3390.15,3404.17
2022-03-30 08:00:00,3401.85,3401.97,3368.48,3371.72
2022-03-30 09:00:00,3368.96,3385.66,3355.81,3373.3
2022-03-30 10:00:00,3371.89,3385.38,3350.74,3382.22
2022-03-30 11:00:00,3382.61,3404.44,3375.45,3395.01
2022-03-30 12:00:00,3396.67,3440.04,3391.41,3435.03
2022-03-30 13:00:00,3438.44,3445.73,3399.57,3399.57
2022-03-30 14:00:00,3395.69,3395.69,3375.05,3395.28
2022-03-30 15:00:00,3399.92,3414.0,3389.52,3413.27
2022-03-30 16:00:00,3413.52,3413.52,3384.6,3386.73
2022-03-30 17:00:00,3387.23,3391.92,3373.84,3387.83
2022-03-30 18:00:00,3388.92,3394.82,3376.86,3386.0
2022-03-30 19:00:00,3380.58,3409.43,3377.43,3403.64
2022-03-30 20:00:00,3401.38,3424.88,3400.58,3423.31
2022-03-30 21:00:00,3423.24,3423.57,3404.08,3405.08
2022-03-30 22:00:00,3403.01,3412.62,3395.34,3395.5
2022-03-30 23:00:00,3404.64,3404.64,3391.1,3392.48
2022-03-31 00:00:00,3394.96,3401.29,3387.82,3395.14
