datetime,BTCUSDC_open,BTCUSDC_high,BTCUSDC_low,BTCUSDC_close
2022-01-10 16:00:00,40977.36,41963.95,40862.0,41910.29
2022-01-10 17:00:00,41910.66,42134.24,40581.49,41205.58
2022-01-10 18:00:00,41230.69,41736.05,41140.87,41634.56
2022-01-10 19:00:00,41611.6,41716.46,41222.3,41290.7
2022-01-10 20:00:00,41302.5,41769.29,41177.94,41697.93
2022-01-10 21:00:00,41709.46,41982.4,41583.84,41727.52
2022-01-10 22:00:00,41732.87,41852.41,41552.5,41626.62
2022-01-10 23:00:00,41613.02,41888.6,41521.3,41823.72
2022-01-11 00:00:00,41828.98,41879.73,41609.82,41613.9
2022-01-11 01:00:00,41629.9,42066.43,41555.39,41943.17
2022-01-11 02:00:00,41941.18,42387.9,41834.94,42212.88
2022-01-11 03:00:00,42206.95,42286.2,42076.37,42286.2
2022-01-11 04:00:00,42297.11,42374.12,42148.7,42320.71
2022-01-11 05:00:00,42333.78,42333.78,42021.54,42116.88
2022-01-11 06:00:00,42123.56,42227.09,41994.69,42119.69
2022-01-11 07:00:00,42151.48,42278.75,42102.62,42202.03
2022-01-11 08:00:00,42205.1,42625.25,41943.7,42011.6
2022-01-11 09:00:00,42034.12,42147.31,41859.01,41980.7
2022-01-11 10:00:00,41993.13,42068.55,41595.4,41623.76
2022-01-11 11:00:00,41631.05,41947.39,41594.9,41834.01
2022-01-11 12:00:00,41833.0,41968.51,41743.03,41830.79
2022-01-11 13:00:00,41832.51,41900.64,41598.12,41675.7
2022-01-11 14:00:00,41675.7,41829.01,41278.76,41592.57
2022-01-11 15:00:00,41604.4,42175.15,41471.51,41764.54
2022-01-11 16:00:00,41767.29,42947.8,41684.66,42721.07
2022-01-11 17:00:00,42737.63,43104.87,42313.64,42586.25
2022-01-11 18:00:00,42572.07,42938.18,42386.99,42768.37
2022-01-11 19:00:00,42778.75,43102.73,42612.48,42995.2
2022-01-11 20:00:00,43012.32,43127.03,42713.8,42811.45
2022-01-11 21:00:00,42821.92,42835.45,42671.8,42691.5
2022-01-11 22:00:00,42697.1,42779.54,42631.7,42687.5
2022-01-11 23:00:00,42691.43,42896.56,42670.08,42749.47
2022-01-12 00:00:00,42739.47,42973.07,42590.0,42680.0
2022-01-12 01:00:00,42659.76,42780.37,42593.18,42665.2
2022-01-12 02:00:00,42653.69,42718.06,42462.03,42578.9
2022-01-12 03:00:00,42559.71,42672.33,42508.73,42624.09
2022-01-12 04:00:00,42620.22,42749.48,42540.0,42639.14
2022-01-12 05:00:00,42649.79,42787.85,42581.7,42739.88
2022-01-12 06:00:00,42742.96,42876.94,42626.06,42663.21
2022-01-12 07:00:00,42666.1,42666.1,42485.88,42548.48
2022-01-12 08:00:00,42546.0,42721.76,42532.43,42596.2
2022-01-12 09:00:00,42610.24,42915.33,42601.07,42819.81
2022-01-12 10:00:00,42810.92,42994.3,42756.96,42779.31
2022-01-12 11:00:00,42762.1,43443.61,42707.0,42941.69
2022-01-12 12:00:00,42956.07,43373.29,42894.27,43330.86
2022-01-12 13:00:00,43298.3,44120.95,43211.57,43969.51
2022-01-12 14:00:00,43957.22,43963.18,43709.7,43877.75
2022-01-12 15:00:00,43897.49,43961.53,43429.87,43635.9
2022-01-12 16:00:00,43626.54,43703.21,43331.4,43645.75
2022-01-12 17:00:00,43635.58,43877.67,43518.8,43854.4
2022-01-12 18:00:00,43861.39,43904.11,43589.31,43612.34
2022-01-12 19:00:00,43616.68,43777.85,43557.2,43765.56
2022-01-12 20:00:00,43748.5,44009.25,43660.29,43867.1
2022-01-12 21:00:00,43857.24,44331.24,43776.01,43778.37
2022-01-12 22:00:00,43784.77,43963.36,43767.4,43864.48
2022-01-12 23:00:00,43876.96,44051.81,43845.09,43918.49
2022-01-13 00:00:00,43925.65,44062.71,43698.13,43743.71
2022-01-13 01:00:00,43760.4,43818.04,43542.32,43574.57
2022-01-13 02:00:00,43590.6,43698.33,43553.3,43604.84
2022-01-13 03:00:00,43589.7,43655.59,43444.4,43512.38
2022-01-13 04:00:00,43542.1,43733.82,43533.66,43636.02
2022-01-13 05:00:00,43630.69,43778.06,43595.26,43698.86
2022-01-13 06:00:00,43698.86,43810.0,43670.39,43722.36
2022-01-13 07:00:00,43716.38,43790.72,43595.85,43703.81
2022-01-13 08:00:00,43704.66,43930.21,43703.81,43916.79
2022-01-13 09:00:00,43915.85,44014.18,43771.38,43891.7
2022-01-13 10:00:00,43913.2,44038.03,43781.43,43805.35
2022-01-13 11:00:00,43804.68,43843.1,43537.13,43623.84
2022-01-13 12:00:00,43619.8,43833.81,43609.9,43821.37
2022-01-13 13:00:00,43826.05,43966.27,43700.0,43966.27
2022-01-13 14:00:00,43973.16,44439.75,43884.96,44226.8
2022-01-13 15:00:00,44221.34,44221.34,42861.54,43224.95
2022-01-13 16:00:00,43220.63,43497.81,43104.99,43273.66
2022-01-13 17:00:00,43244.7,43266.35,42571.66,42809.68
2022-01-13 18:00:00,42792.9,42974.47,42643.74,42709.18
2022-01-13 19:00:00,42748.29,42911.18,42544.6,42676.8
2022-01-13 20:00:00,42674.27,42794.3,42325.16,42794.3
2022-01-13 21:00:00,42798.07,42900.29,42698.71,42828.99
2022-01-13 22:00:00,42817.34,42906.44,42472.81,42594.9
2022-01-13 23:00:00,42557.31,42741.27,42510.85,42577.56
2022-01-14 00:00:00,42565.79,42792.62,42376.27,42770.22
2022-01-14 01:00:00,42762.6,42788.16,42566.2,42601.89
2022-01-14 02:00:00,42618.38,42752.53,42458.44,42749.21
2022-01-14 03:00:00,42760.59,42760.6,42612.25,42675.03
2022-01-14 04:00:00,42653.25,42861.88,42653.25,42715.55
2022-01-14 05:00:00,42722.4,42931.9,42661.73,42919.24
2022-01-14 06:00:00,42925.66,42978.21,42804.21,42851.18
2022-01-14 07:00:00,42847.16,42919.0,42612.53,42670.6
2022-01-14 08:00:00,42671.7,42679.93,42385.1,42532.73
2022-01-14 09:00:00,42519.0,42706.18,42488.6,42580.82
2022-01-14 10:00:00,42577.1,42625.83,41969.26,42098.22
2022-01-14 11:00:00,42064.67,42069.74,41849.57,42025.7
2022-01-14 12:00:00,42020.3,42249.2,41750.0,42073.2
2022-01-14 13:00:00,42095.7,42334.04,42045.33,42144.21
2022-01-14 14:00:00,42138.5,43101.0,42131.16,43022.41
2022-01-14 15:00:00,43011.66,43359.13,42795.48,43115.4
2022-01-14 16:00:00,43115.4,43235.51,42882.52,43216.75
2022-01-14 17:00:00,43190.88,43272.1,42895.43,42902.97
2022-01-14 18:00:00,42888.16,43120.0,42791.7,43079.11
2022-01-14 19:00:00,43087.22,43416.42,43041.6,43119.71
2022-01-14 20:00:00,43130.7,43200.0,43034.27,43117.0
2022-01-14 21:00:00,43144.19,43490.17,43144.19,43326.62
2022-01-14 22:00:00,43303.45,43416.09,43210.46,43287.28
2022-01-14 23:00:00,43299.51,43311.2,43033.14,43117.7
2022-01-15 00:00:00,43130.15,43200.16,42939.88,43142.09
2022-01-15 01:00:00,43127.02,43171.15,42887.87,42992.54
2022-01-15 02:00:00,42992.58,43136.06,42941.79,43136.06
2022-01-15 03:00:00,43126.37,43138.89,42947.8,42959.55
2022-01-15 04:00:00,42951.7,42980.43,42758.21,42948.61
2022-01-15 05:00:00,42932.7,43064.89,42855.3,43026.27
2022-01-15 06:00:00,43004.1,43116.23,42902.5,43088.2
2022-01-15 07:00:00,43075.2,43103.78,42957.8,43103.78
2022-01-15 08:00:00,43108.04,43139.75,42994.16,42994.16
2022-01-15 09:00:00,42997.54,43100.0,42915.21,43091.61
2022-01-15 10:00:00,43077.2,43301.44,43032.6,43128.73
2022-01-15 11:00:00,43110.0,43122.46,42989.4,43048.4
2022-01-15 12:00:00,43054.25,43054.25,42581.7,42719.68
2022-01-15 13:00:00,42724.92,42992.73,42665.1,42946.69
2022-01-15 14:00:00,42908.7,43342.5,42806.77,43221.85
2022-01-15 15:00:00,43208.1,43455.48,43102.94,43432.79
2022-01-15 16:00:00,43433.45,43438.98,43255.64,43368.97
2022-01-15 17:00:00,43378.1,43575.98,43295.7,43344.3
2022-01-15 18:00:00,43342.46,43396.61,43276.0,43360.92
2022-01-15 19:00:00,43349.78,44811.11,43343.92,43596.83
2022-01-15 20:00:00,43596.83,43824.84,43496.11,43496.11
2022-01-15 21:00:00,43494.44,43538.6,43182.83,43364.07
2022-01-15 22:00:00,43364.07,43406.76,43146.94,43280.5
2022-01-15 23:00:00,43264.2,43392.9,43097.64,43104.11
2022-01-16 00:00:00,43099.95,43129.45,43014.6,43129.45
2022-01-16 01:00:00,43119.44,43168.3,43010.71,43018.87
2022-01-16 02:00:00,43023.85,43106.53,42868.65,42946.24
2022-01-16 03:00:00,42938.51,43062.14,42886.54,43026.8
