datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-03-03 15:00:00,2885.59,2891.64,2816.99,2825.17
2022-03-03 16:00:00,2826.11,2837.94,2809.78,2819.52
2022-03-03 17:00:00,2818.27,2833.27,2785.3,2815.94
2022-03-03 18:00:00,2815.28,2834.19,2811.05,2815.95
2022-03-03 19:00:00,2819.59,2823.9,2801.18,2815.27
2022-03-03 20:00:00,2816.15,2824.14,2794.38,2802.9
2022-03-03 21:00:00,2804.5,2814.62,2790.44,2804.97
2022-03-03 22:00:00,2803.72,2842.59,2803.72,2834.61
2022-03-03 23:00:00,2836.88,2849.0,2828.02,2833.95
2022-03-04 00:00:00,2832.61,2835.75,2726.62,2734.04
2022-03-04 01:00:00,2733.25,2736.53,2690.28,2731.78
2022-03-04 02:00:00,2729.78,2736.69,2719.7,2724.76
2022-03-04 03:00:00,2725.32,2729.54,2711.97,2723.81
2022-03-04 04:00:00,2723.53,2730.53,2709.61,2728.49
2022-03-04 05:00:00,2727.8,2732.0,2718.41,2725.99
2022-03-04 06:00:00,2726.0,2734.37,2718.25,2724.7
2022-03-04 07:00:00,2724.27,2733.83,2716.86,2732.72
2022-03-04 08:00:00,2734.57,2755.74,2705.1,2740.89
2022-03-04 09:00:00,2742.88,2748.72,2717.24,2729.62
2022-03-04 10:00:00,2729.79,2747.83,2728.61,2743.21
2022-03-04 11:00:00,2742.74,2758.82,2736.54,2746.41
2022-03-04 12:00:00,2744.81,2749.97,2720.89,2733.49
2022-03-04 13:00:00,2730.67,2755.11,2715.05,2719.56
2022-03-04 14:00:00,2719.61,2725.0,2665.48,2706.21
2022-03-04 15:00:00,2707.7,2716.38,2666.21,2671.88
2022-03-04 16:00:00,2670.63,2684.41,2649.0,2675.3
2022-03-04 17:00:00,2672.14,2697.06,2668.65,2690.57
2022-03-04 18:00:00,2692.95,2697.14,2670.03,2670.94
2022-03-04 19:00:00,2673.46,2674.47,2609.89,2614.25
2022-03-04 20:00:00,2614.21,2629.95,2598.03,2615.31
2022-03-04 21:00:00,2614.12,2625.9,2603.61,2607.95
