datetime,WBTCUSD_open,WBTCUSD_high,WBTCUSD_low,WBTCUSD_close
2022-02-20 22:00:00,38309.84,38880.83,38282.83,38880.83
2022-02-20 23:00:00,38890.08,38971.44,38363.82,38369.61
2022-02-21 00:00:00,38337.32,38750.0,38228.92,38735.93
2022-02-21 01:00:00,38689.53,39377.02,38580.65,39200.54
2022-02-21 02:00:00,39128.11,39238.55,39073.01,39116.74
2022-02-21 03:00:00,39100.55,39238.55,38853.41,38980.32
2022-02-21 04:00:00,38989.13,39377.02,38989.13,39293.85
2022-02-21 05:00:00,39308.81,39488.14,39238.52,39238.52
2022-02-21 06:00:00,39210.89,39292.67,39183.28,39194.72
2022-02-21 07:00:00,39224.54,39349.28,39090.4,39349.28
2022-02-21 08:00:00,39377.02,39377.02,39045.49,39045.49
2022-02-21 09:00:00,39046.41,39100.58,38902.1,38902.1
2022-02-21 10:00:00,38947.08,38981.74,38255.87,38363.85
2022-02-21 11:00:00,38390.89,38417.95,37403.07,37628.99
2022-02-21 12:00:00,37641.01,37783.48,37429.56,37568.94
2022-02-21 13:00:00,37508.62,37720.2,37245.3,37522.84
2022-02-21 14:00:00,37523.0,38880.83,37492.95,38716.79
2022-02-21 15:00:00,38717.61,39310.34,38689.53,38838.63
2022-02-21 16:00:00,38908.23,39155.71,38689.53,38754.87
2022-02-21 17:00:00,38746.62,38853.58,38526.33,38553.98
2022-02-21 18:00:00,38607.87,38662.31,37587.98,37827.09
2022-02-21 19:00:00,37747.2,38309.84,37614.47,38094.5
2022-02-21 20:00:00,38067.67,38445.02,38014.07,38242.85
2022-02-21 21:00:00,38238.48,38363.85,37035.65,37062.08
2022-02-21 22:00:00,37035.97,37800.45,36853.78,37508.62
2022-02-21 23:00:00,37588.01,37694.08,36905.74,37088.22
2022-02-22 00:00:00,37114.36,37350.43,36879.75,37200.09
2022-02-22 01:00:00,37166.66,37455.84,36905.74,37193.28
2022-02-22 02:00:00,37192.86,37192.89,36931.75,37000.0
2022-02-22 03:00:00,36931.75,36931.75,36389.39,36620.88
2022-02-22 04:00:00,36646.68,36803.81,36625.84,36673.31
2022-02-22 05:00:00,36665.67,37245.33,36595.06,36724.19
2022-02-22 06:00:00,36718.76,37012.1,36620.85,36873.78
2022-02-22 07:00:00,36905.77,36983.86,36558.92,36789.11
2022-02-22 08:00:00,36775.97,37166.85,36768.13,37088.2
2022-02-22 09:00:00,37062.08,37297.84,37062.08,37114.33
2022-02-22 10:00:00,37192.89,37862.39,37192.89,37720.62
2022-02-22 11:00:00,37694.05,37747.23,37482.2,37508.62
2022-02-22 12:00:00,37482.2,37779.9,37297.82,37626.65
2022-02-22 13:00:00,37600.17,37981.49,37350.41,37853.72
2022-02-22 14:00:00,37827.06,38376.08,37446.74,38105.98
2022-02-22 15:00:00,38094.5,38228.95,37720.62,37800.45
2022-02-22 16:00:00,37827.09,37898.28,37508.62,37747.23
2022-02-22 17:00:00,37734.92,37853.75,37400.0,37615.71
2022-02-22 18:00:00,37731.14,38003.97,37599.33,37710.61
2022-02-22 19:00:00,37682.01,38194.21,37682.01,38194.21
2022-02-22 20:00:00,38235.88,38300.45,37816.13,38022.51
2022-02-22 21:00:00,38017.12,38041.06,37858.26,37904.86
2022-02-22 22:00:00,37897.66,37984.93,37787.6,37963.8
2022-02-22 23:00:00,37935.96,38403.08,37914.08,38258.6
2022-02-23 00:00:00,38337.08,38354.14,38099.7,38144.44
2022-02-23 01:00:00,38144.8,38144.8,37981.49,38116.01
2022-02-23 02:00:00,38091.28,38224.99,37455.18,37817.1
2022-02-23 03:00:00,37741.0,37802.54,37663.31,37769.85
2022-02-23 04:00:00,37793.9,38110.97,37793.9,38110.97
2022-02-23 05:00:00,38152.57,38152.57,37883.52,38123.52
2022-02-23 06:00:00,38107.37,38152.57,37984.45,38043.35
2022-02-23 07:00:00,38036.38,38210.41,38036.38,38209.52
2022-02-23 08:00:00,38182.19,38781.95,38132.16,38696.97
2022-02-23 09:00:00,38662.1,39000.0,38662.1,38884.71
2022-02-23 10:00:00,38864.84,38963.09,38788.34,38853.41
2022-02-23 11:00:00,38826.05,39143.87,38798.71,38809.83
2022-02-23 12:00:00,38818.33,39100.58,38816.67,39073.04
2022-02-23 13:00:00,39100.58,39261.85,38963.06,38999.0
2022-02-23 14:00:00,38935.62,38990.55,38650.2,38650.2
2022-02-23 15:00:00,38635.05,38662.31,38481.92,38507.39
2022-02-23 16:00:00,38580.68,38716.82,38376.09,38683.49
2022-02-23 17:00:00,38654.0,38772.06,38067.67,38104.48
2022-02-23 18:00:00,38064.44,38066.39,37747.2,37778.27
2022-02-23 19:00:00,37808.29,37930.73,37569.46,37646.39
2022-02-23 20:00:00,37652.29,37752.57,37429.43,37752.57
2022-02-23 21:00:00,37688.06,37809.38,37455.81,37535.05
2022-02-23 22:00:00,37540.83,37692.18,37166.66,37635.32
2022-02-23 23:00:00,37694.08,37720.65,37088.2,37254.68
2022-02-24 00:00:00,37248.65,37429.46,36750.07,36827.85
2022-02-24 01:00:00,36853.81,37088.22,36672.48,36969.25
2022-02-24 02:00:00,36971.23,37054.67,35876.92,35960.93
2022-02-24 03:00:00,35975.96,35975.96,34777.26,35006.38
2022-02-24 04:00:00,34907.84,35213.75,34545.47,35034.33
2022-02-24 05:00:00,35031.02,35046.17,34332.13,34711.68
2022-02-24 06:00:00,34736.14,35080.44,34687.2,34957.09
2022-02-24 07:00:00,34981.72,35478.11,34419.43,35204.2
2022-02-24 08:00:00,35229.8,35855.01,35229.8,35503.08
2022-02-24 09:00:00,35478.08,35779.31,35303.55,35368.06
2022-02-24 10:00:00,35350.55,35455.18,34850.17,35179.41
2022-02-24 11:00:00,35154.63,35553.17,34907.84,35378.24
2022-02-24 12:00:00,35353.33,35453.09,35080.41,35303.58
2022-02-24 13:00:00,35204.2,35686.52,35154.63,35503.08
2022-02-24 14:00:00,35494.5,35916.78,35229.01,35603.27
2022-02-24 15:00:00,35578.2,36108.5,35453.09,35968.22
2022-02-24 16:00:00,36006.89,36379.12,35872.69,36194.02
2022-02-24 17:00:00,36159.94,36177.93,35779.28,35854.98
2022-02-24 18:00:00,35885.45,36841.59,35850.0,36431.28
2022-02-24 19:00:00,36434.03,37403.1,36286.98,37403.1
2022-02-24 20:00:00,37420.08,39655.41,37420.08,38417.95
2022-02-24 21:00:00,38434.19,38635.08,38228.92,38472.11
2022-02-24 22:00:00,38427.83,38483.12,37775.89,37880.43
2022-02-24 23:00:00,37907.13,38407.47,37907.13,38370.65
2022-02-25 00:00:00,38390.89,38771.41,38228.92,38228.92
2022-02-25 01:00:00,38291.02,38908.23,38175.1,38689.56
2022-02-25 02:00:00,38669.3,38841.02,38526.33,38744.08
2022-02-25 03:00:00,38765.23,39018.03,38547.46,38881.71
2022-02-25 04:00:00,38884.59,38947.81,38686.01,38712.39
2022-02-25 05:00:00,38689.53,38689.53,38246.57,38444.99
2022-02-25 06:00:00,38417.92,38815.15,38417.92,38689.53
2022-02-25 07:00:00,38798.74,38798.74,38417.92,38417.92
2022-02-25 08:00:00,38471.59,38499.23,38175.1,38363.82
2022-02-25 09:00:00,38408.16,38771.41,38018.21,38771.41
2022-02-25 10:00:00,38709.32,38709.32,38499.2,38561.59
2022-02-25 11:00:00,38499.2,38864.48,38363.82,38826.08
2022-02-25 12:00:00,38836.76,39492.83,38762.82,39404.77
2022-02-25 13:00:00,39321.54,39683.35,39266.18,39266.18
2022-02-25 14:00:00,39238.52,39468.65,38990.52,38990.52
2022-02-25 15:00:00,38963.06,39571.68,38744.08,39420.87
2022-02-25 16:00:00,39404.74,39599.57,39238.52,39404.77
2022-02-25 17:00:00,39324.88,39324.88,38908.2,39045.52
2022-02-25 18:00:00,39009.44,39009.44,38580.65,38633.24
2022-02-25 19:00:00,38689.56,38963.09,38580.65,38662.28
