datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-02-01 06:00:00,1.0528,1.0529,1.0448,1.0497
2022-02-01 07:00:00,1.0496,1.0565,1.0488,1.0562
2022-02-01 08:00:00,1.0563,1.063,1.0542,1.0629
2022-02-01 09:00:00,1.0625,1.0732,1.0482,1.0508
2022-02-01 10:00:00,1.051,1.0552,1.0448,1.0495
2022-02-01 11:00:00,1.0496,1.062,1.0478,1.0554
2022-02-01 12:00:00,1.055,1.0646,1.054,1.0639
2022-02-01 13:00:00,1.0639,1.072,1.0599,1.0649
2022-02-01 14:00:00,1.0647,1.075,1.056,1.0609
2022-02-01 15:00:00,1.061,1.0671,1.0526,1.0659
2022-02-01 16:00:00,1.0657,1.0798,1.0625,1.0762
2022-02-01 17:00:00,1.076,1.078,1.0646,1.0708
2022-02-01 18:00:00,1.071,1.0782,1.0661,1.0686
2022-02-01 19:00:00,1.0687,1.0713,1.0635,1.0663
2022-02-01 20:00:00,1.0664,1.079,1.066,1.0692
2022-02-01 21:00:00,1.0692,1.0799,1.0686,1.0798
2022-02-01 22:00:00,1.0796,1.0837,1.0707,1.0766
2022-02-01 23:00:00,1.0766,1.0968,1.0728,1.0965
2022-02-02 00:00:00,1.0966,1.103,1.0815,1.0898
2022-02-02 01:00:00,1.0899,1.0975,1.0855,1.0867
2022-02-02 02:00:00,1.0863,1.0962,1.0816,1.0943
2022-02-02 03:00:00,1.0943,1.101,1.0897,1.0911
2022-02-02 04:00:00,1.0911,1.0911,1.0843,1.0844
2022-02-02 05:00:00,1.0843,1.0843,1.0714,1.0781
2022-02-02 06:00:00,1.0781,1.0816,1.0654,1.07
2022-02-02 07:00:00,1.0699,1.0715,1.0541,1.0598
2022-02-02 08:00:00,1.0598,1.0667,1.057,1.0653
2022-02-02 09:00:00,1.0653,1.0731,1.061,1.0713
2022-02-02 10:00:00,1.0714,1.073,1.068,1.0721
2022-02-02 11:00:00,1.0721,1.0724,1.0652,1.0688
2022-02-02 12:00:00,1.0689,1.0837,1.0676,1.08
2022-02-02 13:00:00,1.0797,1.0837,1.0729,1.0746
2022-02-02 14:00:00,1.0745,1.0777,1.0393,1.045
2022-02-02 15:00:00,1.0451,1.0545,1.0435,1.0468
2022-02-02 16:00:00,1.0466,1.0521,1.0311,1.0471
2022-02-02 17:00:00,1.0472,1.0539,1.0424,1.0498
2022-02-02 18:00:00,1.0499,1.0538,1.0461,1.0535
2022-02-02 19:00:00,1.0531,1.0596,1.0499,1.0557
2022-02-02 20:00:00,1.0557,1.0581,1.0466,1.0512
2022-02-02 21:00:00,1.0511,1.0541,1.0232,1.0327
2022-02-02 22:00:00,1.033,1.0386,1.0274,1.0338
2022-02-02 23:00:00,1.0336,1.0408,1.0245,1.0268
2022-02-03 00:00:00,1.0274,1.0374,1.0241,1.0324
2022-02-03 01:00:00,1.032,1.0353,1.02,1.024
2022-02-03 02:00:00,1.0239,1.032,1.02,1.0307
2022-02-03 03:00:00,1.0306,1.0335,1.0262,1.0292
2022-02-03 04:00:00,1.0293,1.0342,1.0275,1.0308
2022-02-03 05:00:00,1.0311,1.0426,1.0289,1.0384
2022-02-03 06:00:00,1.0386,1.0386,1.0321,1.0362
2022-02-03 07:00:00,1.0364,1.043,1.0359,1.0413
2022-02-03 08:00:00,1.0414,1.0438,1.0364,1.0408
2022-02-03 09:00:00,1.0408,1.0416,1.023,1.024
2022-02-03 10:00:00,1.0241,1.026,1.0174,1.022
2022-02-03 11:00:00,1.0218,1.0348,1.019,1.0311
2022-02-03 12:00:00,1.0313,1.0327,1.0187,1.0317
2022-02-03 13:00:00,1.0317,1.0362,1.0274,1.0311
2022-02-03 14:00:00,1.031,1.0377,1.0291,1.0364
2022-02-03 15:00:00,1.0364,1.0506,1.0351,1.0464
2022-02-03 16:00:00,1.0469,1.0541,1.0443,1.048
2022-02-03 17:00:00,1.048,1.0521,1.0425,1.0515
2022-02-03 18:00:00,1.0514,1.056,1.0473,1.0534
2022-02-03 19:00:00,1.0534,1.0585,1.0412,1.0456
2022-02-03 20:00:00,1.0456,1.0515,1.0371,1.0388
2022-02-03 21:00:00,1.0389,1.0596,1.0389,1.0567
2022-02-03 22:00:00,1.057,1.0594,1.0468,1.0518
2022-02-03 23:00:00,1.0519,1.0622,1.0491,1.061
2022-02-04 00:00:00,1.0608,1.0619,1.0519,1.0543
2022-02-04 01:00:00,1.0543,1.0543,1.0458,1.0488
2022-02-04 02:00:00,1.0489,1.0581,1.0478,1.0534
2022-02-04 03:00:00,1.0533,1.0595,1.0516,1.0538
2022-02-04 04:00:00,1.0538,1.056,1.0505,1.0543
2022-02-04 05:00:00,1.0543,1.071,1.0528,1.0677
2022-02-04 06:00:00,1.0679,1.0749,1.0679,1.07
2022-02-04 07:00:00,1.0702,1.0743,1.064,1.0656
2022-02-04 08:00:00,1.0655,1.0716,1.0641,1.0674
2022-02-04 09:00:00,1.0672,1.0689,1.0639,1.0665
2022-02-04 10:00:00,1.0666,1.0707,1.0596,1.0612
2022-02-04 11:00:00,1.0611,1.0622,1.0574,1.0575
2022-02-04 12:00:00,1.0576,1.0649,1.0569,1.0632
2022-02-04 13:00:00,1.0631,1.0687,1.0471,1.0498
2022-02-04 14:00:00,1.0498,1.0627,1.0467,1.058
2022-02-04 15:00:00,1.0582,1.0839,1.0555,1.0787
2022-02-04 16:00:00,1.0787,1.115,1.078,1.1037
2022-02-04 17:00:00,1.1036,1.1082,1.1001,1.1044
2022-02-04 18:00:00,1.1045,1.108,1.0939,1.096
2022-02-04 19:00:00,1.0962,1.106,1.0901,1.1027
2022-02-04 20:00:00,1.1027,1.11,1.1023,1.1084
2022-02-04 21:00:00,1.1081,1.11,1.1039,1.1089
2022-02-04 22:00:00,1.1091,1.12,1.1067,1.1193
2022-02-04 23:00:00,1.1193,1.14,1.1163,1.1398
2022-02-05 00:00:00,1.1396,1.148,1.1271,1.1334
2022-02-05 01:00:00,1.1334,1.1368,1.1236,1.1314
2022-02-05 02:00:00,1.1316,1.1396,1.1258,1.138
2022-02-05 03:00:00,1.138,1.1442,1.1351,1.1432
2022-02-05 04:00:00,1.1431,1.1511,1.1377,1.1409
2022-02-05 05:00:00,1.1408,1.1724,1.1388,1.1667
2022-02-05 06:00:00,1.1666,1.1785,1.1611,1.1624
2022-02-05 07:00:00,1.1626,1.1629,1.147,1.1525
2022-02-05 08:00:00,1.1528,1.1663,1.1524,1.1631
2022-02-05 09:00:00,1.1632,1.166,1.1542,1.1625
2022-02-05 10:00:00,1.1625,1.1689,1.157,1.1615
2022-02-05 11:00:00,1.1614,1.165,1.1558,1.1583
2022-02-05 12:00:00,1.1583,1.1587,1.1486,1.153
2022-02-05 13:00:00,1.1532,1.1583,1.1514,1.1558
2022-02-05 14:00:00,1.1558,1.1559,1.1446,1.1471
2022-02-05 15:00:00,1.147,1.1547,1.1339,1.1517
2022-02-05 16:00:00,1.1513,1.1532,1.1106,1.1159
2022-02-05 17:00:00,1.1158,1.1357,1.0972,1.1313
2022-02-05 18:00:00,1.1312,1.1329,1.1226,1.1253
2022-02-05 19:00:00,1.1251,1.1253,1.1123,1.1151
2022-02-05 20:00:00,1.1151,1.1207,1.1093,1.1207
2022-02-05 21:00:00,1.1201,1.1268,1.1166,1.1244
2022-02-05 22:00:00,1.1245,1.1345,1.1237,1.1315
2022-02-05 23:00:00,1.1312,1.1342,1.1251,1.1255
2022-02-06 00:00:00,1.1259,1.1288,1.1211,1.1271
2022-02-06 01:00:00,1.1268,1.1412,1.1268,1.1409
2022-02-06 02:00:00,1.1408,1.1448,1.125,1.1282
2022-02-06 03:00:00,1.1282,1.1359,1.1269,1.1287
2022-02-06 04:00:00,1.1288,1.1319,1.1119,1.1212
2022-02-06 05:00:00,1.1211,1.1255,1.1186,1.1247
2022-02-06 06:00:00,1.1247,1.1255,1.1158,1.1191
2022-02-06 07:00:00,1.1191,1.13,1.119,1.128
2022-02-06 08:00:00,1.1279,1.134,1.1271,1.1327
2022-02-06 09:00:00,1.1323,1.135,1.1293,1.131
2022-02-06 10:00:00,1.1311,1.1321,1.1192,1.1213
2022-02-06 11:00:00,1.1211,1.1246,1.116,1.1184
2022-02-06 12:00:00,1.1185,1.1259,1.1177,1.1259
2022-02-06 13:00:00,1.1254,1.1292,1.1196,1.1274
2022-02-06 14:00:00,1.1272,1.1379,1.1049,1.1071
2022-02-06 15:00:00,1.1073,1.1166,1.0983,1.1138
2022-02-06 16:00:00,1.1139,1.1247,1.1113,1.1206
2022-02-06 17:00:00,1.1208,1.1246,1.1195,1.1221
2022-02-06 18:00:00,1.122,1.1224,1.1112,1.1149
2022-02-06 19:00:00,1.115,1.1229,1.114,1.1221
2022-02-06 20:00:00,1.122,1.1319,1.1176,1.1252
2022-02-06 21:00:00,1.1253,1.1333,1.1237,1.1267
2022-02-06 22:00:00,1.1265,1.1306,1.1217,1.124
2022-02-06 23:00:00,1.1235,1.1509,1.1221,1.1436
