datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-12 22:00:00,3336.5,3342.35,3315.86,3339.59
2022-01-12 23:00:00,3339.58,3354.34,3335.45,3337.93
2022-01-13 00:00:00,3337.99,3344.56,3324.88,3338.05
2022-01-13 01:00:00,3338.05,3345.93,3335.51,3342.2
2022-01-13 02:00:00,3342.19,3350.0,3333.36,3341.61
2022-01-13 03:00:00,3341.61,3358.89,3338.01,3358.78
2022-01-13 04:00:00,3358.79,3375.74,3349.03,3363.41
2022-01-13 05:00:00,3363.42,3381.4,3357.0,3357.5
2022-01-13 06:00:00,3357.51,3361.22,3330.0,3335.47
2022-01-13 07:00:00,3335.47,3369.41,3333.56,3368.9
2022-01-13 08:00:00,3368.9,3381.89,3353.43,3374.53
2022-01-13 09:00:00,3374.5,3411.5,3366.05,3387.88
2022-01-13 10:00:00,3387.8,3392.69,3272.42,3302.62
2022-01-13 11:00:00,3302.62,3319.51,3288.3,3302.3
2022-01-13 12:00:00,3302.2,3305.67,3250.0,3282.93
2022-01-13 13:00:00,3282.75,3297.56,3267.11,3272.01
2022-01-13 14:00:00,3272.01,3292.0,3250.0,3273.07
2022-01-13 15:00:00,3272.64,3278.5,3233.75,3277.08
2022-01-13 16:00:00,3276.79,3277.38,3266.0,3270.92
2022-01-13 17:00:00,3271.15,3276.97,3246.5,3248.11
2022-01-13 18:00:00,3248.02,3264.8,3233.9,3241.86
2022-01-13 19:00:00,3241.99,3270.57,3223.8,3269.4
2022-01-13 20:00:00,3269.36,3270.41,3253.07,3259.72
2022-01-13 21:00:00,3259.72,3276.15,3246.98,3273.78
2022-01-13 22:00:00,3273.77,3275.27,3262.71,3268.29
2022-01-13 23:00:00,3267.96,3286.76,3267.96,3273.67
2022-01-14 00:00:00,3273.75,3308.7,3271.62,3306.39
2022-01-14 01:00:00,3306.3,3313.39,3293.42,3293.42
2022-01-14 02:00:00,3293.43,3296.37,3265.23,3270.31
2022-01-14 03:00:00,3270.32,3271.39,3242.0,3257.99
2022-01-14 04:00:00,3257.99,3275.7,3252.0,3263.75
2022-01-14 05:00:00,3263.74,3269.56,3213.48,3225.43
2022-01-14 06:00:00,3225.43,3226.0,3196.5,3202.88
2022-01-14 07:00:00,3202.87,3230.89,3188.08,3212.79
2022-01-14 08:00:00,3212.67,3231.24,3204.51,3211.08
2022-01-14 09:00:00,3211.09,3285.92,3205.68,3277.51
2022-01-14 10:00:00,3277.5,3301.28,3256.95,3279.34
2022-01-14 11:00:00,3279.33,3297.43,3260.0,3296.0
2022-01-14 12:00:00,3296.0,3308.77,3275.52,3280.34
2022-01-14 13:00:00,3280.37,3295.45,3271.99,3292.89
2022-01-14 14:00:00,3292.89,3329.1,3292.53,3309.38
2022-01-14 15:00:00,3309.24,3318.66,3299.2,3304.14
2022-01-14 16:00:00,3304.61,3345.01,3303.09,3332.41
2022-01-14 17:00:00,3332.41,3333.75,3314.98,3314.98
2022-01-14 18:00:00,3314.99,3319.6,3294.26,3308.87
2022-01-14 19:00:00,3308.77,3327.09,3303.21,3316.3
2022-01-14 20:00:00,3316.05,3319.5,3296.4,3304.23
2022-01-14 21:00:00,3304.23,3316.7,3298.72,3316.69
2022-01-14 22:00:00,3316.69,3323.07,3305.04,3308.57
2022-01-14 23:00:00,3308.57,3309.96,3295.1,3305.88
2022-01-15 00:00:00,3305.87,3317.73,3299.44,3309.45
2022-01-15 01:00:00,3309.45,3321.77,3304.4,3319.09
2022-01-15 02:00:00,3319.15,3320.23,3305.67,3314.65
2022-01-15 03:00:00,3314.65,3325.6,3311.43,3313.28
2022-01-15 04:00:00,3313.24,3333.85,3311.15,3331.49
2022-01-15 05:00:00,3331.49,3339.62,3324.17,3324.51
2022-01-15 06:00:00,3324.51,3325.94,3315.0,3320.23
2022-01-15 07:00:00,3320.23,3321.51,3261.8,3284.49
2022-01-15 08:00:00,3284.48,3310.49,3276.56,3304.14
2022-01-15 09:00:00,3304.06,3358.48,3294.83,3340.11
2022-01-15 10:00:00,3340.12,3373.0,3333.9,3363.03
2022-01-15 11:00:00,3363.14,3374.31,3354.6,3359.84
2022-01-15 12:00:00,3359.84,3362.85,3348.09,3350.98
2022-01-15 13:00:00,3350.98,3351.0,3342.2,3344.49
2022-01-15 14:00:00,3344.57,3351.7,3341.0,3351.06
2022-01-15 15:00:00,3350.82,3371.0,3350.82,3353.3
2022-01-15 16:00:00,3352.8,3354.23,3328.4,3334.83
2022-01-15 17:00:00,3334.84,3342.76,3329.65,3338.92
2022-01-15 18:00:00,3338.92,3345.8,3325.6,3327.75
2022-01-15 19:00:00,3327.75,3336.47,3317.2,3332.76
2022-01-15 20:00:00,3332.76,3338.49,3322.11,3322.11
2022-01-15 21:00:00,3322.12,3327.2,3295.57,3305.63
2022-01-15 22:00:00,3305.27,3321.15,3300.72,3314.91
2022-01-15 23:00:00,3315.02,3323.0,3308.87,3319.36
2022-01-16 00:00:00,3318.93,3324.2,3307.82,3307.82
2022-01-16 01:00:00,3307.81,3337.6,3305.7,3335.65
2022-01-16 02:00:00,3335.66,3340.0,3329.75,3333.23
2022-01-16 03:00:00,3333.23,3338.0,3312.28,3312.68
2022-01-16 04:00:00,3312.78,3324.96,3310.03,3320.69
2022-01-16 05:00:00,3320.68,3334.55,3306.0,3307.23
2022-01-16 06:00:00,3307.23,3320.1,3286.01,3313.56
2022-01-16 07:00:00,3313.56,3345.24,3313.56,3333.71
2022-01-16 08:00:00,3333.72,3344.79,3275.55,3341.28
2022-01-16 09:00:00,3341.29,3363.43,3330.0,3352.03
2022-01-16 10:00:00,3351.94,3361.7,3342.2,3354.13
2022-01-16 11:00:00,3354.51,3394.5,3346.02,3372.03
2022-01-16 12:00:00,3372.04,3376.27,3345.0,3347.61
2022-01-16 13:00:00,3347.61,3354.53,3345.07,3348.17
2022-01-16 14:00:00,3348.61,3350.62,3313.33,3321.82
2022-01-16 15:00:00,3322.12,3338.38,3312.01,3334.51
2022-01-16 16:00:00,3334.54,3338.5,3327.78,3331.21
2022-01-16 17:00:00,3331.31,3353.61,3329.94,3349.86
2022-01-16 18:00:00,3349.87,3363.32,3346.79,3348.0
2022-01-16 19:00:00,3348.2,3358.73,3325.87,3327.16
2022-01-16 20:00:00,3327.15,3332.63,3315.1,3321.2
2022-01-16 21:00:00,3321.19,3328.01,3312.03,3326.9
2022-01-16 22:00:00,3326.9,3330.97,3258.12,3260.08
2022-01-16 23:00:00,3260.13,3286.26,3253.07,3255.83
2022-01-17 00:00:00,3255.68,3269.09,3237.39,3267.01
2022-01-17 01:00:00,3267.01,3283.9,3264.41,3275.24
2022-01-17 02:00:00,3274.79,3301.47,3271.4,3272.37
2022-01-17 03:00:00,3272.49,3279.24,3252.69,3272.89
2022-01-17 04:00:00,3272.75,3283.0,3264.48,3275.31
2022-01-17 05:00:00,3275.1,3280.0,3256.15,3275.0
2022-01-17 06:00:00,3275.0,3281.0,3255.8,3257.3
2022-01-17 07:00:00,3257.22,3281.76,3235.93,3261.85
2022-01-17 08:00:00,3261.44,3276.84,3257.74,3269.08
2022-01-17 09:00:00,3269.08,3277.45,3250.69,3257.44
2022-01-17 10:00:00,3257.44,3259.71,3223.04,3237.51
2022-01-17 11:00:00,3237.93,3247.94,3209.39,3229.39
2022-01-17 12:00:00,3229.39,3232.8,3194.28,3208.42
2022-01-17 13:00:00,3208.75,3219.04,3181.16,3217.91
2022-01-17 14:00:00,3217.91,3227.11,3213.59,3219.83
2022-01-17 15:00:00,3220.16,3225.79,3208.9,3210.0
2022-01-17 16:00:00,3210.01,3212.66,3152.67,3166.98
2022-01-17 17:00:00,3166.97,3217.0,3142.56,3193.65
2022-01-17 18:00:00,3193.64,3221.64,3192.74,3210.26
2022-01-17 19:00:00,3210.44,3236.09,3206.03,3229.47
2022-01-17 20:00:00,3229.47,3244.91,3219.2,3224.12
2022-01-17 21:00:00,3224.46,3228.17,3210.15,3219.35
2022-01-17 22:00:00,3219.49,3220.46,3177.17,3183.65
2022-01-17 23:00:00,3183.64,3189.14,3164.32,3176.37
2022-01-18 00:00:00,3176.36,3184.55,3165.78,3175.4
2022-01-18 01:00:00,3175.43,3207.18,3175.43,3202.21
2022-01-18 02:00:00,3202.22,3206.16,3182.82,3188.55
2022-01-18 03:00:00,3188.84,3189.44,3150.56,3158.02
2022-01-18 04:00:00,3158.46,3176.06,3128.43,3166.6
2022-01-18 05:00:00,3166.89,3192.56,3157.99,3175.74
2022-01-18 06:00:00,3176.02,3176.86,3154.48,3172.0
2022-01-18 07:00:00,3172.0,3181.8,3147.0,3163.05
2022-01-18 08:00:00,3163.31,3167.76,3111.0,3140.18
2022-01-18 09:00:00,3140.18,3144.79,3100.5,3120.26
2022-01-18 10:00:00,3120.26,3145.06,3112.76,3117.15
2022-01-18 11:00:00,3117.14,3140.72,3101.7,3132.18
2022-01-18 12:00:00,3132.13,3134.08,3103.78,3104.83
2022-01-18 13:00:00,3104.82,3115.2,3083.17,3108.16
2022-01-18 14:00:00,3108.16,3134.05,3105.39,3128.64
2022-01-18 15:00:00,3128.5,3132.74,3100.83,3124.24
