datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-05-03 21:00:00,0.6132,0.6133,0.6132,0.6133
2022-05-03 22:00:00,0.6161,0.6161,0.6152,0.6152
2022-05-03 23:00:00,0.6091,0.6091,0.6091,0.6091
2022-05-04 00:00:00,0.6093,0.6093,0.6066,0.6074
2022-05-04 01:00:00,0.6095,0.6111,0.6087,0.6111
2022-05-04 02:00:00,0.6104,0.6132,0.6104,0.6132
2022-05-04 03:00:00,0.6131,0.6131,0.6131,0.6131
2022-05-04 04:00:00,0.6166,0.6189,0.6144,0.6144
2022-05-04 05:00:00,0.6185,0.6186,0.6185,0.6186
2022-05-04 06:00:00,0.6186,0.6216,0.6186,0.6197
2022-05-04 07:00:00,0.6207,0.621,0.6191,0.6194
2022-05-04 08:00:00,0.6157,0.6157,0.6157,0.6157
2022-05-04 09:00:00,0.6121,0.6121,0.6121,0.6121
2022-05-04 10:00:00,0.614,0.614,0.6131,0.614
2022-05-04 11:00:00,0.614,0.614,0.614,0.614
2022-05-04 12:00:00,0.614,0.614,0.6131,0.6131
2022-05-04 13:00:00,0.6189,0.6413,0.6183,0.6413
2022-05-04 14:00:00,0.6413,0.6413,0.6413,0.6413
2022-05-04 15:00:00,0.6426,0.6426,0.6425,0.6425
2022-05-04 16:00:00,0.6485,0.6485,0.6447,0.6447
2022-05-04 17:00:00,0.646,0.646,0.6453,0.6453
2022-05-04 18:00:00,0.6467,0.6467,0.6467,0.6467
2022-05-04 19:00:00,0.6486,0.6486,0.6477,0.6477
2022-05-04 20:00:00,0.65,0.6536,0.65,0.6536
2022-05-04 21:00:00,0.6477,0.6524,0.6477,0.651
2022-05-04 22:00:00,0.6501,0.6501,0.6496,0.6496
2022-05-04 23:00:00,0.65,0.6519,0.6478,0.6478
2022-05-05 00:00:00,0.6465,0.6465,0.6446,0.6446
2022-05-05 01:00:00,0.6446,0.6446,0.6446,0.6446
2022-05-05 02:00:00,0.6419,0.6435,0.6412,0.6435
2022-05-05 03:00:00,0.6405,0.6405,0.6386,0.6386
2022-05-05 04:00:00,0.6386,0.6386,0.6386,0.6386
2022-05-05 05:00:00,0.639,0.639,0.6389,0.639
2022-05-05 06:00:00,0.639,0.639,0.639,0.639
2022-05-05 07:00:00,0.639,0.639,0.639,0.639
2022-05-05 08:00:00,0.6305,0.6305,0.6299,0.63
2022-05-05 09:00:00,0.6248,0.6248,0.6177,0.6177
2022-05-05 10:00:00,0.6053,0.6074,0.5906,0.6063
2022-05-05 11:00:00,0.6012,0.6012,0.6012,0.6012
2022-05-05 12:00:00,0.5999,0.601,0.5999,0.6007
2022-05-05 13:00:00,0.5914,0.5939,0.5914,0.5939
2022-05-05 14:00:00,0.582,0.5886,0.5784,0.5886
2022-05-05 15:00:00,0.5902,0.5957,0.5902,0.5957
2022-05-05 16:00:00,0.5942,0.5978,0.5942,0.5978
2022-05-05 17:00:00,0.5978,0.5978,0.5978,0.5978
2022-05-05 18:00:00,0.596,0.6004,0.596,0.5991
2022-05-05 19:00:00,0.5971,0.5991,0.5971,0.599
2022-05-05 20:00:00,0.601,0.6129,0.601,0.6049
2022-05-05 21:00:00,0.613,0.6142,0.6099,0.6099
2022-05-05 22:00:00,0.6117,0.6149,0.6117,0.6149
2022-05-05 23:00:00,0.6073,0.6073,0.6037,0.6037
2022-05-06 00:00:00,0.6058,0.6068,0.6058,0.6068
2022-05-06 01:00:00,0.6086,0.6086,0.608,0.608
2022-05-06 02:00:00,0.6082,0.6084,0.6,0.6
2022-05-06 03:00:00,0.6018,0.6022,0.6018,0.6022
2022-05-06 04:00:00,0.6022,0.6022,0.6022,0.6022
2022-05-06 05:00:00,0.6028,0.6028,0.6028,0.6028
2022-05-06 06:00:00,0.5958,0.5972,0.5954,0.5972
2022-05-06 07:00:00,0.5993,0.6029,0.5988,0.6029
2022-05-06 08:00:00,0.5981,0.5981,0.5981,0.5981
2022-05-06 09:00:00,0.5931,0.5983,0.5931,0.598
2022-05-06 10:00:00,0.6044,0.6044,0.6044,0.6044
2022-05-06 11:00:00,0.5967,0.5976,0.5967,0.5976
2022-05-06 12:00:00,0.5927,0.5927,0.5927,0.5927
2022-05-06 13:00:00,0.5926,0.5942,0.5926,0.5942
2022-05-06 14:00:00,0.5942,0.5942,0.5942,0.5942
2022-05-06 15:00:00,0.5942,0.5942,0.5942,0.5942
2022-05-06 16:00:00,0.5942,0.5942,0.5942,0.5942
2022-05-06 17:00:00,0.5985,0.6002,0.5955,0.6002
2022-05-06 18:00:00,0.6048,0.6052,0.6048,0.6052
2022-05-06 19:00:00,0.6033,0.6033,0.6033,0.6033
2022-05-06 20:00:00,0.6013,0.6013,0.5991,0.5991
2022-05-06 21:00:00,0.5975,0.5975,0.5975,0.5975
2022-05-06 22:00:00,0.5973,0.5973,0.5973,0.5973
2022-05-06 23:00:00,0.5954,0.5954,0.5954,0.5954
2022-05-07 00:00:00,0.595,0.5977,0.595,0.5977
2022-05-07 01:00:00,0.5977,0.5977,0.5977,0.5977
2022-05-07 02:00:00,0.5977,0.5977,0.5977,0.5977
2022-05-07 03:00:00,0.5981,0.5981,0.5981,0.5981
2022-05-07 04:00:00,0.5981,0.5981,0.5981,0.5981
2022-05-07 05:00:00,0.5981,0.6009,0.5981,0.6009
2022-05-07 06:00:00,0.5986,0.5986,0.5981,0.5981
2022-05-07 07:00:00,0.5972,0.5972,0.5972,0.5972
2022-05-07 08:00:00,0.5958,0.5958,0.5958,0.5958
2022-05-07 09:00:00,0.5966,0.5966,0.5966,0.5966
2022-05-07 10:00:00,0.5966,0.5966,0.5966,0.5966
2022-05-07 11:00:00,0.5953,0.5954,0.5945,0.5945
2022-05-07 12:00:00,0.5956,0.5956,0.5956,0.5956
2022-05-07 13:00:00,0.5956,0.5956,0.5956,0.5956
2022-05-07 14:00:00,0.5937,0.5939,0.5929,0.5929
2022-05-07 15:00:00,0.5933,0.5934,0.5933,0.5934
2022-05-07 16:00:00,0.587,0.5884,0.5795,0.5795
2022-05-07 17:00:00,0.5772,0.5823,0.5749,0.5749
2022-05-07 18:00:00,0.5813,0.5836,0.5813,0.583
2022-05-07 19:00:00,0.5792,0.581,0.5792,0.58
2022-05-07 20:00:00,0.5794,0.5798,0.5794,0.5794
2022-05-07 21:00:00,0.5743,0.5743,0.5743,0.5743
2022-05-07 22:00:00,0.569,0.5734,0.569,0.5734
2022-05-07 23:00:00,0.5759,0.5762,0.575,0.5762
2022-05-08 00:00:00,0.5692,0.5692,0.5692,0.5692
2022-05-08 01:00:00,0.5695,0.5749,0.5695,0.5749
2022-05-08 02:00:00,0.5749,0.5749,0.5749,0.5749
2022-05-08 03:00:00,0.5749,0.5749,0.5735,0.5735
2022-05-08 04:00:00,0.5735,0.5735,0.5735,0.5735
2022-05-08 05:00:00,0.5734,0.5735,0.5734,0.5735
2022-05-08 06:00:00,0.5735,0.5735,0.5735,0.5735
2022-05-08 07:00:00,0.5731,0.5731,0.5731,0.5731
2022-05-08 08:00:00,0.5716,0.5716,0.57,0.5702
2022-05-08 09:00:00,0.5702,0.5702,0.5702,0.5702
2022-05-08 10:00:00,0.5702,0.5702,0.5702,0.5702
2022-05-08 11:00:00,0.5702,0.572,0.5702,0.572
2022-05-08 12:00:00,0.5701,0.5701,0.5566,0.5644
2022-05-08 13:00:00,0.5644,0.5644,0.5644,0.5644
2022-05-08 14:00:00,0.5729,0.5748,0.5729,0.5748
2022-05-08 15:00:00,0.5728,0.5728,0.5704,0.5704
2022-05-08 16:00:00,0.5718,0.5718,0.5718,0.5718
2022-05-08 17:00:00,0.5718,0.5718,0.5718,0.5718
2022-05-08 18:00:00,0.5718,0.5718,0.5718,0.5718
2022-05-08 19:00:00,0.5718,0.5718,0.5718,0.5718
2022-05-08 20:00:00,0.569,0.569,0.569,0.569
2022-05-08 21:00:00,0.5653,0.5653,0.5572,0.5574
2022-05-08 22:00:00,0.5616,0.5682,0.5616,0.5682
2022-05-08 23:00:00,0.5683,0.5697,0.5683,0.5697
2022-05-09 00:00:00,0.5659,0.5659,0.5636,0.5636
2022-05-09 01:00:00,0.561,0.5621,0.559,0.5621
2022-05-09 02:00:00,0.5549,0.5549,0.5546,0.5546
2022-05-09 03:00:00,0.5534,0.5534,0.54,0.5465
2022-05-09 04:00:00,0.5475,0.55,0.545,0.55
2022-05-09 05:00:00,0.5351,0.5351,0.5309,0.5309
