datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-08 22:00:00,1163.4,1163.4,1163.4,1163.4
2022-01-08 23:00:00,1163.4,1165.1,1161.0,1161.9
2022-01-09 00:00:00,1162.0,1162.0,1161.0,1161.0
2022-01-09 01:00:00,1163.5,1163.5,1158.8,1161.0
2022-01-09 02:00:00,1162.2,1166.9,1162.2,1165.6
2022-01-09 03:00:00,1166.9,1166.9,1156.4,1156.4
2022-01-09 04:00:00,1156.4,1157.5,1152.7,1157.5
2022-01-09 05:00:00,1153.9,1158.2,1144.0,1145.3
2022-01-09 06:00:00,1145.3,1154.9,1145.3,1150.8
2022-01-09 07:00:00,1153.9,1156.8,1151.6,1153.6
2022-01-09 08:00:00,1154.7,1154.9,1147.1,1151.0
2022-01-09 09:00:00,1151.0,1160.6,1150.0,1160.6
2022-01-09 10:00:00,1160.5,1160.5,1146.9,1146.9
2022-01-09 11:00:00,1148.9,1170.2,1146.3,1169.4
2022-01-09 12:00:00,1170.5,1194.3,1169.3,1186.9
2022-01-09 13:00:00,1188.6,1192.5,1182.6,1186.1
2022-01-09 14:00:00,1188.5,1198.5,1179.7,1198.5
2022-01-09 15:00:00,1198.5,1201.8,1189.5,1195.5
2022-01-09 16:00:00,1196.1,1196.1,1184.3,1191.2
2022-01-09 17:00:00,1187.8,1249.6,1187.8,1232.6
2022-01-09 18:00:00,1232.6,1240.0,1230.1,1230.2
2022-01-09 19:00:00,1232.6,1251.8,1209.4,1209.5
2022-01-09 20:00:00,1208.2,1208.4,1202.4,1207.4
2022-01-09 21:00:00,1211.8,1214.8,1209.5,1214.8
2022-01-09 22:00:00,1213.5,1213.5,1208.1,1208.5
2022-01-09 23:00:00,1208.5,1220.9,1207.7,1211.9
2022-01-10 00:00:00,1208.9,1210.6,1206.9,1208.4
2022-01-10 01:00:00,1207.6,1210.0,1197.4,1199.4
2022-01-10 02:00:00,1199.5,1206.1,1199.5,1206.0
2022-01-10 03:00:00,1205.0,1208.3,1201.4,1201.4
2022-01-10 04:00:00,1199.8,1204.1,1197.0,1197.0
2022-01-10 05:00:00,1197.5,1197.7,1182.8,1182.8
2022-01-10 06:00:00,1185.5,1185.5,1177.5,1177.5
2022-01-10 07:00:00,1178.4,1178.5,1156.4,1157.0
2022-01-10 08:00:00,1157.0,1157.5,1149.0,1151.3
2022-01-10 09:00:00,1149.6,1151.6,1100.0,1139.2
2022-01-10 10:00:00,1144.1,1144.1,1121.7,1132.9
2022-01-10 11:00:00,1130.0,1157.5,1126.7,1156.3
2022-01-10 12:00:00,1158.0,1175.7,1112.8,1130.7
2022-01-10 13:00:00,1129.3,1137.9,1124.8,1134.2
2022-01-10 14:00:00,1133.8,1143.5,1125.6,1130.0
2022-01-10 15:00:00,1132.2,1138.7,1127.8,1138.2
2022-01-10 16:00:00,1138.7,1141.4,1138.7,1141.4
2022-01-10 17:00:00,1141.3,1144.8,1141.1,1144.8
2022-01-10 18:00:00,1144.1,1146.0,1138.6,1141.1
